disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pheic_risk,pathogen_family,pathogen_genus,screen_status,priority_tier,likely_vector_group,screening_source_key,screening_basis,disease_rows_in_network,host_count_in_network,candidate_vector_species,candidate_vector_genus,candidate_vector_family,candidate_vector_group,vector_status,evidence_type,evidence_strength,source_org,source_title,source_url,source_accessed,notes,next_action,assignment_basis,vector_evidence_basis,vector_record_sources,vector_supporting_row_count
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes furcifer-taylori,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes furcifer-taylori,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes hensilli,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes hensilli,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes luteocephalus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes luteocephalus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes notoscriptus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes notoscriptus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes procax,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes procax,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes togoi,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes togoi,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes triseriatus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes triseriatus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes vexans,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes vexans,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes vigilax,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes vigilax,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes vittatus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes vittatus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Coquillettidia linealis,Coquillettidia,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Coquillettidia linealis,Coquillettidia,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Culex annulirostris,Culex,,mosquito,inherited_from_disease_level,disease_vector_evidence,weak,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Culex annulirostris,Culex,,mosquito,inherited_from_disease_level,disease_vector_evidence,weak,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Culex sitiens,Culex,,mosquito,inherited_from_disease_level,disease_vector_evidence,weak,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Culex sitiens,Culex,,mosquito,inherited_from_disease_level,disease_vector_evidence,weak,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Eretmapodites chrysogaster,Eretmapodites,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Eretmapodites chrysogaster,Eretmapodites,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Opifex fuscus,Opifex,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Opifex fuscus,Opifex,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Verrallina funerea,Verrallina,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Verrallina funerea,Verrallina,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,lab,lit_review,1
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Amblyomma lepidum,Amblyomma,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Amblyomma variegatum,Amblyomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,3
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Dermacentor marginatus,Dermacentor,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,3
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Dermacentor niveus,Dermacentor,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Dermacentor nuttalli,Dermacentor,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Haemaphysalis concinna,Haemaphysalis,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Haemaphysalis inermis,Haemaphysalis,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Haemaphysalis parva,Haemaphysalis,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Haemaphysalis punctata,Haemaphysalis,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,4
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Haemaphysalis sulcata,Haemaphysalis,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma aegyptium,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,EFSA; lit_review,5
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma anatolicum,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,EFSA; lit_review,8
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma asiaticum,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,EFSA; lit_review,5
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma asiaticum kozlovi,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma detritum,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma dromedarii,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,6
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma excavatum,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,5
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma impeltatum,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,6
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma impressum,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,2
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,13,13,Hyalomma isaaci,Hyalomma,,tick,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
