Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9720,Phoca vitulina,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,phocidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),34888,Phocarctos hookeri,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,otariidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),285011,Pteroglossus viridis,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,aves,ramphastidae,piciformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),34869,Rupicapra rupicapra,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9521,Saimiri sciureus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,cebidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9823,Sus scrofa,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,suidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9823,Sus scrofa,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,suidae,artiodactyla,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9643,Ursus americanus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,ursidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9704,Zalophus californianus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,otariidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9704,Zalophus californianus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,otariidae,carnivora,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,54769,Acanthis flammea,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,fringillidae,passeriformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8605,Acanthophis antarcticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,elapidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,182253,Alouatta pigra,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,atelidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,12930,Amazona aestiva,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,psittacidae,psittaciformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,116113,Amphibolurus muricatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,agamidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8843,Anser anser,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,anatidae,anseriformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,51888,Antaresia childreni,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,pythonidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,51891,Antaresia maculosa,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,pythonidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9505,Aotus trivirgatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,aotidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,113544,Arapaima gigas,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,actinopterygii,osteoglossidae,osteoglossiformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,585464,Ardea intermedia,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,ardeidae,pelecaniformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,29156,Austrelaps superbus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,elapidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,96718,Bellatorias frerei,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,scincidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8695,Bitis nasicornis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,viperidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8574,Boa constrictor,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,boidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,292868,Boaedon olivaceus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,lamprophiidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,92519,Boiga irregularis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,colubridae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,bovidae,artiodactyla,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,bovidae,artiodactyla,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,44725,Bothriechis schlegelii,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,viperidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,141274,Cacatua galerita,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,cacatuidae,psittaciformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,34884,Callorhinus ursinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,otariidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,canidae,carnivora,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,canidae,carnivora,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9925,capra hircus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,NA,NA,NA,NA,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,10141,Cavia porcellus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,caviidae,rodentia,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9860,cervus elaphus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,NA,NA,NA,NA,Antibodies,FALSE,FALSE,detection_method=Antibodies,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,179908,Chamaeleo calyptratus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,chamaeleonidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,44492,Chelodina oblonga,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,chelidae,testudines,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,103699,Chlamydosaurus kingii,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,agamidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,37601,Chloris chloris,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,fringillidae,passeriformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,85066,Corvus brachyrhynchos,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,corvidae,passeriformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,125876,Crotalus willardi,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,viperidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,57098,Cyclura cornuta,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,iguanidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,118679,Cyclura cychlura,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,iguanidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,13029,Cynoscion nebulosus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,actinopterygii,sciaenidae,perciformes,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,1458430,Dendrelaphis punctulatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,colubridae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,176064,Eos cyanogenia,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,psittacidae,psittaciformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,equidae,perissodactyla,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,equidae,perissodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,equidae,perissodactyla,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9365,Erinaceus europaeus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,erinaceidae,eulipotyphla,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,481883,Eublepharis macularius,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,eublepharidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,204898,Eulamprus heatwolei,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,scincidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,74365,Euprepiophis mandarinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,colubridae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,100819,Falco tinnunculus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,falconidae,falconiformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9685,Felis catus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,felidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,phasianidae,galliformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,phasianidae,galliformes,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,phasianidae,galliformes,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,94190,Genetta genetta,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,viverridae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9593,Gorilla gorilla,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,hominidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9700,Herpestes ichneumon,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,herpestidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,121332,Heterodon nasicus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,dipsadidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,NA,NA,NA,NA,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,NA,NA,NA,NA,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,83403,Hoplocephalus bungaroides,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,elapidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8517,Iguana iguana,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,iguanidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,163490,Lampropeltis alterna,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,colubridae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,140017,Lampropeltis triangulum,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,colubridae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,126713,Larus occidentalis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,laridae,charadriiformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,95110,Lialis burtonis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,pygopodidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,51879,Lichanura trivirgata,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,boidae,squamata,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,13125,Lynx lynx,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,felidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,13125,Lynx lynx,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,felidae,carnivora,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9544,Macaca mulatta,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,cercopithecidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9316,Macropus fuliginosus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,macropodidae,diprotodontia,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9103,Meleagris gallopavo,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,phasianidae,galliformes,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9662,Meles meles,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,mustelidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
