disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pheic_risk,pathogen_family,pathogen_genus,screen_status,priority_tier,likely_vector_group,screening_source_key,screening_basis,disease_rows_in_network,host_count_in_network,candidate_vector_species,candidate_vector_genus,candidate_vector_family,candidate_vector_group,vector_status,evidence_type,evidence_strength,source_org,source_title,source_url,source_accessed,notes,next_action
Tick-borne encephalitis,Tick-borne encephalitis,Orthoflavivirus encephalitidis,11084,virus,High,flaviviridae,orthoflavivirus,clear,1_high,tick,WHO_tick_borne_encephalitis_topic_page,Recognised tick-borne disease in the first-pass screening.,77,77,,,,,,,,,,,,Start species-level lookup with Ixodes and related ticks.,prioritise_vector_lookup
Tick-borne encephalitis,Tick-borne encephalitis,Orthoflavivirus encephalitidis,3052465,virus,High,flaviviridae,orthoflavivirus,clear,1_high,tick,WHO_tick_borne_encephalitis_topic_page,Recognised tick-borne disease in the first-pass screening.,53,50,,,,,,,,,,,,Start species-level lookup with Ixodes and related ticks.,prioritise_vector_lookup
Venezuelan equine encephalitis,Venezuelan equine encephalitis,Alphavirus venezuelan,11036,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,PAHO_arboviral_encephalitis,Recognised arboviral encephalitis in the first-pass screening.,87,87,,,,,,,,,,,,Start species-level lookup with mosquito vectors.,prioritise_vector_lookup
West Nile fever,West Nile fever,Orthoflavivirus nilense,11082,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,193,193,,,,,,,,,,,,Start species-level lookup with Culex and related mosquito vectors.,prioritise_vector_lookup
West Nile fever,West Nile fever,Orthoflavivirus nilense,3048448,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,170,169,,,,,,,,,,,,Start species-level lookup with Culex and related mosquito vectors.,prioritise_vector_lookup
Yellow fever,Yellow fever,Orthoflavivirus flavi,11089,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,61,61,,,,,,,,,,,,Start species-level lookup with Aedes and sylvatic mosquito vectors.,prioritise_vector_lookup
Yellow fever,Yellow fever,Orthoflavivirus flavi,3046277,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,22,21,,,,,,,,,,,,Start species-level lookup with Aedes and sylvatic mosquito vectors.,prioritise_vector_lookup
Zika virus disease,Zika virus disease,Orthoflavivirus zikaense,3048459,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,18,18,,,,,,,,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup
Zika virus disease,Zika virus disease,Orthoflavivirus zikaense,64320,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,6,6,,,,,,,,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup
Vesicular stomatitis,Vesicular stomatitis,Vesicular stomatitis Indiana virus,11276,virus,Low,rhabdoviridae,vesiculovirus,review,2_review,biting_fly_review,manual_targeted_review_needed,Potential arthropod involvement requires targeted review before first-pass inclusion.,5,5,,,,,,,,,,,,Carry forward as a review case rather than asserting final vector status in the screen.,manual_literature_review
