disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa
Chikungunya fever,chikungunya fever,Culex sitiens,culex sitiens,mosquito,mosquito,weak,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; very low transmission,TRUE,FALSE
Chikungunya fever,chikungunya fever,Eretmapodites chrysogaster,eretmapodites chrysogaster,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Opifex fuscus,opifex fuscus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Verrallina funerea,verrallina funerea,mosquito,mosquito,candidate,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",low transmission,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Amblyomma lepidum,amblyomma lepidum,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Amblyomma variegatum,amblyomma variegatum,tick,tick,confirmed,review,lit_review,1,3,Arab world; Sub-Saharan Africa,Celina et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor marginatus,dermacentor marginatus,tick,tick,candidate,review,lit_review,1,3,Southern Europe;Middle East; Mediterranean,Celina et al. 2025; EFSA 2010; Shahhosseini et al. 2021,no conclusive studies; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor niveus,dermacentor niveus,tick,tick,candidate,review,lit_review,1,1,Tajikistan,Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor nuttalli,dermacentor nuttalli,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis concinna,haemaphysalis concinna,tick,tick,candidate,review,lit_review,1,2,Turkey,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis inermis,haemaphysalis inermis,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis parva,haemaphysalis parva,tick,tick,candidate,review,lit_review,1,2,"Turkey, North Caucasus",Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis punctata,haemaphysalis punctata,tick,tick,candidate,review,lit_review,1,4,Arab world; Some parts of Asia; South-East of Europe,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with CCHFV; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis sulcata,haemaphysalis sulcata,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma aegyptium,hyalomma aegyptium,tick,tick,confirmed,review,EFSA; lit_review,2,5,Arab world; global; not specified; Tajikistan,Celina et al. 2025; EFSA Appendix G; Parvage et al. 2025; Perveen and Khan 2022; Spengler et al. 2016,confirmed vector; detected in tick; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease,TRUE,TRUE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma anatolicum,hyalomma anatolicum,tick,tick,confirmed,review,EFSA; lit_review,2,8,Arab world; Asia; Eurasia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; EFSA Appendix G; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; potential vector; principal vector,TRUE,TRUE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum,hyalomma asiaticum,tick,tick,confirmed,review,EFSA; lit_review,2,5,Asia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA Appendix G; Parvage et al. 2025; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; principal vector,TRUE,TRUE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,tick,tick,confirmed,review,lit_review,1,1,,Celina et al. 2025,confirmed vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma detritum,hyalomma detritum,tick,tick,confirmed,review,lit_review,1,2,Middle East; Africa,Celina et al. 2025; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma dromedarii,hyalomma dromedarii,tick,tick,confirmed,review,lit_review,1,6,Arab world; global; Middle East; Northern Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; high-capacity species; potential vector; principal vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma excavatum,hyalomma excavatum,tick,tick,confirmed,review,lit_review,1,5,Africa; Middle East; Arab world; global,Celina et al. 2025; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma impeltatum,hyalomma impeltatum,tick,tick,confirmed,review,lit_review,1,6,Arab world; global; Northern Africa; Arabian Peninsula,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; experimental transmission; high-capacity species; principal vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma impressum,hyalomma impressum,tick,tick,probable,review,lit_review,1,2,"Africa, Pakistan; global",Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma isaaci,hyalomma isaaci,tick,tick,candidate,review,lit_review,1,1,Africa,Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma lusitanicum,hyalomma lusitanicum,tick,tick,probable,review,lit_review,1,3,Africa; Spain; global; southwestern Europe,Messina & Wint 2023; Parvage et al. 2025; Shahhosseini et al. 2021,caveated; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma marginatum,hyalomma marginatum,tick,tick,confirmed,review,EFSA; lit_review,2,11,Arab world; Asia; Africa; Eastern Europe; Eurasia; Europe; global; Middle East; Northern Africa; Southern Europe; not specified; Old World; southern Europe,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; EFSA Appendix G; Estrada-Pena et al. 2012; Messina & Wint 2023; Parvage et al. 2025; Perveen and Khan 2022; Shah et al. 2023 Table 1; Shahhosseini et al. 2021,efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; main vector; primary vector; principal vector; s.l. complex principal vector,TRUE,TRUE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma nitidum,hyalomma nitidum,tick,tick,probable,review,lit_review,1,2,Central Africa; global,Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma onatoli,hyalomma onatoli,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma rufipes,hyalomma rufipes,tick,tick,confirmed,review,lit_review,1,9,Arab world; Central Europe; global; Middle East; Africa; South Africa,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021; Spengler et al. 2016,another significant vector; confirmed vector; experimental transmission; field infection only; high-capacity species; potential vector; principal vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma schulzei,hyalomma schulzei,tick,tick,confirmed,review,lit_review,1,4,Arab world; Arabia peninsula; global,Celina et al. 2025; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma scupense,hyalomma scupense,tick,tick,probable,review,lit_review,1,4,Arab world; Eurasia; global,EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022,principal vector; syn Hy. detritum potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma spp.,hyalomma spp,tick,tick,confirmed,review,lit_review,1,4,Africa/Asia/Southern Europe,de la Fuente et al. 2017; Hewson 2024; Spengler et al. 2016,genus-level only; natural vector; principal vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma truncatum,hyalomma truncatum,tick,tick,confirmed,review,lit_review,1,7,Africa; Arab world; global; South Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; experimental transmission; field infection only; high-capacity species; principal vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma turanicum,hyalomma turanicum,tick,tick,confirmed,review,lit_review,1,6,Arab world; Asia; Africa; Eurasia; global,Celina et al. 2025; de la Fuente et al. 2024; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; high-capacity species; principal vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Ixodes ricinus,ixodes ricinus,tick,tick,candidate,review,lit_review,1,4,Arab world; Europe; Mediterranean; Northern Africa,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,not ascertained; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Ornithodoros lahorensis,ornithodoros lahorensis,tick,tick,candidate,review,lit_review,1,1,Iran,Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus (Boophilus) annulatus,rhipicephalus boophilus annulatus,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus (Boophilus) decoloratus,rhipicephalus boophilus decoloratus,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus annulatus,rhipicephalus annulatus,tick,tick,candidate,review,lit_review,1,3,Arab world; Middle East; Central parts of Africa; several endemic countries,Estrada-Pena et al. 2012; Perveen and Khan 2022; Shahhosseini et al. 2021,field positive role unclear,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus appendiculatus,rhipicephalus appendiculatus,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus bursa,rhipicephalus bursa,tick,tick,confirmed,review,lit_review,1,4,Greece; Southeastern Europe; Middle East,Celina et al. 2025; EFSA 2010; Parvage et al. 2025; Shahhosseini et al. 2021,confirmed vector; putative vector; virus isolated from ticks,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus decoloratus,rhipicephalus decoloratus,tick,tick,candidate,review,lit_review,1,1,Uganda,Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus evertsi,rhipicephalus evertsi,tick,tick,candidate,review,lit_review,1,4,Arab world; South Africa; Sub-Saharan Africa,EFSA 2010; Estrada-Pena et al. 2012; Perveen and Khan 2022; Shahhosseini et al. 2021,experimental infection; field positive only,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus evertsi evertsi,rhipicephalus evertsi evertsi,tick,tick,candidate,review,lit_review,1,2,Mauritania,Celina et al. 2025; Spengler et al. 2016,PCR only; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus geigyi,rhipicephalus geigyi,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus guilhoni,rhipicephalus guilhoni,tick,tick,candidate,review,lit_review,1,2,Senegal,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus microplus,rhipicephalus microplus,tick,tick,candidate,review,lit_review,1,1,Africa; Pakistan,Shahhosseini et al. 2021,,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus pulchellus,rhipicephalus pulchellus,tick,tick,candidate,review,lit_review,1,1,Kenya,Shahhosseini et al. 2021,limited field finding,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus pumilio,rhipicephalus pumilio,tick,tick,candidate,review,lit_review,1,1,,EFSA 2010,associated with CCHFV,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus rossicus,rhipicephalus rossicus,tick,tick,candidate,review,lit_review,1,2,Caucasia; southern Russia,EFSA 2010; Shahhosseini et al. 2021,associated with CCHFV,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus sanguineus,rhipicephalus sanguineus,tick,tick,candidate,review,lit_review,1,5,Arab world; Asia; Mauritania,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021; Spengler et al. 2016,associated with CCHFV; debated; potential vector,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus spp.,rhipicephalus spp,tick,tick,candidate,review,lit_review,1,1,,Spengler et al. 2016,isolated from ticks,TRUE,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus turanicus,rhipicephalus turanicus,tick,tick,candidate,review,lit_review,1,4,Arab world; Southern Europe; Asia,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with CCHFV; potential vector,TRUE,FALSE
Dengue,dengue,Aedes aegypti,aedes aegypti,mosquito,mosquito,confirmed,review,lit_review,1,14,Americas; Cambodia; global; Puerto Rico; Puerto Rico; Caribbean; Senegal; United States and territories; WHO European region,"(Barrera, 2025); (Delrieu et al., 2023); (Kristan et al., 2025); (Poole-Smith et al., 2015); Althouse et al. 2012; Barrera 2025; Delrieu et al. 2023; Doeurk et al. 2024; Islam et al. 2021; Jones et al. 2020; Kristan et al. 2025; Poole-Smith et al. 2015; Rakotonirina et al. 2022; Schaffner and Mathis 2014",experimentally competent and field infection observed; main vector; main vector in Senegal; major vector; primary vector; primary vector; only two species covered; principal vector,TRUE,FALSE
Dengue,dengue,Aedes albopictus,aedes albopictus,mosquito,mosquito,confirmed,review,lit_review,1,11,Americas; Cambodia; global; United States and territories; WHO European region,"(Barrera, 2025); (Delrieu et al., 2023); (Kristan et al., 2025); Barrera 2025; Delrieu et al. 2023; Doeurk et al. 2024; Islam et al. 2021; Jones et al. 2020; Kristan et al. 2025; Rakotonirina et al. 2022; Schaffner and Mathis 2014",experimentally competent and field infection observed; main established vector; main vector; primary vector; principal vector; secondary vector,TRUE,FALSE
Dengue,dengue,Aedes cretinus,aedes cretinus,mosquito,mosquito,candidate,review,lit_review,1,1,Greece and Turkey,Schaffner and Mathis 2014,potential vector,TRUE,FALSE
Dengue,dengue,Aedes furcifer,aedes furcifer,mosquito,mosquito,confirmed,review,lit_review,1,1,Senegal,Althouse et al. 2012,main vector in Senegal,TRUE,FALSE
Dengue,dengue,Aedes hensilli,aedes hensilli,mosquito,mosquito,weak,field+lab,lit_review,1,1,"Yap State, Federated States of Micronesia","(Ledermann et al., 2014)",low competence; debated,TRUE,FALSE
Dengue,dengue,Aedes japonicus,aedes japonicus,mosquito,mosquito,candidate,review,lit_review,1,1,central Europe,Schaffner and Mathis 2014,potential vector,TRUE,FALSE
Dengue,dengue,Aedes luteocephalus,aedes luteocephalus,mosquito,mosquito,confirmed,review,lit_review,1,1,Senegal,Althouse et al. 2012,main vector in Senegal,TRUE,FALSE
Dengue,dengue,Aedes malayensis,aedes malayensis,mosquito,mosquito,confirmed,review,lit_review,1,2,Cambodia,Doeurk et al. 2024; Rakotonirina et al. 2022,potential vector; vector of DENV and CHIKV,TRUE,FALSE
Dengue,dengue,Aedes mediovittatus,aedes mediovittatus,mosquito,mosquito,probable,lab,lit_review,1,4,Puerto Rico; Puerto Rico and US Virgin Islands; Puerto Rico; Caribbean; Puerto Rico; US Virgin Islands,"(Barrera, 2025); (Poole-Smith et al., 2015); Barrera 2025; Poole-Smith et al. 2015",not incriminated in outbreaks; potential vector; secondary vector; secondary vector candidate; competent in lab; only two species covered,TRUE,FALSE
Dengue,dengue,Aedes niveus,aedes niveus,mosquito,mosquito,probable,review,lit_review,1,1,,Islam et al. 2021,secondary vector,TRUE,FALSE
Dengue,dengue,Aedes polynesiensis,aedes polynesiensis,mosquito,mosquito,confirmed,review,lit_review,1,4,American Samoa; Pacific region; South Pacific Islands,"(Barrera, 2025); Barrera 2025; Islam et al. 2021; Rakotonirina et al. 2022",main vector; regional vector; secondary vector; transmits dengue,TRUE,FALSE
Dengue,dengue,Aedes pseudoscutellaris,aedes pseudoscutellaris,mosquito,mosquito,candidate,review,lit_review,1,1,Pacific region,Rakotonirina et al. 2022,highly suspected,TRUE,FALSE
Dengue,dengue,Aedes scutellaris,aedes scutellaris,mosquito,mosquito,candidate,review,lit_review,1,2,Cambodia; Pacific region,Doeurk et al. 2024; Rakotonirina et al. 2022,highly suspected; potential vector,TRUE,FALSE
Dengue,dengue,Aedes taylori,aedes taylori,mosquito,mosquito,confirmed,review,lit_review,1,1,Senegal,Althouse et al. 2012,main vector in Senegal,TRUE,FALSE
Dengue,dengue,Aedes vittatus,aedes vittatus,mosquito,mosquito,confirmed,review,lit_review,1,2,India; western Mediterranean; Senegal,Althouse et al. 2012; Schaffner and Mathis 2014,main vector in Senegal; occasionally mentioned; role likely restricted,TRUE,FALSE
Dengue,dengue,Culex quinquefasciatus,culex quinquefasciatus,mosquito,mosquito,weak,review,lit_review,1,1,Americas,Jones et al. 2020,field infection only not experimentally competent,TRUE,FALSE
Oropouche fever,oropouche fever,Culicoides,culicoides,midge,midge,candidate,review,lit_review,1,1,,Sakkas et al. 2018,genus-level sylvatic vector,TRUE,FALSE
Oropouche fever,oropouche fever,Culicoides insignis,culicoides insignis,midge,midge,candidate,review,lit_review,1,1,Peru,Ayres et al. 2026,possible new vector,TRUE,FALSE
Oropouche fever,oropouche fever,Culicoides paraensis,culicoides paraensis,midge,midge,confirmed,review,lit_review,1,7,Brazil,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018; Sciancalepore et al. 2022,main vector; primary urban vector; primary vector; principal urban vector; principal vector,TRUE,FALSE
Oropouche fever,oropouche fever,Culicoides sonorensis,culicoides sonorensis,midge,midge,probable,review,lit_review,1,2,North America,Ayres et al. 2026; Gallichotte et al. 2025,high competence; lab competence,TRUE,FALSE
Oropouche fever,oropouche fever,Aedes (Ochlerotatus) serratus,aedes ochlerotatus serratus,mosquito,mosquito,probable,review,lit_review,1,2,Brazil,Romero-Alvarez and Escobar 2018; Sakkas et al. 2018,secondary vector; sylvatic cycle; sylvatic cycle,TRUE,FALSE
Oropouche fever,oropouche fever,Aedes aegypti,aedes aegypti,mosquito,mosquito,candidate,field,lit_review,1,4,Brazil; Cuba,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Sciancalepore et al. 2022,limited competence; listed mosquito vector; PCR only; Cuban outbreak; vertical transmission/PCR,TRUE,FALSE
Oropouche fever,oropouche fever,Aedes albopictus,aedes albopictus,mosquito,mosquito,candidate,review,lit_review,1,3,Italy,Ayres et al. 2026; Gallichotte et al. 2025; Mancuso et al. 2025,limited competence; mixed lab evidence; no competence detected,TRUE,FALSE
Oropouche fever,oropouche fever,Aedes scapularis,aedes scapularis,mosquito,mosquito,weak,review,lit_review,1,1,,Gallichotte et al. 2025,parenteral inoculation only,TRUE,FALSE
Oropouche fever,oropouche fever,Aedes serratus,aedes serratus,mosquito,mosquito,candidate,review,lit_review,1,3,Brazil,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025,potential sylvatic vector; potential vector; sylvatic cycle,TRUE,FALSE
Oropouche fever,oropouche fever,Coquillettidia venezuelensis,coquillettidia venezuelensis,mosquito,mosquito,probable,review,lit_review,1,5,Trinidad; Trinidad and Tobago,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018,potential sylvatic vector; potential vector; secondary vector; sylvatic cycle; sylvatic cycle,TRUE,FALSE
Oropouche fever,oropouche fever,Culex pipiens,culex pipiens,mosquito,mosquito,weak,lab,lit_review,1,1,Italy,Mancuso et al. 2025,no competence detected,TRUE,FALSE
Oropouche fever,oropouche fever,Culex quinquefasciatus,culex quinquefasciatus,mosquito,mosquito,probable,review,lit_review,1,7,Brazil; Cuba,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018; Sciancalepore et al. 2022,candidate competent vector; considerable urban vector; less important vector; PCR only; Cuban outbreak; poor vector; low competence; secondary vector; debated,TRUE,FALSE
Oropouche fever,oropouche fever,Culex tarsalis,culex tarsalis,mosquito,mosquito,candidate,review,lit_review,1,1,,Gallichotte et al. 2025,limited transmission,TRUE,FALSE
Oropouche fever,oropouche fever,Limatus durhamii,limatus durhamii,mosquito,mosquito,weak,review,lit_review,1,1,Brazil,Ayres et al. 2026,PCR only,TRUE,FALSE
Oropouche fever,oropouche fever,Ochlerotatus serratus,ochlerotatus serratus,mosquito,mosquito,candidate,review,lit_review,1,1,Brazil,Sciancalepore et al. 2022,listed mosquito vector,TRUE,FALSE
Oropouche fever,oropouche fever,Psorophora ferox,psorophora ferox,mosquito,mosquito,weak,review,lit_review,1,1,,Gallichotte et al. 2025,parenteral inoculation only,TRUE,FALSE
