"accession_base","broad_group","proposed_active_unit","virus_name","isolate","abbrev","accession","resolved_accession","ncbi_lookup_status","output_source","candidate_role","ictv_genus","ictv_subgenus","ictv_species","available_sequence","Geographic Location","Geographic Region","Host Name","Host Taxonomic ID","host_name_datasets","host_name_record","host_name_current_override","host_name_record_or_override","host_name_current_curated","host_override_note","Virus Name","Virus Taxonomic ID"
"KJ473820","Merbecovirus","MERS-like bat merbecoviruses","BtPa-BetaCoV/GD2013","BtPa-BetaCoV/GD2013","GD2013","KJ473820","KJ473820.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China","Asia","Pipistrellus abramus",105295,"Pipistrellus abramus",,,"Pipistrellus abramus","Pipistrellus abramus",,"BtPa-BetaCoV/GD2013",1503295
"KJ473822","Merbecovirus","MERS-like bat merbecoviruses","BtTp-BetaCoV/GX2012","BtTp-BetaCoV/GX2012","GX2012","KJ473822","KJ473822.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China","Asia","Tylonycteris pachypus",258959,"Tylonycteris pachypus",,,"Tylonycteris pachypus","Tylonycteris pachypus",,"BtTp-BetaCoV/GX2012",1503304
"KJ473821","Merbecovirus","MERS-like bat merbecoviruses","BtVs-BetaCoV/SC2013","BtVs-BetaCoV/SC2013","BtVs-BetaCoV/SC2013","KJ473821","KJ473821.1","ok","stdout","supporting_named_example","Betacoronavirus","Merbecovirus","","Complete genome","China","Asia","Vespertilio sinensis",105273,"Vespertilio sinensis",,,"Vespertilio sinensis","Vespertilio sinensis",,"BtVs-BetaCoV/SC2013",1495253
"EU373658","Vesiculovirus","Vesiculovirus review set","vesicular stomatitis Alagoas virus","Indiana 3","VSAV","EU373658","EU373658.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus alagoas","Complete genome","Brazil","South America","Equus asinus x Equus caballus",319699,"Equus asinus x Equus caballus",,,"Equus asinus x Equus caballus","Equus asinus x Equus caballus",,"Vesicular stomatitis Alagoas virus",198833
"MT726044","Sarbecovirus","SARS-like bat sarbecoviruses","Bat coronavirus isolate PREDICT/PDF-2370/OTBA35RSV","PDF-2370","PDF-2370","MT726044","MT726044.1","ok","stdout","supporting_named_example","Betacoronavirus","Sarbecovirus","","Complete genome","Uganda","Africa","Rhinolophus",49442,"Rhinolophus",,,"Rhinolophus","Rhinolophus",,"Bat coronavirus",1508220
"MN908947","Sarbecovirus","SARS-CoV-2","severe acute respiratory syndrome coronavirus 2","Wuhan-Hu-1","SARS-CoV-2","MN908947","MN908947.3","ok","stdout","active_unit_exemplar","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","Complete genome","China","Asia","Homo sapiens",9606,"Homo sapiens",,,"Homo sapiens","Homo sapiens",,"Severe acute respiratory syndrome coronavirus 2",2697049
"KY352407","Sarbecovirus","SARS-like bat sarbecoviruses","severe acute respiratory syndrome-related coronavirus","BtKY72","SARSr-CoV","KY352407","KY352407.1","ok","stdout","wildlife_group_exemplar","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","Complete genome","Kenya","Africa","Rhinolophus",49442,"Rhinolophus",,,"Rhinolophus","Rhinolophus",,"Severe acute respiratory syndrome-related coronavirus",694009
"AY613950","Sarbecovirus","SARS-CoV-1","SARS coronavirus","PC4-227","SARS-CoV","AY613950","AY613950.1","ok","stdout","supporting_exemplar","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","Complete genome","China","Asia","Paradoxurus hermaphroditus",71117,"Paradoxurus hermaphroditus",,,"Paradoxurus hermaphroditus","Paradoxurus hermaphroditus",,"SARS coronavirus PC4-227",293936
"DQ071615","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS CoV Rp3/2004","Rp3/2004","Rp3","DQ071615","DQ071615.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat SARS CoV Rp3/2004",349344
"DQ022305","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS coronavirus HKU3-1","HKU3-1","HKU3","DQ022305","DQ022305.2","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","",,"",,,"","",,"Bat SARS coronavirus HKU3-1",333387
"KC881006","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-like coronavirus Rs3367","Rs3367","Rs3367","KC881006","KC881006.1","ok","stdout","supporting_named_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"Bat SARS-like coronavirus Rs3367",1415834
"KC881005","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-like coronavirus RsSHC014","RsSHC014","RsSHC014","KC881005","KC881005.1","ok","stdout","supporting_named_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"Bat SARS-like coronavirus RsSHC014",1415851
"KC881005","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-like coronavirus SHC014","SHC014","SHC014","KC881005","KC881005.1","ok","stdout","supporting_named_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"Bat SARS-like coronavirus RsSHC014",1415851
"KF367457","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-like coronavirus WIV1","WIV1","WIV1","KF367457","KF367457.1","ok","stdout","supporting_named_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"Bat SARS-like coronavirus WIV1",1415852
"DQ412042","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-related coronavirus Rf1/2004","Rf1/2004","Rf1","DQ412042","DQ412042.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","","","Rhinolophus ferrumequinum",59479,"Rhinolophus ferrumequinum",,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",,"Bat SARS CoV Rf1/2004",347537
"DQ412043","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-related coronavirus Rm1/2004","Rm1/2004","Rm1","DQ412043","DQ412043.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","","","Rhinolophus macrotis",196889,"Rhinolophus macrotis",,,"Rhinolophus macrotis","Rhinolophus macrotis",,"Bat SARS CoV Rm1/2004",347536
"KM205024","Vesiculovirus","Vesiculovirus review set","Radi virus","ISS Ph1-166","RADV","KM205024","KM205024.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus radi","Complete genome","Italy","Europe","Phlebotomus perfiliewi",59275,"Phlebotomus perfiliewi",,,"Phlebotomus perfiliewi","Phlebotomus perfiliewi",,"Vesiculovirus radi",1972566
"JF911700","Vesiculovirus","Vesiculovirus review set","Yug Bogdanovac virus","YU4-76","YBV","JF911700","JF911700.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus bogdanovac","Coding-complete genome","Serbia","Europe","",,"",,,"","",,"Vesiculovirus bogdanovac",1972567
"KJ473812","Sarbecovirus","SARS-like bat sarbecoviruses","BtRf-BetaCoV/HeB2013","BtRf-BetaCoV/HeB2013","HeB2013","KJ473812","KJ473812.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","China","Asia","Rhinolophus ferrumequinum",59479,"Rhinolophus ferrumequinum",,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",,"BtRf-BetaCoV/HeB2013",1503296
"KJ473811","Sarbecovirus","SARS-like bat sarbecoviruses","BtRf-BetaCoV/JL2012","BtRf-BetaCoV/JL2012","JL2012","KJ473811","KJ473811.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","China","Asia","Rhinolophus ferrumequinum",59479,"Rhinolophus ferrumequinum",,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",,"BtRf-BetaCoV/JL2012",1503299
"KJ473813","Sarbecovirus","SARS-like bat sarbecoviruses","BtRf-BetaCoV/SX2013","BtRf-BetaCoV/SX2013","SX2013","KJ473813","KJ473813.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","China","Asia","Rhinolophus ferrumequinum",59479,"Rhinolophus ferrumequinum",,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",,"BtRf-BetaCoV/SX2013",1503300
"KJ473815","Sarbecovirus","SARS-like bat sarbecoviruses","BtRs-BetaCoV/GX2013","GX2013","GX2013","KJ473815","KJ473815.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"BtRs-BetaCoV/GX2013",1503301
"KJ473814","Sarbecovirus","SARS-like bat sarbecoviruses","BtRs-BetaCoV/HuB2013","HuB2013","HuB2013","KJ473814","KJ473814.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"BtRs-BetaCoV/HuB2013",1503302
"KJ473816","Sarbecovirus","SARS-like bat sarbecoviruses","BtRs-BetaCoV/YN2013","YN2013","YN2013","KJ473816","KJ473816.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus sinicus",89399,"Rhinolophus sinicus",,,"Rhinolophus sinicus","Rhinolophus sinicus",,"BtRs-BetaCoV/YN2013",1503303
"KF569996","Sarbecovirus","SARS-like bat sarbecoviruses","Rhinolophus affinis coronavirus isolate LYRa11","LYRa11","LYRa11","KF569996","KF569996.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus affinis",59477,"Rhinolophus affinis",,,"Rhinolophus affinis","Rhinolophus affinis",,"Rhinolophus affinis coronavirus",1487703
"KP886808","Sarbecovirus","SARS-like bat sarbecoviruses","SARSr-Rf-BatCoV YNLF_31C","YNLF_31C","YNLF_31C","KP886808","KP886808.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","China","Asia","Rhinolophus ferrumequinum",59479,"Rhinolophus ferrumequinum",,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",,"Bat SARS-like coronavirus YNLF_31C",1699360
"KP886809","Sarbecovirus","SARS-like bat sarbecoviruses","SARSr-Rf-BatCoV YNLF_34C","YNLF_34C","YNLF_34C","KP886809","KP886809.1","ok","stdout","supporting_tree_example","Betacoronavirus","Sarbecovirus","","GenBank accession provided","China","Asia","Rhinolophus ferrumequinum",59479,"Rhinolophus ferrumequinum",,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",,"Bat SARS-like coronavirus YNLF_34C",1699361
"AF473864","Vesiculovirus","Vesicular stomatitis Indiana virus","vesicular stomatitis Indiana virus","98COE","VSIV","AF473864","AF473864.1","ok","stdout","active_unit_exemplar","Vesiculovirus","","Vesiculovirus indiana","Complete genome","USA: Colorado","North America","Equus caballus",9796,"Equus caballus",,,"Equus caballus","Equus caballus",,"Vesicular stomatitis Indiana virus",11277
"JX121109","Vesiculovirus","Vesicular stomatitis New Jersey virus","vesicular stomatitis New Jersey virus","NJ1184HDB","VSNJV","JX121109","JX121109.2","ok","stdout","active_unit_exemplar","Vesiculovirus","","Vesiculovirus newjersey","Complete genome","Honduras","North America","Bos taurus",9913,"Bos taurus",,,"Bos taurus","Bos taurus",,"Vesicular stomatitis New Jersey virus",11280
"EU373657","Vesiculovirus","Vesiculovirus review set","Cocal virus","TRVL40233","COCV","EU373657","EU373657.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus cocal","Complete genome","Trinidad and Tobago: Trinidad","North America","",,"",,,"","",,"Cocal virus",50713
"","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU4-1","HKU4-1","HKU4-1","",,,,"supporting_tree_example","Betacoronavirus","Merbecovirus","","Accession unresolved in current pass",,,,,,,,,,,,
"KM205015","Vesiculovirus","Vesiculovirus review set","Carajás virus","BeAr411391","CARV","KM205015","KM205015.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus carajas","Coding-complete genome","Brazil","South America","Lutzomyia",7199,"Lutzomyia",,,"Lutzomyia","Lutzomyia",,"Carajas virus",239239
"GU212856","Vesiculovirus","Vesiculovirus review set","Chandipura virus","CIN 0451","CHPV","GU212856","GU212856.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus chandipura","Coding-complete genome","India: Vadodara, Gujarat","Asia","Homo sapiens",9606,"Homo sapiens",,,"Homo sapiens","Homo sapiens",,"Chandipura virus",11272
"HQ660076","Vesiculovirus","Vesiculovirus review set","Maraba virus","BeAr 411459","MARAV","HQ660076","HQ660076.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus maraba","Complete genome","Brazil","South America","",,"",,,"","",,"Maraba virus",1046251
"AJ810084","Vesiculovirus","Vesiculovirus review set","Isfahan virus","91026-167","ISFV","AJ810084","AJ810084.2","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus isfahan","Complete genome","Iran:Isfahan province","Asia","Phlebotomus papatasi",29031,"Phlebotomus papatasi",,,"Phlebotomus papatasi","Phlebotomus papatasi",,"Isfahan virus",290008
"KM204996","Vesiculovirus","Vesiculovirus review set","Jurona virus","BeAr40578","JURV","KM204996","KM204996.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus jurona","Coding-complete genome","Brazil","South America","Haemagogus",7180,"Haemagogus",,,"Haemagogus","Haemagogus",,"Vesiculovirus jurona",1972568
"KC412247","Vesiculovirus","Vesiculovirus review set","Malpais Spring virus","85-488NM","MSPV","KC412247","KC412247.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus malpais","Complete genome","USA","North America","Ochlerotatus campestris",909054,"Ochlerotatus campestris",,,"Ochlerotatus campestris","Ochlerotatus campestris",,"Vesiculovirus malpais",1972570
"KU178986","Vesiculovirus","Vesiculovirus review set","Piry virus","BeAn2423","PIRYV","KU178986","KU178986.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus piry","Coding-complete genome","Brazil: Utinga Forest, Para State","South America","Philander opossum",9272,"Philander opossum",,,"Philander opossum","Philander opossum",,"Piry virus",11274
"MW798173","Vesiculovirus","Vesiculovirus review set","Mejal virus","JAL10","MEJV","MW798173","MW798173.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus mejal","Coding-complete genome","Mexico","North America","Trichobius sp.",3002593,"Trichobius sp.",,,"Trichobius sp.","Trichobius sp.",,"Mejal virus",2838395
"KM205007","Vesiculovirus","Vesiculovirus review set","Morreton virus","CoAr191048","MORV","KM205007","KM205007.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus morreton","Complete genome","Colombia","South America","Lutzomyia",7199,"Lutzomyia",,,"Lutzomyia","Lutzomyia",,"Vesiculovirus morreton",1972565
"HM566195","Vesiculovirus","Vesiculovirus review set","Perinet virus","DAkAr Mg802","PERV","HM566195","HM566195.1","ok","stdout","supporting_example","Vesiculovirus","","Vesiculovirus perinet","Complete genome","Madagascar","Africa","Culicidae",7157,"Culicidae",,,"Culicidae","Culicidae",,"Vesiculovirus perinet",1972569
"","Sarbecovirus","SARS-like bat sarbecoviruses","Bat SARS-like coronavirus Rs4028","Rs4028","Rs4028","",,,,"supporting_named_example","Betacoronavirus","Sarbecovirus","","Name unresolved in current NCBI pass",,,,,,,,,,,,
"","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU5-1","HKU5-1","HKU5-1","",,,,"supporting_tree_example","Betacoronavirus","Merbecovirus","","Accession unresolved in current pass",,,,,,,,,,,,
"","Sarbecovirus","SARS-like bat sarbecoviruses","Bat coronavirus RmYN02","RmYN02","RmYN02","",,,,"supporting_named_example","Betacoronavirus","Sarbecovirus","","Partial NCBI gene accessions only",,,,,,,,,,,,
