broad_group,ictv_genus,ictv_subgenus,ictv_species,virus_name,isolate,accession,available_sequence,abbrev,candidate_role,proposed_active_unit,decision,decision_reason,support_status,ncbi_followup_hint,ictv_taxon_anchor,ictv_taxon_source,keep_reason,keep_rationale,keep_notes,source_rationale,source_notes
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU5-5,HKU5-5,EF065512,GenBank accession provided,HKU5-5,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU5-5 | HKU5-5,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Manual nuccore lookup pinned accession EF065512.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus isolate PREDICT/PDF-2180,PDF-2180,KX574227,Complete genome,PDF-2180,supporting_named_example,MERS-like bat merbecoviruses,keep_supporting_example,Named merbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat coronavirus isolate PREDICT/PDF-2180 | PDF-2180,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named merbecovirus example highlighted for zoonotic-potential review,Master list bat merbecovirus example. Restored with the GenBank accession KX574227.1; NC_034440.1 is the matching RefSeq companion if needed for later comparison.
Merbecovirus,Betacoronavirus,Merbecovirus,,BtPa-BetaCoV/GD2013,BtPa-BetaCoV/GD2013,KJ473820,GenBank accession provided,GD2013,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus example promoted from the NCBI taxonomy tree,supporting_example,BtPa-BetaCoV/GD2013 | BtPa-BetaCoV/GD2013,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus example promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as an HKU5-lineage supporting example. Manual nuccore lookup pinned accession KJ473820.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,BtTp-BetaCoV/GX2012,BtTp-BetaCoV/GX2012,KJ473822,GenBank accession provided,GX2012,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus example promoted from the NCBI taxonomy tree,supporting_example,BtTp-BetaCoV/GX2012 | BtTp-BetaCoV/GX2012,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus example promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as an HKU4-lineage supporting example. Manual nuccore lookup pinned accession KJ473822.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,BtVs-BetaCoV/SC2013,BtVs-BetaCoV/SC2013,KJ473821,Complete genome,BtVs-BetaCoV/SC2013,supporting_named_example,MERS-like bat merbecoviruses,keep_supporting_example,Named merbecovirus example highlighted for zoonotic-potential review,supporting_example,BtVs-BetaCoV/SC2013 | BtVs-BetaCoV/SC2013,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named merbecovirus example highlighted for zoonotic-potential review,Master list bat merbecovirus example from Vespertilio superans with an NCBI accession available for enrichment.
Merbecovirus,Betacoronavirus,Merbecovirus,,NeoCoV,NeoCoV,KC869678,Complete genome,NeoCoV,supporting_named_example,MERS-like bat merbecoviruses,keep_supporting_example,Named merbecovirus example highlighted for zoonotic-potential review,supporting_example,NeoCoV | NeoCoV,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named merbecovirus example highlighted for zoonotic-potential review,Master list bat merbecovirus example with published receptor-binding concern and an NCBI accession available for enrichment.
Sarbecovirus,Betacoronavirus,Sarbecovirus,Betacoronavirus pandemicum,severe acute respiratory syndrome coronavirus,Tor2,AY274119,Complete genome,SARS-CoV,active_unit_exemplar,SARS-CoV-1,keep_active,ICTV exemplar for SARS-CoV-1,active_unit,severe acute respiratory syndrome coronavirus | Tor2 | AY274119,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,ICTV exemplar for SARS-CoV-1,ICTV exemplar for SARS-CoV-1,Formal ICTV exemplar row for the first SARS outbreak virus.,ICTV exemplar for SARS-CoV-1,Formal ICTV exemplar row for the first SARS outbreak virus.
Sarbecovirus,Betacoronavirus,Sarbecovirus,Betacoronavirus pandemicum,severe acute respiratory syndrome coronavirus 2,Wuhan-Hu-1,MN908947,Complete genome,SARS-CoV-2,active_unit_exemplar,SARS-CoV-2,keep_active,ICTV exemplar for SARS-CoV-2,active_unit,severe acute respiratory syndrome coronavirus 2 | Wuhan-Hu-1 | MN908947,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,ICTV exemplar for SARS-CoV-2,ICTV exemplar for SARS-CoV-2,Formal ICTV exemplar row for the COVID-19 virus.,ICTV exemplar for SARS-CoV-2,Formal ICTV exemplar row for the COVID-19 virus.
Sarbecovirus,Betacoronavirus,Sarbecovirus,Betacoronavirus pandemicum,severe acute respiratory syndrome-related coronavirus,BtKY72,KY352407,Complete genome,SARSr-CoV,wildlife_group_exemplar,SARS-like bat sarbecoviruses,keep_active,ICTV exemplar for a bat sarbecovirus candidate group,active_unit,severe acute respiratory syndrome-related coronavirus | BtKY72 | KY352407,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,ICTV exemplar for a bat sarbecovirus candidate group,Keep as the bat-sarbecovirus group exemplar while collecting additional NCBI names and host data.
Sarbecovirus,Betacoronavirus,Sarbecovirus,Betacoronavirus pandemicum,SARS coronavirus,PC4-227,AY613950,Complete genome,SARS-CoV,supporting_exemplar,SARS-CoV-1,keep_supporting_example,Second ICTV exemplar for SARS-CoV-1,supporting_example,SARS coronavirus | PC4-227,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,Second ICTV exemplar for SARS-CoV-1,Second ICTV exemplar for SARS-CoV-1,Use as supporting evidence for the SARS-CoV-1 analytic unit.,Second ICTV exemplar for SARS-CoV-1,Use as supporting evidence for the SARS-CoV-1 analytic unit.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS CoV Rp3/2004,Rp3/2004,DQ071615,Complete genome,Rp3,supporting_tree_example,SARS-like bat sarbecoviruses,keep_supporting_example,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,supporting_example,Bat SARS CoV Rp3/2004 | Rp3/2004,Subgenus Sarbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,Added as a classic bat SARS-related coronavirus genome commonly used in comparative sarbecovirus analyses.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS coronavirus HKU3-1,HKU3-1,DQ022305,Complete genome,HKU3,supporting_tree_example,SARS-like bat sarbecoviruses,keep_supporting_example,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,supporting_example,Bat SARS coronavirus HKU3-1 | HKU3-1,Subgenus Sarbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,Added as a representative HKU3 lineage example from the Sarbecovirus taxonomy tree using the commonly cited complete-genome accession DQ022305.2.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-like coronavirus Rs3367,Rs3367,KC881006,Complete genome,Rs3367,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat SARS-like coronavirus Rs3367 | Rs3367,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,Master list bat sarbecovirus example from Rhinolophus sinicus.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-like coronavirus Rs4028,Rs4028,,Name unresolved in current NCBI pass,Rs4028,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat SARS-like coronavirus Rs4028 | Rs4028,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,"Master list bat sarbecovirus example. Exact NCBI accession unresolved in this pass, so left blank rather than inferring from similarly named strains."
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-like coronavirus RsSHC014,RsSHC014,KC881005,Complete genome,RsSHC014,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat SARS-like coronavirus RsSHC014 | RsSHC014,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,Master list bat sarbecovirus example from Rhinolophus sinicus. Shares an accession with the SHC014 naming variant.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-like coronavirus SHC014,SHC014,KC881005,Complete genome,SHC014,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat SARS-like coronavirus SHC014 | SHC014,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,Master list SHC014 example. Uses the same NCBI accession as the RsSHC014 naming variant and should be treated as an alias-level supporting row for now.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-like coronavirus WIV1,WIV1,KF367457,Complete genome,WIV1,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat SARS-like coronavirus WIV1 | WIV1,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,Master list bat sarbecovirus example with reported ACE2-usage evidence.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-related coronavirus Rf1/2004,Rf1/2004,DQ412042,GenBank accession provided,Rf1,supporting_tree_example,SARS-like bat sarbecoviruses,keep_supporting_example,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,supporting_example,Bat SARS-related coronavirus Rf1/2004 | Rf1/2004,Subgenus Sarbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession DQ412042.1.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat SARS-related coronavirus Rm1/2004,Rm1/2004,DQ412043,GenBank accession provided,Rm1,supporting_tree_example,SARS-like bat sarbecoviruses,keep_supporting_example,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,supporting_example,Bat SARS-related coronavirus Rm1/2004 | Rm1/2004,Subgenus Sarbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession DQ412043.1.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat coronavirus RaTG13,RaTG13,MN996532,Complete genome,RaTG13,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat coronavirus RaTG13 | RaTG13,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,Master list bat sarbecovirus example with an NCBI accession available for host/location enrichment.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat coronavirus RmYN02,RmYN02,,Partial NCBI gene accessions only,RmYN02,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat coronavirus RmYN02 | RmYN02,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,Master list bat sarbecovirus example. No single clean whole-genome NCBI nucleotide accession pinned in this pass; current NCBI search returns partial gene accessions including MW201981.1 and MW201982.1.
Sarbecovirus,Betacoronavirus,Sarbecovirus,,Bat coronavirus isolate PREDICT/PDF-2370/OTBA35RSV,PDF-2370,MT726044,Complete genome,PDF-2370,supporting_named_example,SARS-like bat sarbecoviruses,keep_supporting_example,Named sarbecovirus example highlighted for zoonotic-potential review,supporting_example,Bat coronavirus isolate PREDICT/PDF-2370/OTBA35RSV | PDF-2370,Subgenus Sarbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Named sarbecovirus example highlighted for zoonotic-potential review,"Master list bat sarbecovirus example. Restored with the NCBI accession MT726044.1, but keep in mind the record metadata should still be manually reconciled against Master list shorthand location description."
Sarbecovirus,Betacoronavirus,Sarbecovirus,,BtRf-BetaCoV/HeB2013,BtRf-BetaCoV/HeB2013,KJ473812,GenBank accession provided,HeB2013,supporting_tree_example,SARS-like bat sarbecoviruses,keep_supporting_example,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,supporting_example,BtRf-BetaCoV/HeB2013 | BtRf-BetaCoV/HeB2013,Subgenus Sarbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife sarbecovirus example promoted from the NCBI taxonomy tree,Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession KJ473812.1.
