host_tax_id,vector_join_key,host,host_class,host_order,host_family,vector_species,vector_taxon_rank,vector_species_needs_review,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,record_count
39638,ixodes scapularis,Agelaius phoeniceus,aves,passeriformes,icteridae,Ixodes scapularis,species,FALSE,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States of America,,8
9649,aedes vexans,Ailurus fulgens,mammalia,carnivora,ailuridae,Aedes vexans,species,FALSE,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8833,culex erraticus,Aix sponsa,aves,anseriformes,anatidae,Culex erraticus,species,FALSE,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8833,culex peccator,Aix sponsa,aves,anseriformes,anatidae,Culex peccator,species,FALSE,Culex peccator,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8833,culiseta melanura,Aix sponsa,aves,anseriformes,anatidae,Culiseta melanura,species,FALSE,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,1
9852,dermacentor albipictus,Alces alces,mammalia,artiodactyla,cervidae,Dermacentor albipictus,species,FALSE,Dermacentor albipictus,VectorMap,TickMap,on_host_occurrence,United States of America,,83
40177,hyalomma marginatum,Alectoris barbara,aves,galliformes,phasianidae,Hyalomma marginatum,species,FALSE,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Morocco,,1
40177,ixodes festai,Alectoris barbara,aves,galliformes,phasianidae,Ixodes festai,species,FALSE,Ixodes festai,VectorMap,TickMap,on_host_occurrence,Morocco,,2
40177,ixodes ricinus,Alectoris barbara,aves,galliformes,phasianidae,Ixodes ricinus,species,FALSE,Ixodes ricinus,VectorMap,TickMap,on_host_occurrence,Morocco,,1
8496,culex atratus,Alligator mississippiensis,reptilia,crocodylia,alligatoridae,Culex atratus,species,FALSE,Culex atratus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8496,culex iolambdis,Alligator mississippiensis,reptilia,crocodylia,alligatoridae,Culex iolambdis,species,FALSE,Culex iolambdis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8496,culex peccator,Alligator mississippiensis,reptilia,crocodylia,alligatoridae,Culex peccator,species,FALSE,Culex peccator,VectorMap,BloodMealMap,blood_meal,Unites States,,5
8496,culex pilosus,Alligator mississippiensis,reptilia,crocodylia,alligatoridae,Culex pilosus,species,FALSE,Culex pilosus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
28680,culex tarsalis,Anas acuta,aves,anseriformes,anatidae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8839,aedes vexans,Anas platyrhynchos,aves,anseriformes,anatidae,Aedes vexans,species,FALSE,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8839,culex modestus,Anas platyrhynchos,aves,anseriformes,anatidae,Culex modestus,species,FALSE,Culex modestus,VectorMap,BloodMealMap,blood_meal,Czechia,,1
8839,culex pipiens,Anas platyrhynchos,aves,anseriformes,anatidae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Czechia; Unites States,,2
8839,culex quinquefasciatus,Anas platyrhynchos,aves,anseriformes,anatidae,Culex quinquefasciatus,species,FALSE,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8839,culex restuans,Anas platyrhynchos,aves,anseriformes,anatidae,Culex restuans,species,FALSE,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8839,culex tarsalis,Anas platyrhynchos,aves,anseriformes,anatidae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,2
8839,culiseta melanura,Anas platyrhynchos,aves,anseriformes,anatidae,Culiseta melanura,species,FALSE,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,1
50365,culex pipiens,Anser albifrons,aves,anseriformes,anatidae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Czechia,,1
8843,aedes vexans,Anser anser,aves,anseriformes,anatidae,Aedes vexans,species,FALSE,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
8843,armigeres subalbatus,Anser anser,aves,anseriformes,anatidae,Armigeres subalbatus,species,FALSE,Armigeres subalbatus,VectorMap,BloodMealMap,blood_meal,Japan,,1
8843,culex annulirostris,Anser anser,aves,anseriformes,anatidae,Culex annulirostris,species,FALSE,Culex annulirostris,VectorMap,BloodMealMap,blood_meal,Australia,,1
8843,culex modestus,Anser anser,aves,anseriformes,anatidae,Culex modestus,species,FALSE,Culex modestus,VectorMap,BloodMealMap,blood_meal,Czechia,,1
8843,culex pipiens,Anser anser,aves,anseriformes,anatidae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Czechia,,1
8843,culex quinquefasciatus,Anser anser,aves,anseriformes,anatidae,Culex quinquefasciatus,species,FALSE,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
132586,aedes vexans,Anser erythropus,aves,anseriformes,anatidae,Aedes vexans,species,FALSE,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Serbia,,1
45804,ixodes euplecti,Anthus trivialis,aves,passeriformes,motacillidae,Ixodes euplecti,species,FALSE,Ixodes euplecti,VectorMap,TickMap,on_host_occurrence,Egypt,,1
45804,ixodes spinae,Anthus trivialis,aves,passeriformes,motacillidae,Ixodes spinae,species,FALSE,Ixodes spinae,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The",,1
59523,rhipicephalus evertsi,Antidorcas marsupialis,mammalia,artiodactyla,bovidae,Rhipicephalus evertsi,infraspecific,FALSE,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,South Africa,,1
142466,culex pipiens,Aphelocoma californica,aves,passeriformes,corvidae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,6
142466,culex stigmatosoma,Aphelocoma californica,aves,passeriformes,corvidae,Culex stigmatosoma,species,FALSE,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,3
142466,culex tarsalis,Aphelocoma californica,aves,passeriformes,corvidae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,6
142466,culex thriambus,Aphelocoma californica,aves,passeriformes,corvidae,Culex thriambus,species,FALSE,Culex thriambus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
142466,haemaphysalis leporispalustris,Aphelocoma californica,aves,passeriformes,corvidae,Haemaphysalis leporispalustris,species,FALSE,Haemaphysalis leporispalustris,VectorMap,TickMap,on_host_occurrence,United States of America,,5
39030,cheladonta ikaoensis,Apodemus agrarius,mammalia,rodentia,muridae,Cheladonta ikaoensis,species,FALSE,Cheladonta ikaoensis,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,euschoengastica koreaensis,Apodemus agrarius,mammalia,rodentia,muridae,Euschoengastica koreaensis,species,FALSE,Euschoengastica koreaensis,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,leptotrombidium gemiticulum,Apodemus agrarius,mammalia,rodentia,muridae,Leptotrombidium gemiticulum,species,FALSE,Leptotrombidium gemiticulum,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,leptotrombidium orientale,Apodemus agrarius,mammalia,rodentia,muridae,Leptotrombidium orientale,species,FALSE,Leptotrombidium orientale,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,leptotrombidium pallidum,Apodemus agrarius,mammalia,rodentia,muridae,Leptotrombidium pallidum,species,FALSE,Leptotrombidium pallidum,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,4
39030,leptotrombidium palpale,Apodemus agrarius,mammalia,rodentia,muridae,Leptotrombidium palpale,species,FALSE,Leptotrombidium palpale,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,leptotrombidium scutellare,Apodemus agrarius,mammalia,rodentia,muridae,Leptotrombidium scutellare,species,FALSE,Leptotrombidium scutellare,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,2
39030,leptotrombidium zetum,Apodemus agrarius,mammalia,rodentia,muridae,Leptotrombidium zetum,species,FALSE,Leptotrombidium zetum,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,neotrombidium gardellai,Apodemus agrarius,mammalia,rodentia,muridae,Neotrombidium gardellai,species,FALSE,Neotrombidium gardellai,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,neotrombidium japonica,Apodemus agrarius,mammalia,rodentia,muridae,Neotrombidium japonica,species,FALSE,Neotrombidium japonica,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
39030,xenopsylla cheopis,Apodemus agrarius,mammalia,rodentia,muridae,Xenopsylla cheopis,species,FALSE,Xenopsylla cheopis,VectorMap,FleaMap,on_host_occurrence,"Korea, Republic Of",,1
105296,aedes albopictus,Apodemus speciosus,mammalia,rodentia,muridae,Aedes albopictus,species,FALSE,Aedes albopictus,VectorMap,BloodMealMap,blood_meal,Japan,,1
105296,culex tritaeniorhynchus,Apodemus speciosus,mammalia,rodentia,muridae,Culex tritaeniorhynchus,species,FALSE,Culex tritaeniorhynchus,VectorMap,BloodMealMap,blood_meal,Japan,,1
10129,dermacentor raskemensis,Apodemus sylvaticus,mammalia,rodentia,muridae,Dermacentor raskemensis,species,FALSE,Dermacentor raskemensis,VectorMap,TickMap,on_host_occurrence,Afghanistan,,1
10129,ixodes ventalloi,Apodemus sylvaticus,mammalia,rodentia,muridae,Ixodes ventalloi,species,FALSE,Ixodes ventalloi,VectorMap,TickMap,on_host_occurrence,Morocco,,1
110620,culex erraticus,Ardea alba,aves,pelecaniformes,ardeidae,Culex erraticus,species,FALSE,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,5
110620,culex stigmatosoma,Ardea alba,aves,pelecaniformes,ardeidae,Culex stigmatosoma,species,FALSE,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
110620,culex tarsalis,Ardea alba,aves,pelecaniformes,ardeidae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
30390,culex decens,Ardea cinerea,aves,pelecaniformes,ardeidae,Culex decens,species,FALSE,Culex decens,VectorMap,BloodMealMap,blood_meal,Senegal,,1
30390,culex pipiens,Ardea cinerea,aves,pelecaniformes,ardeidae,Culex pipiens,species,FALSE,Culex pipiens,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Czechia; United Kingdom,,5
56072,aedes vexans,Ardea herodias,aves,pelecaniformes,ardeidae,Aedes vexans,species,FALSE,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,2
56072,culex erraticus,Ardea herodias,aves,pelecaniformes,ardeidae,Culex erraticus,species,FALSE,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,4
56072,culex iolambdis,Ardea herodias,aves,pelecaniformes,ardeidae,Culex iolambdis,species,FALSE,Culex iolambdis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
56072,culex peccator,Ardea herodias,aves,pelecaniformes,ardeidae,Culex peccator,species,FALSE,Culex peccator,VectorMap,BloodMealMap,blood_meal,Unites States,,1
56072,culex restuans,Ardea herodias,aves,pelecaniformes,ardeidae,Culex restuans,species,FALSE,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
56072,culex tarsalis,Ardea herodias,aves,pelecaniformes,ardeidae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
61156,ctenocephalides felis,Arvicanthis niloticus,mammalia,rodentia,muridae,Ctenocephalides felis,mixed,TRUE,Ctenocephalides felis; Ctenocephalides felis strongylus,VectorMap,FleaMap,on_host_occurrence,Burkina Faso; Egypt; Senegal,,13
61156,haemaphysalis leachi,Arvicanthis niloticus,mammalia,rodentia,muridae,Haemaphysalis leachi,species,FALSE,Haemaphysalis leachi,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Nigeria; Sudan",,5
61156,hyalomma truncatum,Arvicanthis niloticus,mammalia,rodentia,muridae,Hyalomma truncatum,species,FALSE,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
61156,ixodes nairobiensis,Arvicanthis niloticus,mammalia,rodentia,muridae,Ixodes nairobiensis,species,FALSE,Ixodes nairobiensis,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The",,1
61156,ixodes nchisiensis,Arvicanthis niloticus,mammalia,rodentia,muridae,Ixodes nchisiensis,species,FALSE,Ixodes nchisiensis,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Malawi",,2
61156,ixodes thomasae,Arvicanthis niloticus,mammalia,rodentia,muridae,Ixodes thomasae,species,FALSE,Ixodes thomasae,VectorMap,TickMap,on_host_occurrence,Kenya,,1
61156,ornithodoros sonrai,Arvicanthis niloticus,mammalia,rodentia,muridae,Ornithodoros sonrai,species,FALSE,Ornithodoros sonrai,VectorMap,TickMap,on_host_occurrence,Chad,,1
61156,rhipicephalus guilhoni,Arvicanthis niloticus,mammalia,rodentia,muridae,Rhipicephalus guilhoni,species,FALSE,Rhipicephalus guilhoni,VectorMap,TickMap,on_host_occurrence,Cameroon,,2
61156,rhipicephalus sanguineus,Arvicanthis niloticus,mammalia,rodentia,muridae,Rhipicephalus sanguineus,species,FALSE,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,"Central African Republic; Congo, The Democratic Republic of The",,2
61156,rhipicephalus simus,Arvicanthis niloticus,mammalia,rodentia,muridae,Rhipicephalus simus,species,FALSE,Rhipicephalus simus,VectorMap,TickMap,on_host_occurrence,Egypt; Sudan,,7
61156,xenopsylla cheopis,Arvicanthis niloticus,mammalia,rodentia,muridae,Xenopsylla cheopis,species,FALSE,Xenopsylla cheopis,VectorMap,FleaMap,on_host_occurrence,Burkina Faso; Côte D'ivoire; Egypt; Ghana; Mauritania; Sudan,,182
111810,culex pipiens,Asio otus,aves,strigiformes,strigidae,Culex pipiens,species,FALSE,Culex pipiens,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,United Kingdom,,2
9368,amblyomma nuttalli,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Amblyomma nuttalli,species,FALSE,Amblyomma nuttalli,VectorMap,TickMap,on_host_occurrence,Burkina Faso,,2
9368,amblyomma variegatum,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Amblyomma variegatum,species,FALSE,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,Cameroon; Nigeria; Sudan,,3
9368,ctenocephalides felis,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Ctenocephalides felis,mixed,TRUE,Ctenocephalides felis; Ctenocephalides felis strongylus,VectorMap,FleaMap,on_host_occurrence,Burkina Faso; Ghana; Togo,,92
9368,haemaphysalis aciculifer,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Haemaphysalis aciculifer,species,FALSE,Haemaphysalis aciculifer,VectorMap,TickMap,on_host_occurrence,"Tanzania, United Republic of",,1
9368,haemaphysalis houyi,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Haemaphysalis houyi,species,FALSE,Haemaphysalis houyi,VectorMap,TickMap,on_host_occurrence,Burkina Faso,,1
9368,haemaphysalis leachi,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Haemaphysalis leachi,species,FALSE,Haemaphysalis leachi,VectorMap,TickMap,on_host_occurrence,Burkina Faso; Nigeria,,3
9368,haemaphysalis moreli,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Haemaphysalis moreli,species,FALSE,Haemaphysalis moreli,VectorMap,TickMap,on_host_occurrence,Senegal,,2
9368,haemaphysalis spinulosa,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Haemaphysalis spinulosa,species,FALSE,Haemaphysalis spinulosa,VectorMap,TickMap,on_host_occurrence,Cameroon; Sudan,,4
9368,hyalomma rufipes,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Hyalomma rufipes,species,FALSE,Hyalomma rufipes,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
9368,hyalomma truncatum,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Hyalomma truncatum,species,FALSE,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
9368,rhipicephalus guilhoni,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Rhipicephalus guilhoni,species,FALSE,Rhipicephalus guilhoni,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
9368,rhipicephalus pravus,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Rhipicephalus pravus,species,FALSE,Rhipicephalus pravus,VectorMap,TickMap,on_host_occurrence,Sudan,,1
9368,rhipicephalus sanguineus,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Rhipicephalus sanguineus,species,FALSE,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,Nigeria; Sudan,,4
9368,rhipicephalus sulcatus,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Rhipicephalus sulcatus,species,FALSE,Rhipicephalus sulcatus,VectorMap,TickMap,on_host_occurrence,Burkina Faso,,2
9368,xenopsylla cheopis,Atelerix albiventris,mammalia,eulipotyphla,erinaceidae,Xenopsylla cheopis,species,FALSE,Xenopsylla cheopis,VectorMap,FleaMap,on_host_occurrence,Senegal,,1
194338,culex pipiens,Athene cunicularia,aves,strigiformes,strigidae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
194338,ornithodoros parkeri,Athene cunicularia,aves,strigiformes,strigidae,Ornithodoros parkeri,species,FALSE,Ornithodoros parkeri,VectorMap,TickMap,on_host_occurrence,United States,,10
194338,oropsylla tuberculata,Athene cunicularia,aves,strigiformes,strigidae,Oropsylla tuberculata,infraspecific,TRUE,Oropsylla tuberculata cynomuris,VectorMap,FleaMap,on_host_occurrence,United States,,1
126797,hyalomma marginatum,Athene noctua,aves,strigiformes,strigidae,Hyalomma marginatum,species,FALSE,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Morocco,,1
88114,amblyomma americanum,Baeolophus bicolor,aves,passeriformes,paridae,Amblyomma americanum,species,FALSE,Amblyomma americanum,VectorMap,TickMap,on_host_occurrence,United States of America,,16
88114,culex erraticus,Baeolophus bicolor,aves,passeriformes,paridae,Culex erraticus,species,FALSE,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,2
88114,culex quinquefasciatus,Baeolophus bicolor,aves,passeriformes,paridae,Culex quinquefasciatus,species,FALSE,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
88114,culex restuans,Baeolophus bicolor,aves,passeriformes,paridae,Culex restuans,species,FALSE,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
88114,culiseta melanura,Baeolophus bicolor,aves,passeriformes,paridae,Culiseta melanura,species,FALSE,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,4
88114,ixodes brunneus,Baeolophus bicolor,aves,passeriformes,paridae,Ixodes brunneus,species,FALSE,Ixodes brunneus,VectorMap,TickMap,on_host_occurrence,United States of America,,8
88114,ixodes scapularis,Baeolophus bicolor,aves,passeriformes,paridae,Ixodes scapularis,species,FALSE,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States; United States of America,,12
142467,culex pipiens,Baeolophus inornatus,aves,passeriformes,paridae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
142467,culex stigmatosoma,Baeolophus inornatus,aves,passeriformes,paridae,Culex stigmatosoma,species,FALSE,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
142467,culex tarsalis,Baeolophus inornatus,aves,passeriformes,paridae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
142467,culex thriambus,Baeolophus inornatus,aves,passeriformes,paridae,Culex thriambus,species,FALSE,Culex thriambus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
142467,ixodes pacificus,Baeolophus inornatus,aves,passeriformes,paridae,Ixodes pacificus,species,FALSE,Ixodes pacificus,VectorMap,TickMap,on_host_occurrence,United States of America,,27
30414,argas arboreus,Balearica pavonina,aves,gruiformes,gruidae,Argas arboreus,species,FALSE,Argas arboreus,VectorMap,TickMap,on_host_occurrence,Chad,,1
456472,haemaphysalis bandicota,Bandicota indica,mammalia,rodentia,muridae,Haemaphysalis bandicota,species,FALSE,Haemaphysalis bandicota,VectorMap,TickMap,on_host_occurrence,Thailand,,10
456472,leptotrombidium chiangraiensis,Bandicota indica,mammalia,rodentia,muridae,Leptotrombidium chiangraiensis,species,FALSE,Leptotrombidium chiangraiensis,VectorMap,MiteMap,on_host_occurrence,Thailand,,1
456472,leptotrombidium imphalum,Bandicota indica,mammalia,rodentia,muridae,Leptotrombidium imphalum,species,FALSE,Leptotrombidium imphalum,VectorMap,MiteMap,on_host_occurrence,Thailand,,1
456472,sarcoptes scabiei,Bandicota indica,mammalia,rodentia,muridae,Sarcoptes scabiei,species,FALSE,Sarcoptes scabiei,VectorMap,MiteMap,on_host_occurrence,Thailand,,2
292868,amblyomma latum,Boaedon olivaceus,reptilia,squamata,lamprophiidae,Amblyomma latum,species,FALSE,Amblyomma latum,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,1
161648,culex pipiens,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,5
161648,culex quinquefasciatus,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Culex quinquefasciatus,species,FALSE,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
161648,culex stigmatosoma,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Culex stigmatosoma,species,FALSE,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
161648,culex tarsalis,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,2
161648,culiseta melanura,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Culiseta melanura,species,FALSE,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,2
161648,culiseta morsitans,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Culiseta morsitans,species,FALSE,Culiseta morsitans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
161648,ixodes brunneus,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Ixodes brunneus,species,FALSE,Ixodes brunneus,VectorMap,TickMap,on_host_occurrence,United States of America,,8
161648,ixodes scapularis,Bombycilla cedrorum,aves,passeriformes,bombycillidae,Ixodes scapularis,species,FALSE,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States of America,,4
9913,aedeomyia africana,Bos taurus,mammalia,artiodactyla,bovidae,Aedeomyia africana,species,FALSE,Aedeomyia africana,VectorMap,BloodMealMap,blood_meal,Kenya,,1
9913,aedes abserratus,Bos taurus,mammalia,artiodactyla,bovidae,Aedes abserratus,species,FALSE,Aedes abserratus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
9913,aedes aegypti,Bos taurus,mammalia,artiodactyla,bovidae,Aedes aegypti,species,FALSE,Aedes aegypti,VectorMap,BloodMealMap,blood_meal,Kenya,,2
9913,aedes albopictus,Bos taurus,mammalia,artiodactyla,bovidae,Aedes albopictus,species,FALSE,Aedes albopictus,VectorMap,BloodMealMap,blood_meal,Japan; Unites States,,2
9913,aedes atlanticus,Bos taurus,mammalia,artiodactyla,bovidae,Aedes atlanticus,species,FALSE,Aedes atlanticus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
9913,aedes bancroftianus,Bos taurus,mammalia,artiodactyla,bovidae,Aedes bancroftianus,species,FALSE,Aedes bancroftianus,VectorMap,BloodMealMap,blood_meal,Australia,,1
