matched_who_host,vector_species_analysis,vector_species_needs_review,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,record_count
Agelaius phoeniceus,Culiseta melanura,FALSE,39638,aves,passeriformes,icteridae,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Agelaius phoeniceus,Haemaphysalis chordeilis,FALSE,39638,aves,passeriformes,icteridae,Haemaphysalis chordeilis,VectorMap,TickMap,on_host_occurrence,United States of America,,4
Agelaius phoeniceus,Haemaphysalis leporispalustris,FALSE,39638,aves,passeriformes,icteridae,Haemaphysalis leporispalustris,VectorMap,TickMap,on_host_occurrence,United States of America,,24
Agelaius phoeniceus,Ixodes scapularis,FALSE,39638,aves,passeriformes,icteridae,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States of America,,8
Ailurus fulgens,Aedes vexans,FALSE,9649,mammalia,carnivora,ailuridae,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Aix sponsa,Culex erraticus,FALSE,8833,aves,anseriformes,anatidae,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Aix sponsa,Culex peccator,FALSE,8833,aves,anseriformes,anatidae,Culex peccator,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Aix sponsa,Culiseta melanura,FALSE,8833,aves,anseriformes,anatidae,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Alces alces,Dermacentor albipictus,FALSE,9852,mammalia,artiodactyla,cervidae,Dermacentor albipictus,VectorMap,TickMap,on_host_occurrence,United States of America,,83
Alectoris barbara,Hyalomma marginatum,FALSE,40177,aves,galliformes,phasianidae,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Morocco,,1
Alectoris barbara,Ixodes festai,FALSE,40177,aves,galliformes,phasianidae,Ixodes festai,VectorMap,TickMap,on_host_occurrence,Morocco,,2
Alectoris barbara,Ixodes ricinus,FALSE,40177,aves,galliformes,phasianidae,Ixodes ricinus,VectorMap,TickMap,on_host_occurrence,Morocco,,1
Alligator mississippiensis,Culex atratus,FALSE,8496,reptilia,crocodylia,alligatoridae,Culex atratus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Alligator mississippiensis,Culex iolambdis,FALSE,8496,reptilia,crocodylia,alligatoridae,Culex iolambdis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Alligator mississippiensis,Culex peccator,FALSE,8496,reptilia,crocodylia,alligatoridae,Culex peccator,VectorMap,BloodMealMap,blood_meal,Unites States,,5
Alligator mississippiensis,Culex pilosus,FALSE,8496,reptilia,crocodylia,alligatoridae,Culex pilosus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anas acuta,Culex tarsalis,FALSE,28680,aves,anseriformes,anatidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anas platyrhynchos,Aedes vexans,FALSE,8839,aves,anseriformes,anatidae,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anas platyrhynchos,Culex modestus,FALSE,8839,aves,anseriformes,anatidae,Culex modestus,VectorMap,BloodMealMap,blood_meal,Czechia,,1
Anas platyrhynchos,Culex pipiens,FALSE,8839,aves,anseriformes,anatidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Czechia; Unites States,,2
Anas platyrhynchos,Culex quinquefasciatus,FALSE,8839,aves,anseriformes,anatidae,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anas platyrhynchos,Culex restuans,FALSE,8839,aves,anseriformes,anatidae,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anas platyrhynchos,Culex tarsalis,FALSE,8839,aves,anseriformes,anatidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Anas platyrhynchos,Culiseta melanura,FALSE,8839,aves,anseriformes,anatidae,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anser albifrons,Culex pipiens,FALSE,50365,aves,anseriformes,anatidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Czechia,,1
Anser anser,Aedes vexans,FALSE,8843,aves,anseriformes,anatidae,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anser anser,Armigeres subalbatus,FALSE,8843,aves,anseriformes,anatidae,Armigeres subalbatus,VectorMap,BloodMealMap,blood_meal,Japan,,1
Anser anser,Culex annulirostris,FALSE,8843,aves,anseriformes,anatidae,Culex annulirostris,VectorMap,BloodMealMap,blood_meal,Australia,,1
Anser anser,Culex modestus,FALSE,8843,aves,anseriformes,anatidae,Culex modestus,VectorMap,BloodMealMap,blood_meal,Czechia,,1
Anser anser,Culex pipiens,FALSE,8843,aves,anseriformes,anatidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Czechia,,1
Anser anser,Culex quinquefasciatus,FALSE,8843,aves,anseriformes,anatidae,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Anser erythropus,Aedes vexans,FALSE,132586,aves,anseriformes,anatidae,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Serbia,,1
Anthus trivialis,Ixodes euplecti,FALSE,45804,aves,passeriformes,motacillidae,Ixodes euplecti,VectorMap,TickMap,on_host_occurrence,Egypt,,1
Anthus trivialis,Ixodes spinae,FALSE,45804,aves,passeriformes,motacillidae,Ixodes spinae,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The",,1
Antidorcas marsupialis,Rhipicephalus evertsi,FALSE,59523,mammalia,artiodactyla,bovidae,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,South Africa,,1
Aphelocoma californica,Culex pipiens,FALSE,142466,aves,passeriformes,corvidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,6
Aphelocoma californica,Culex stigmatosoma,FALSE,142466,aves,passeriformes,corvidae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,3
Aphelocoma californica,Culex tarsalis,FALSE,142466,aves,passeriformes,corvidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,6
Aphelocoma californica,Culex thriambus,FALSE,142466,aves,passeriformes,corvidae,Culex thriambus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Aphelocoma californica,Haemaphysalis leporispalustris,FALSE,142466,aves,passeriformes,corvidae,Haemaphysalis leporispalustris,VectorMap,TickMap,on_host_occurrence,United States of America,,5
Apodemus agrarius,Cheladonta ikaoensis,FALSE,39030,mammalia,rodentia,muridae,Cheladonta ikaoensis,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Euschoengastica koreaensis,FALSE,39030,mammalia,rodentia,muridae,Euschoengastica koreaensis,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Leptotrombidium gemiticulum,FALSE,39030,mammalia,rodentia,muridae,Leptotrombidium gemiticulum,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Leptotrombidium orientale,FALSE,39030,mammalia,rodentia,muridae,Leptotrombidium orientale,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Leptotrombidium pallidum,FALSE,39030,mammalia,rodentia,muridae,Leptotrombidium pallidum,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,4
Apodemus agrarius,Leptotrombidium palpale,FALSE,39030,mammalia,rodentia,muridae,Leptotrombidium palpale,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Leptotrombidium scutellare,FALSE,39030,mammalia,rodentia,muridae,Leptotrombidium scutellare,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,2
Apodemus agrarius,Leptotrombidium zetum,FALSE,39030,mammalia,rodentia,muridae,Leptotrombidium zetum,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Neotrombidium gardellai,FALSE,39030,mammalia,rodentia,muridae,Neotrombidium gardellai,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Neotrombidium japonica,FALSE,39030,mammalia,rodentia,muridae,Neotrombidium japonica,VectorMap,MiteMap,on_host_occurrence,Republic of Korea,,1
Apodemus agrarius,Xenopsylla cheopis,FALSE,39030,mammalia,rodentia,muridae,Xenopsylla cheopis,VectorMap,FleaMap,on_host_occurrence,"Korea, Republic Of",,1
Apodemus speciosus,Aedes albopictus,FALSE,105296,mammalia,rodentia,muridae,Aedes albopictus,VectorMap,BloodMealMap,blood_meal,Japan,,1
Apodemus speciosus,Culex tritaeniorhynchus,FALSE,105296,mammalia,rodentia,muridae,Culex tritaeniorhynchus,VectorMap,BloodMealMap,blood_meal,Japan,,1
Apodemus sylvaticus,Dermacentor raskemensis,FALSE,10129,mammalia,rodentia,muridae,Dermacentor raskemensis,VectorMap,TickMap,on_host_occurrence,Afghanistan,,1
Apodemus sylvaticus,Ixodes ventalloi,FALSE,10129,mammalia,rodentia,muridae,Ixodes ventalloi,VectorMap,TickMap,on_host_occurrence,Morocco,,1
Ardea alba,Culex erraticus,FALSE,110620,aves,pelecaniformes,ardeidae,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,5
Ardea alba,Culex stigmatosoma,FALSE,110620,aves,pelecaniformes,ardeidae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Ardea alba,Culex tarsalis,FALSE,110620,aves,pelecaniformes,ardeidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Ardea cinerea,Culex decens,FALSE,30390,aves,pelecaniformes,ardeidae,Culex decens,VectorMap,BloodMealMap,blood_meal,Senegal,,1
Ardea cinerea,Culex pipiens,FALSE,30390,aves,pelecaniformes,ardeidae,Culex pipiens,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Czechia; United Kingdom,,5
Ardea herodias,Aedes vexans,FALSE,56072,aves,pelecaniformes,ardeidae,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Ardea herodias,Culex erraticus,FALSE,56072,aves,pelecaniformes,ardeidae,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,4
Ardea herodias,Culex iolambdis,FALSE,56072,aves,pelecaniformes,ardeidae,Culex iolambdis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Ardea herodias,Culex peccator,FALSE,56072,aves,pelecaniformes,ardeidae,Culex peccator,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Ardea herodias,Culex restuans,FALSE,56072,aves,pelecaniformes,ardeidae,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Ardea herodias,Culex tarsalis,FALSE,56072,aves,pelecaniformes,ardeidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Arvicanthis niloticus,Ctenocephalides felis,FALSE,61156,mammalia,rodentia,muridae,Ctenocephalides felis,VectorMap,FleaMap,on_host_occurrence,Egypt; Senegal,,2
Arvicanthis niloticus,Ctenocephalides felis,TRUE,61156,mammalia,rodentia,muridae,Ctenocephalides felis strongylus,VectorMap,FleaMap,on_host_occurrence,Burkina Faso,,11
Arvicanthis niloticus,Haemaphysalis leachi,FALSE,61156,mammalia,rodentia,muridae,Haemaphysalis leachi,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Nigeria; Sudan",,5
Arvicanthis niloticus,Hyalomma truncatum,FALSE,61156,mammalia,rodentia,muridae,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
Arvicanthis niloticus,Ixodes nairobiensis,FALSE,61156,mammalia,rodentia,muridae,Ixodes nairobiensis,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The",,1
Arvicanthis niloticus,Ixodes nchisiensis,FALSE,61156,mammalia,rodentia,muridae,Ixodes nchisiensis,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Malawi",,2
Arvicanthis niloticus,Ixodes thomasae,FALSE,61156,mammalia,rodentia,muridae,Ixodes thomasae,VectorMap,TickMap,on_host_occurrence,Kenya,,1
Arvicanthis niloticus,Ornithodoros sonrai,FALSE,61156,mammalia,rodentia,muridae,Ornithodoros sonrai,VectorMap,TickMap,on_host_occurrence,Chad,,1
Arvicanthis niloticus,Rhipicephalus guilhoni,FALSE,61156,mammalia,rodentia,muridae,Rhipicephalus guilhoni,VectorMap,TickMap,on_host_occurrence,Cameroon,,2
Arvicanthis niloticus,Rhipicephalus sanguineus,FALSE,61156,mammalia,rodentia,muridae,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,"Central African Republic; Congo, The Democratic Republic of The",,2
Arvicanthis niloticus,Rhipicephalus simus,FALSE,61156,mammalia,rodentia,muridae,Rhipicephalus simus,VectorMap,TickMap,on_host_occurrence,Egypt; Sudan,,7
Arvicanthis niloticus,Xenopsylla cheopis,FALSE,61156,mammalia,rodentia,muridae,Xenopsylla cheopis,VectorMap,FleaMap,on_host_occurrence,Burkina Faso; Côte D'ivoire; Egypt; Ghana; Mauritania; Sudan,,182
Asio otus,Culex pipiens,FALSE,111810,aves,strigiformes,strigidae,Culex pipiens,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,United Kingdom,,2
Atelerix albiventris,Amblyomma nuttalli,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Amblyomma nuttalli,VectorMap,TickMap,on_host_occurrence,Burkina Faso,,2
Atelerix albiventris,Amblyomma variegatum,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,Cameroon; Nigeria; Sudan,,3
Atelerix albiventris,Ctenocephalides felis,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Ctenocephalides felis,VectorMap,FleaMap,on_host_occurrence,Burkina Faso; Togo,,7
Atelerix albiventris,Ctenocephalides felis,TRUE,9368,mammalia,eulipotyphla,erinaceidae,Ctenocephalides felis strongylus,VectorMap,FleaMap,on_host_occurrence,Burkina Faso; Ghana,,85
Atelerix albiventris,Haemaphysalis aciculifer,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis aciculifer,VectorMap,TickMap,on_host_occurrence,"Tanzania, United Republic of",,1
Atelerix albiventris,Haemaphysalis houyi,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis houyi,VectorMap,TickMap,on_host_occurrence,Burkina Faso,,1
Atelerix albiventris,Haemaphysalis leachi,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis leachi,VectorMap,TickMap,on_host_occurrence,Burkina Faso; Nigeria,,3
Atelerix albiventris,Haemaphysalis moreli,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis moreli,VectorMap,TickMap,on_host_occurrence,Senegal,,2
Atelerix albiventris,Haemaphysalis spinulosa,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis spinulosa,VectorMap,TickMap,on_host_occurrence,Cameroon; Sudan,,4
Atelerix albiventris,Hyalomma rufipes,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Hyalomma rufipes,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
Atelerix albiventris,Hyalomma truncatum,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
Atelerix albiventris,Rhipicephalus guilhoni,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus guilhoni,VectorMap,TickMap,on_host_occurrence,Cameroon,,1
Atelerix albiventris,Rhipicephalus pravus,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus pravus,VectorMap,TickMap,on_host_occurrence,Sudan,,1
Atelerix albiventris,Rhipicephalus sanguineus,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,Nigeria; Sudan,,4
Atelerix albiventris,Rhipicephalus sulcatus,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus sulcatus,VectorMap,TickMap,on_host_occurrence,Burkina Faso,,2
Atelerix albiventris,Xenopsylla cheopis,FALSE,9368,mammalia,eulipotyphla,erinaceidae,Xenopsylla cheopis,VectorMap,FleaMap,on_host_occurrence,Senegal,,1
Athene cunicularia,Culex pipiens,FALSE,194338,aves,strigiformes,strigidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Athene cunicularia,Ornithodoros parkeri,FALSE,194338,aves,strigiformes,strigidae,Ornithodoros parkeri,VectorMap,TickMap,on_host_occurrence,United States,,10
Athene cunicularia,Oropsylla tuberculata,TRUE,194338,aves,strigiformes,strigidae,Oropsylla tuberculata cynomuris,VectorMap,FleaMap,on_host_occurrence,United States,,1
Athene noctua,Hyalomma marginatum,FALSE,126797,aves,strigiformes,strigidae,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Morocco,,1
Baeolophus bicolor,Amblyomma americanum,FALSE,88114,aves,passeriformes,paridae,Amblyomma americanum,VectorMap,TickMap,on_host_occurrence,United States of America,,16
Baeolophus bicolor,Culex erraticus,FALSE,88114,aves,passeriformes,paridae,Culex erraticus,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Baeolophus bicolor,Culex quinquefasciatus,FALSE,88114,aves,passeriformes,paridae,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Baeolophus bicolor,Culex restuans,FALSE,88114,aves,passeriformes,paridae,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Baeolophus bicolor,Culiseta melanura,FALSE,88114,aves,passeriformes,paridae,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,4
Baeolophus bicolor,Ixodes brunneus,FALSE,88114,aves,passeriformes,paridae,Ixodes brunneus,VectorMap,TickMap,on_host_occurrence,United States of America,,8
Baeolophus bicolor,Ixodes scapularis,FALSE,88114,aves,passeriformes,paridae,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States; United States of America,,12
Baeolophus inornatus,Culex pipiens,FALSE,142467,aves,passeriformes,paridae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Baeolophus inornatus,Culex stigmatosoma,FALSE,142467,aves,passeriformes,paridae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Baeolophus inornatus,Culex tarsalis,FALSE,142467,aves,passeriformes,paridae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Baeolophus inornatus,Culex thriambus,FALSE,142467,aves,passeriformes,paridae,Culex thriambus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Baeolophus inornatus,Ixodes pacificus,FALSE,142467,aves,passeriformes,paridae,Ixodes pacificus,VectorMap,TickMap,on_host_occurrence,United States of America,,27
Balearica pavonina,Argas arboreus,FALSE,30414,aves,gruiformes,gruidae,Argas arboreus,VectorMap,TickMap,on_host_occurrence,Chad,,1
Bandicota indica,Haemaphysalis bandicota,FALSE,456472,mammalia,rodentia,muridae,Haemaphysalis bandicota,VectorMap,TickMap,on_host_occurrence,Thailand,,10
Bandicota indica,Leptotrombidium chiangraiensis,FALSE,456472,mammalia,rodentia,muridae,Leptotrombidium chiangraiensis,VectorMap,MiteMap,on_host_occurrence,Thailand,,1
Bandicota indica,Leptotrombidium imphalum,FALSE,456472,mammalia,rodentia,muridae,Leptotrombidium imphalum,VectorMap,MiteMap,on_host_occurrence,Thailand,,1
Bandicota indica,Sarcoptes scabiei,FALSE,456472,mammalia,rodentia,muridae,Sarcoptes scabiei,VectorMap,MiteMap,on_host_occurrence,Thailand,,2
Boaedon olivaceus,Amblyomma latum,FALSE,292868,reptilia,squamata,lamprophiidae,Amblyomma latum,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,1
Bombycilla cedrorum,Culex pipiens,FALSE,161648,aves,passeriformes,bombycillidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,5
Bombycilla cedrorum,Culex quinquefasciatus,FALSE,161648,aves,passeriformes,bombycillidae,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bombycilla cedrorum,Culex stigmatosoma,FALSE,161648,aves,passeriformes,bombycillidae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bombycilla cedrorum,Culex tarsalis,FALSE,161648,aves,passeriformes,bombycillidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Bombycilla cedrorum,Culiseta melanura,FALSE,161648,aves,passeriformes,bombycillidae,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Bombycilla cedrorum,Culiseta morsitans,FALSE,161648,aves,passeriformes,bombycillidae,Culiseta morsitans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bombycilla cedrorum,Ixodes brunneus,FALSE,161648,aves,passeriformes,bombycillidae,Ixodes brunneus,VectorMap,TickMap,on_host_occurrence,United States of America,,8
Bombycilla cedrorum,Ixodes scapularis,FALSE,161648,aves,passeriformes,bombycillidae,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States of America,,4
Bos taurus,Aedeomyia africana,FALSE,9913,mammalia,artiodactyla,bovidae,Aedeomyia africana,VectorMap,BloodMealMap,blood_meal,Kenya,,1
Bos taurus,Aedes abserratus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes abserratus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bos taurus,Aedes aegypti,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes aegypti,VectorMap,BloodMealMap,blood_meal,Kenya,,2
Bos taurus,Aedes albopictus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes albopictus,VectorMap,BloodMealMap,blood_meal,Japan; Unites States,,2
Bos taurus,Aedes atlanticus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes atlanticus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bos taurus,Aedes bancroftianus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes bancroftianus,VectorMap,BloodMealMap,blood_meal,Australia,,1
Bos taurus,Aedes caballus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes caballus,VectorMap,BloodMealMap,blood_meal,South Africa,,1
Bos taurus,Aedes camptorhynchus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes camptorhynchus,VectorMap,BloodMealMap,blood_meal,Australia,,1
Bos taurus,Aedes cantans,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes cantans,VectorMap,BloodMealMap,blood_meal,United Kingdom,,1
Bos taurus,Aedes caspius,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes caspius,VectorMap,BloodMealMap,blood_meal,Russia,,3
Bos taurus,Aedes circumluteolum,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes circumluteolum,VectorMap,BloodMealMap,blood_meal,Kenya,,1
Bos taurus,Aedes cumminsii,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes cumminsii,VectorMap,BloodMealMap,blood_meal,Kenya,,1
Bos taurus,Aedes dentatus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes dentatus,VectorMap,BloodMealMap,blood_meal,Kenya; South Africa,,2
Bos taurus,Aedes detritus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes detritus,VectorMap,BloodMealMap,blood_meal,United Kingdom,,2
Bos taurus,Aedes dorsalis,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes dorsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,3
Bos taurus,Aedes excrucians,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes excrucians,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bos taurus,Aedes flavescens,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes flavescens,VectorMap,BloodMealMap,blood_meal,Russia,,1
Bos taurus,Aedes flavopictus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes flavopictus,VectorMap,BloodMealMap,blood_meal,Japan,,1
Bos taurus,Aedes geniculatus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes geniculatus,VectorMap,BloodMealMap,blood_meal,Switzerland,,1
Bos taurus,Aedes hirsutus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes hirsutus,VectorMap,BloodMealMap,blood_meal,Kenya; Senegal,,2
Bos taurus,Aedes increpitus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes increpitus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Bos taurus,Aedes japonicus,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes japonicus,VectorMap,BloodMealMap,blood_meal,Belgium; Japan,,2
Bos taurus,Aedes lineatopennis,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes lineatopennis,VectorMap,BloodMealMap,blood_meal,Australia; Kenya; South Africa,,3
Bos taurus,Aedes mcintoshi,FALSE,9913,mammalia,artiodactyla,bovidae,Aedes mcintoshi,VectorMap,BloodMealMap,blood_meal,Kenya,,2
