raw_host_label,source_field,scientific_name_clean,host_binomial,host_infraspecific_epithet,host_authorship_year_suffix,host_canonicalization_flag,review_bucket,package_check_target,suggested_who_host,fuzzy_score,reason_flag,row_count
Callosciurus notatus diardii_Jentink 1879,host_scientific_name,Callosciurus notatus diardii Jentink 1879,Callosciurus notatus,diardii,Jentink 1879,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.5909090909090908,needs_binomialization,125
Sylvilagus aquaticus,host_scientific_name,Sylvilagus aquaticus,Sylvilagus aquaticus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6190476190476191,needs_manual_synonym_map,117
Spermophilus columbianus_Ord 1815,host_scientific_name,Spermophilus columbianus Ord 1815,Spermophilus columbianus,,Ord 1815,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.7083333333333333,needs_binomialization,113
Spermophilus beecheyi_Richardson 1829,host_scientific_name,Spermophilus beecheyi Richardson 1829,Spermophilus beecheyi,,Richardson 1829,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.625,needs_binomialization,112
Troglodytes aedon,host_scientific_name,Troglodytes aedon,Troglodytes aedon,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4347826086956522,needs_manual_synonym_map,103
Eumeces inexpactatus; Eumeces laticeps,host_scientific_name,Eumeces inexpactatus; Eumeces laticeps,Eumeces inexpactatus;,,Eumeces laticeps,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.44999999999999996,needs_binomialization,96
Spermophilus armatus_Kennicott 1863,host_scientific_name,Spermophilus armatus Kennicott 1863,Spermophilus armatus,,Kennicott 1863,authorship_or_suffix,manual_crosswalk_candidate,TRUE,Spermophilus dauricus,0.762,needs_binomialization,96
Capra aegagrus,host_scientific_name,Capra aegagrus,Capra aegagrus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5714285714285714,needs_manual_synonym_map,95
Ammospermophilus leucurus_Merriam 1889,host_scientific_name,Ammospermophilus leucurus Merriam 1889,Ammospermophilus leucurus,,Merriam 1889,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.64,needs_binomialization,94
Sceloporus occidentalis,host_scientific_name,Sceloporus occidentalis,Sceloporus occidentalis,,,already_binomial,manual_crosswalk_candidate,TRUE,Aechmophorus occidentalis,0.8,needs_manual_synonym_map,86
Pipilo erythrophthalmus,host_scientific_name,Pipilo erythrophthalmus,Pipilo erythrophthalmus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5217391304347826,needs_manual_synonym_map,83
Cynictis penicillata_G.[Baron] Cuvier 1829,host_scientific_name,Cynictis penicillata G.[Baron] Cuvier 1829,Cynictis penicillata,,G.[Baron] Cuvier 1829,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6818181818181819,needs_binomialization,82
Geothlypis trichas,host_scientific_name,Geothlypis trichas,Geothlypis trichas,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,82
Spermophilus variegatus grammurus_Say 1823,host_scientific_name,Spermophilus variegatus grammurus Say 1823,Spermophilus variegatus,grammurus,Say 1823,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.7391304347826086,needs_binomialization,82
Spermophilus variegatus_Erxleben 1777,host_scientific_name,Spermophilus variegatus Erxleben 1777,Spermophilus variegatus,,Erxleben 1777,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.7391304347826086,needs_binomialization,82
Lutra canadensis,host_scientific_name,Lutra canadensis,Lutra canadensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.375,needs_manual_synonym_map,80
Sylvilagus bachmani,host_scientific_name,Sylvilagus bachmani,Sylvilagus bachmani,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.65,needs_manual_synonym_map,80
Gopherus polyphemus,host_scientific_name,Gopherus polyphemus,Gopherus polyphemus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5263157894736843,needs_manual_synonym_map,72
Python bivitatus,host_scientific_name,Python bivitatus,Python bivitatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,72
Tragelaphus scriptus_Pallas 1766,host_scientific_name,Tragelaphus scriptus Pallas 1766,Tragelaphus scriptus,,Pallas 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_binomialization,70
Ochrotomys nuttalli,host_scientific_name,Ochrotomys nuttalli,Ochrotomys nuttalli,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,68
Spermophilus columbianus columbianus_Ord 1815,host_scientific_name,Spermophilus columbianus columbianus Ord 1815,Spermophilus columbianus,columbianus,Ord 1815,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.7083333333333333,needs_binomialization,66
Melospiza georgiana,host_scientific_name,Melospiza georgiana,Melospiza georgiana,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6842105263157895,needs_manual_synonym_map,64
Colinus virginianus,host_scientific_name,Colinus virginianus,Colinus virginianus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.7272727272727273,needs_manual_synonym_map,61
Dipodomys californicus,host_scientific_name,Dipodomys californicus,Dipodomys californicus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5909090909090908,needs_manual_synonym_map,60
"Kinixys belliana GRAY, 1831",host_scientific_name,"Kinixys belliana GRAY, 1831",Kinixys belliana,,"GRAY, 1831",authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4375,needs_binomialization,59
Cynomys gunnisoni zuniensis Hollister 1916,host_scientific_name,Cynomys gunnisoni zuniensis Hollister 1916,Cynomys gunnisoni,zuniensis,Hollister 1916,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.55,needs_binomialization,57
Drymarchon corais,host_scientific_name,Drymarchon corais,Drymarchon corais,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4285714285714286,needs_manual_synonym_map,56
Rhinella marina,host_scientific_name,Rhinella marina,Rhinella marina,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5263157894736843,needs_manual_synonym_map,56
Spermophilus beecheyi,host_scientific_name,Spermophilus beecheyi,Spermophilus beecheyi,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.625,needs_manual_synonym_map,56
Vulpes chama_A. Smith 1833,host_scientific_name,Vulpes chama A. Smith 1833,Vulpes chama,,A. Smith 1833,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5833333333333333,needs_binomialization,55
Hippotragus equinus_É. Geoffroy Saint-Hilaire 1803,host_scientific_name,Hippotragus equinus É. Geoffroy Saint-Hilaire 1803,Hippotragus equinus,,É. Geoffroy Saint-Hilaire 1803,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6842105263157895,needs_binomialization,54
Oryzomys subflavus_Wagner 1842,host_scientific_name,Oryzomys subflavus Wagner 1842,Oryzomys subflavus,,Wagner 1842,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5555555555555556,needs_binomialization,54
Civettictis civetta_Schreber 1776,host_scientific_name,Civettictis civetta Schreber 1776,Civettictis civetta,,Schreber 1776,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.42105263157894735,needs_binomialization,53
Silvilagus floridanus,host_scientific_name,Silvilagus floridanus,Silvilagus floridanus,,,already_binomial,manual_crosswalk_candidate,TRUE,Sylvilagus floridanus,0.952,needs_manual_synonym_map,52
Spermophilus elegans_Kennicott 1863,host_scientific_name,Spermophilus elegans Kennicott 1863,Spermophilus elegans,,Kennicott 1863,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.7142857142857143,needs_binomialization,52
Petrochelidon pyrrhonota,host_scientific_name,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.45833333333333337,needs_manual_synonym_map,51
Potamochoerus porcus_Linnaeus 1758,host_scientific_name,Potamochoerus porcus Linnaeus 1758,Potamochoerus porcus,,Linnaeus 1758,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5833333333333333,needs_binomialization,49
"Varanus niloticus (LINNAEUS, 1758)",host_scientific_name,"Varanus niloticus (LINNAEUS, 1758)",Varanus niloticus,,"(LINNAEUS, 1758)",authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_binomialization,49
Oligoryzomys eliurus_Wagner 1845,host_scientific_name,Oligoryzomys eliurus Wagner 1845,Oligoryzomys eliurus,,Wagner 1845,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6521739130434783,needs_binomialization,48
Boselaphus tragocamelus,host_scientific_name,Boselaphus tragocamelus,Boselaphus tragocamelus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4782608695652174,needs_manual_synonym_map,47
Oligoryzomys nigripes_Olfers 1818,host_scientific_name,Oligoryzomys nigripes Olfers 1818,Oligoryzomys nigripes,,Olfers 1818,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6521739130434783,needs_binomialization,45
Sylvilagus palustris,host_scientific_name,Sylvilagus palustris,Sylvilagus palustris,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.65,needs_manual_synonym_map,45
Spermophilus beldingi,host_scientific_name,Spermophilus beldingi,Spermophilus beldingi,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,44
"Stigmochelys pardalis (BELL, 1828)",host_scientific_name,"Stigmochelys pardalis (BELL, 1828)",Stigmochelys pardalis,,"(BELL, 1828)",authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.47619047619047616,needs_binomialization,42
Thryonomys swinderianus_Temminck 1827,host_scientific_name,Thryonomys swinderianus Temminck 1827,Thryonomys swinderianus,,Temminck 1827,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5217391304347826,needs_binomialization,42
Spermophilus beecheyi douglasii_Richardson 1829,host_scientific_name,Spermophilus beecheyi douglasii Richardson 1829,Spermophilus beecheyi,douglasii,Richardson 1829,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.625,needs_binomialization,41
Tamias ochrogenys,host_scientific_name,Tamias ochrogenys,Tamias ochrogenys,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6470588235294117,needs_manual_synonym_map,41
Cynomys leucurus Merriam 1890,host_scientific_name,Cynomys leucurus Merriam 1890,Cynomys leucurus,,Merriam 1890,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,37
Genetta thierryi_Matschie 1902,host_scientific_name,Genetta thierryi Matschie 1902,Genetta thierryi,,Matschie 1902,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4375,needs_binomialization,37
Cerdocyon thous_Linnaeus 1766,host_scientific_name,Cerdocyon thous Linnaeus 1766,Cerdocyon thous,,Linnaeus 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4666666666666667,needs_binomialization,36
Colinus cristatus,host_scientific_name,Colinus cristatus,Colinus cristatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.7222222222222222,needs_manual_synonym_map,36
Felis nigripes_Burchell 1824,host_scientific_name,Felis nigripes Burchell 1824,Felis nigripes,,Burchell 1824,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,36
Passerina cyanea,host_scientific_name,Passerina cyanea,Passerina cyanea,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5294117647058824,needs_manual_synonym_map,35
Spizella passerina,host_scientific_name,Spizella passerina,Spizella passerina,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5454545454545454,needs_manual_synonym_map,35
Glaucomys volans,host_scientific_name,Glaucomys volans,Glaucomys volans,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4736842105263158,needs_manual_synonym_map,34
Ochotona rufescens Gray 1842,host_scientific_name,Ochotona rufescens Gray 1842,Ochotona rufescens,,Gray 1842,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5555555555555556,needs_binomialization,34
Procavia capensis_Pallas 1766,host_scientific_name,Procavia capensis Pallas 1766,Procavia capensis,,Pallas 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6470588235294117,needs_binomialization,34
Ammodramus savannarum,host_scientific_name,Ammodramus savannarum,Ammodramus savannarum,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.47619047619047616,needs_manual_synonym_map,32
Eumeces fasciatus,host_scientific_name,Eumeces fasciatus,Eumeces fasciatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5294117647058824,needs_manual_synonym_map,32
Glaucomys sabrinus,host_scientific_name,Glaucomys sabrinus,Glaucomys sabrinus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,32
Microtus pinetorum,host_scientific_name,Microtus pinetorum,Microtus pinetorum,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,32
Myodes gapperi,host_scientific_name,Myodes gapperi,Myodes gapperi,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5625,needs_manual_synonym_map,32
Akodon cursor_Winge 1887,host_scientific_name,Akodon cursor Winge 1887,Akodon cursor,,Winge 1887,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5384615384615384,needs_binomialization,31
Akodon serrensis_Thomas 1902,host_scientific_name,Akodon serrensis Thomas 1902,Akodon serrensis,,Thomas 1902,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,31
Pipilo maculatus,host_scientific_name,Pipilo maculatus,Pipilo maculatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5555555555555556,needs_manual_synonym_map,31
Akodon montensis_Thomas 1913,host_scientific_name,Akodon montensis Thomas 1913,Akodon montensis,,Thomas 1913,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4375,needs_binomialization,30
Ichneumia albicauda ibeanus_Thomas 1904,host_scientific_name,Ichneumia albicauda ibeanus Thomas 1904,Ichneumia albicauda,ibeanus,Thomas 1904,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.4736842105263158,needs_binomialization,30
Blarina brevicauda,host_scientific_name,Blarina brevicauda,Blarina brevicauda,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6842105263157895,needs_manual_synonym_map,28
Equus africanus,host_scientific_name,Equus africanus,Equus africanus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.7333333333333334,needs_manual_synonym_map,28
Ourebia ourebi_Zimmermann 1783,host_scientific_name,Ourebia ourebi Zimmermann 1783,Ourebia ourebi,,Zimmermann 1783,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,28
Passerina ciris,host_scientific_name,Passerina ciris,Passerina ciris,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5333333333333333,needs_manual_synonym_map,28
Hippopotamus amphibius_Linnaeus 1758,host_scientific_name,Hippopotamus amphibius Linnaeus 1758,Hippopotamus amphibius,,Linnaeus 1758,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4545454545454546,needs_binomialization,26
Manis tricuspis_Rafinesque 1821,host_scientific_name,Manis tricuspis Rafinesque 1821,Manis tricuspis,,Rafinesque 1821,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5333333333333333,needs_binomialization,26
Mus caroli,host_scientific_name,Mus caroli,Mus caroli,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6363636363636364,needs_manual_synonym_map,26
Sialia sialis,host_scientific_name,Sialia sialis,Sialia sialis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5333333333333333,needs_manual_synonym_map,26
Spermophilus beldingi oregonus_Merriam 1898,host_scientific_name,Spermophilus beldingi oregonus Merriam 1898,Spermophilus beldingi,oregonus,Merriam 1898,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_binomialization,26
Vireo olivaceus,host_scientific_name,Vireo olivaceus,Vireo olivaceus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,26
Canis adustus_Sundevall 1847,host_scientific_name,Canis adustus Sundevall 1847,Canis adustus,,Sundevall 1847,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6923076923076923,needs_binomialization,25
Chondestes grammacus,host_scientific_name,Chondestes grammacus,Chondestes grammacus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,25
Helmitheros vermivorum,host_scientific_name,Helmitheros vermivorum,Helmitheros vermivorum,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.40909090909090906,needs_manual_synonym_map,25
Heterohyrax brucei_Gray 1868,host_scientific_name,Heterohyrax brucei Gray 1868,Heterohyrax brucei,,Gray 1868,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4444444444444444,needs_binomialization,25
Seiurus aurocapilla,host_scientific_name,Seiurus aurocapilla,Seiurus aurocapilla,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5789473684210527,needs_manual_synonym_map,25
Ammospermophilus leucurus leucurus_Merriam 1889,host_scientific_name,Ammospermophilus leucurus leucurus Merriam 1889,Ammospermophilus leucurus,leucurus,Merriam 1889,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.64,needs_binomialization,24
Blarina brevicauda aloga,host_scientific_name,Blarina brevicauda aloga,Blarina brevicauda,aloga,,trinomial,manual_crosswalk_candidate,TRUE,,0.6842105263157895,needs_binomialization,24
Icterus bullockii,host_scientific_name,Icterus bullockii,Icterus bullockii,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4,needs_manual_synonym_map,24
Mustela noveboracensis,host_scientific_name,Mustela noveboracensis,Mustela noveboracensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5909090909090908,needs_manual_synonym_map,24
Scalopus aquaticus,host_scientific_name,Scalopus aquaticus,Scalopus aquaticus,,,already_binomial,manual_crosswalk_candidate,TRUE,Rallus aquaticus,0.778,needs_manual_synonym_map,24
Spilogale angustifrons,host_scientific_name,Spilogale angustifrons,Spilogale angustifrons,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6363636363636364,needs_manual_synonym_map,24
Sylvilagus bachmani riparius,host_scientific_name,Sylvilagus bachmani riparius,Sylvilagus bachmani,riparius,,trinomial,manual_crosswalk_candidate,TRUE,,0.65,needs_binomialization,24
Tupaia belangeri,host_scientific_name,Tupaia belangeri,Tupaia belangeri,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,24
Atelerix frontalis_A. Smith 1831,host_scientific_name,Atelerix frontalis A. Smith 1831,Atelerix frontalis,,A. Smith 1831,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,23
Catharus minimus,host_scientific_name,Catharus minimus,Catharus minimus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6470588235294117,needs_manual_synonym_map,22
Dendroica palmarum,host_scientific_name,Dendroica palmarum,Dendroica palmarum,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,22
Oryzomys russatus_Wagner 1848,host_scientific_name,Oryzomys russatus Wagner 1848,Oryzomys russatus,,Wagner 1848,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6111111111111112,needs_binomialization,22
Berylmys berdmorei,host_scientific_name,Berylmys berdmorei,Berylmys berdmorei,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4444444444444444,needs_manual_synonym_map,21
Felis silvestris,host_scientific_name,Felis silvestris,Felis silvestris,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,21
Parotomys littledalei_Thomas 1918,host_scientific_name,Parotomys littledalei Thomas 1918,Parotomys littledalei,,Thomas 1918,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.47619047619047616,needs_binomialization,21
Setophaga ruticilla,host_scientific_name,Setophaga ruticilla,Setophaga ruticilla,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5789473684210527,needs_manual_synonym_map,21
Sitta carolinensis,host_scientific_name,Sitta carolinensis,Sitta carolinensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,21
Taterillus gracilis_Thomas 1892,host_scientific_name,Taterillus gracilis Thomas 1892,Taterillus gracilis,,Thomas 1892,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5789473684210527,needs_binomialization,21
Ichneumia albicauda_G.[Baron] Cuvier 1829,host_scientific_name,Ichneumia albicauda G.[Baron] Cuvier 1829,Ichneumia albicauda,,G.[Baron] Cuvier 1829,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4736842105263158,needs_binomialization,20
Junco phaeonotus,host_scientific_name,Junco phaeonotus,Junco phaeonotus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5625,needs_manual_synonym_map,20
Pecari tajacu,host_scientific_name,Pecari tajacu,Pecari tajacu,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,20
Pipilo albicollis,host_scientific_name,Pipilo albicollis,Pipilo albicollis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,20
Potamochoerus larvatus_F. Cuvier 1822,host_scientific_name,Potamochoerus larvatus F. Cuvier 1822,Potamochoerus larvatus,,F. Cuvier 1822,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6818181818181819,needs_binomialization,20
Sorex dispar,host_scientific_name,Sorex dispar,Sorex dispar,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.46153846153846156,needs_manual_synonym_map,20
Spilogale gracilis,host_scientific_name,Spilogale gracilis,Spilogale gracilis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6111111111111112,needs_manual_synonym_map,20
Tamias sonomae,host_scientific_name,Tamias sonomae,Tamias sonomae,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6428571428571428,needs_manual_synonym_map,20
Genetta tigrina_Schreber 1776,host_scientific_name,Genetta tigrina Schreber 1776,Genetta tigrina,,Schreber 1776,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,19
Megascops asio,host_scientific_name,Megascops asio,Megascops asio,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6470588235294117,needs_manual_synonym_map,19
Toxostoma redivivum,host_scientific_name,Toxostoma redivivum,Toxostoma redivivum,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6842105263157895,needs_manual_synonym_map,19
Cephalophus niger_Gray 1846,host_scientific_name,Cephalophus niger Gray 1846,Cephalophus niger,,Gray 1846,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6363636363636364,needs_binomialization,18
Holochilus sciureus_Wagner 1842,host_scientific_name,Holochilus sciureus Wagner 1842,Holochilus sciureus,,Wagner 1842,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5263157894736843,needs_binomialization,18
Lemniscomys striatus_Linnaeus 1758,host_scientific_name,Lemniscomys striatus Linnaeus 1758,Lemniscomys striatus,,Linnaeus 1758,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,18
Passerculus sandwichensis,host_scientific_name,Passerculus sandwichensis,Passerculus sandwichensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6,needs_manual_synonym_map,18
Spermophilus tridecemlineatus,host_scientific_name,Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6206896551724138,needs_manual_synonym_map,18
Tamiasciurus douglasii_Bachman 1838,host_scientific_name,Tamiasciurus douglasii Bachman 1838,Tamiasciurus douglasii,,Bachman 1838,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6086956521739131,needs_binomialization,18
Zonotrichia atricapilla,host_scientific_name,Zonotrichia atricapilla,Zonotrichia atricapilla,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6956521739130435,needs_manual_synonym_map,18
Certhia americana,host_scientific_name,Certhia americana,Certhia americana,,,already_binomial,manual_crosswalk_candidate,TRUE,Aythya americana,0.765,needs_manual_synonym_map,17
Genetta maculata_Gray 1830,host_scientific_name,Genetta maculata Gray 1830,Genetta maculata,,Gray 1830,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5294117647058824,needs_binomialization,17
Oxymycterus quaestor_Thomas 1903,host_scientific_name,Oxymycterus quaestor Thomas 1903,Oxymycterus quaestor,,Thomas 1903,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.7,needs_binomialization,17
Trinomys iheringi_Thomas 1911,host_scientific_name,Trinomys iheringi Thomas 1911,Trinomys iheringi,,Thomas 1911,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5294117647058824,needs_binomialization,17
"Varanus exanthematicus (BOSC, 1792)",host_scientific_name,"Varanus exanthematicus (BOSC, 1792)",Varanus exanthematicus,,"(BOSC, 1792)",authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,17
Vermivora celata,host_scientific_name,Vermivora celata,Vermivora celata,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,17
Vireo gilvus,host_scientific_name,Vireo gilvus,Vireo gilvus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5384615384615384,needs_manual_synonym_map,17
Capra aegagrus hircus,host_scientific_name,Capra aegagrus hircus,Capra aegagrus,hircus,,trinomial,manual_crosswalk_candidate,TRUE,,0.5714285714285714,needs_binomialization,16
