"","disease","type","name1","id","tag","name2","species","subregions","accu","ID","ID2"
"11382","paragonimus skjabini","hosts","human","X:\DRtemp\temp\disease_analyses/muMg6wGf3qRu",NA,"human;","human","",0,"paragonimus skjabini;human;","paragonimus skjabini;human"
"11437","ilhéus","hosts","ducks","X:\DRtemp\temp\disease_analyses/n6yQ70KW5e9i",NA,"ducks;","ducks","",0,"ilhéus;ducks;","ilhéus;ducks"
"11631","leishmania aethiopica","hosts","human","X:\DRtemp\temp\disease_analyses/OweDBTsMVL9I",NA,"human;","human","",0,"leishmania aethiopica;human;","leishmania aethiopica;human"
"11633","brucella suis","hosts","goats","X:\DRtemp\temp\disease_analyses/p3BkyP4XHb1g",NA,"goats;","goats","",0,"brucella suis;goats;","brucella suis;goats"
"11667","coxiella burnetii","hosts","sheep","X:\DRtemp\temp\disease_analyses/pC05g0YrZu0Y",NA,"sheep;","sheep","",0,"coxiella burnetii;sheep;","coxiella burnetii;sheep"
"11865","leishmania amazonensis","hosts","human","X:\DRtemp\temp\disease_analyses/rdFZJFI9ZOpa",NA,"human;","human","",0,"leishmania amazonensis;human;","leishmania amazonensis;human"
"11936","borrelia garinii","second","cattle","X:\DRtemp\temp\disease_analyses/RtsHqsq0cBGT",NA,"cattle;","cattle","",0,"borrelia garinii;cattle;","borrelia garinii;cattle"
"12245","western equine encephalitis","hosts","ducks","X:\DRtemp\temp\disease_analyses/x8CY51GAZdiu",NA,"ducks;","ducks","",0,"western equine encephalitis;ducks;","western equine encephalitis;ducks"
"12273","una","hosts","human","X:\DRtemp\temp\disease_analyses/ZAGjSHF6cKCj",NA,"human;","human","",0,"una;human;","una;human"
"149","rocio","hosts","accipiter_erythrotriorchis_1_subs_5","NfRMbkaStHRA","X:\DRtemp\temp\disease_analyses/accipiter_erythrotriorchis_1_subs_5","accipiter_erythrotriorchis_1;5;","accipiter_erythrotriorchis","5",1,"rocio;accipiter_erythrotriorchis;5","rocio;accipiter_erythrotriorchis"
"157","ilhéus","hosts","accipiter_megatriorchis_1_subs_5","ZTtwcr51qyX8","X:\DRtemp\temp\disease_analyses/accipiter_megatriorchis_1_subs_5","accipiter_megatriorchis_1;5;","accipiter_megatriorchis","5",1,"ilhéus;accipiter_megatriorchis;5","ilhéus;accipiter_megatriorchis"
"190","apeu","vectors","aedes_aedes_2_subs_5","CAxHAccKu8JY","X:\DRtemp\temp\disease_analyses/aedes_aedes_2_subs_5","aedes_aedes_2;5;","aedes_aedes","5",1,"apeu;aedes_aedes;5","apeu;aedes_aedes"
"1140","rocio","hosts","agelaioides_agelaioides_1_subs_5","4bgAcxfjpHEH","X:\DRtemp\temp\disease_analyses/agelaioides_agelaioides_1_subs_5","agelaioides_agelaioides_1;5;","agelaioides_agelaioides","5",1,"rocio;agelaioides_agelaioides;5","rocio;agelaioides_agelaioides"
"1144","pergamino","hosts","akodon azarae_akodon azarae_1_subs_5","HQbV17zGGG2S","X:\DRtemp\temp\disease_analyses/akodon azarae_akodon azarae_1_subs_5","akodon azarae_akodon azarae_1;5;","akodon azarae_akodon azarae","5",1,"pergamino;akodon azarae_akodon azarae;5","pergamino;akodon azarae_akodon azarae"
"1153","rocio","hosts","amazonetta_amazonetta_1_subs_5","04s96KS5gyd9","X:\DRtemp\temp\disease_analyses/amazonetta_amazonetta_1_subs_5","amazonetta_amazonetta_1;5;","amazonetta_amazonetta","5",1,"rocio;amazonetta_amazonetta;5","rocio;amazonetta_amazonetta"
"1157","ilhéus","hosts","amazonetta_amazonetta_1_subs_5","t2I1WErxRH20","X:\DRtemp\temp\disease_analyses/amazonetta_amazonetta_1_subs_5","amazonetta_amazonetta_1;5;","amazonetta_amazonetta","5",1,"ilhéus;amazonetta_amazonetta;5","ilhéus;amazonetta_amazonetta"
"1205","rocio","hosts","anas_anas_1_subs_5","2C6JThpyqSVm","X:\DRtemp\temp\disease_analyses/anas_anas_1_subs_5","anas_anas_1;5;","anas_anas","5",1,"rocio;anas_anas;5","rocio;anas_anas"
"1209","rocio","hosts","anas_lophonetta_1_subs_5","5WozqEUKcmeY","X:\DRtemp\temp\disease_analyses/anas_lophonetta_1_subs_5","anas_lophonetta_1;5;","anas_lophonetta","5",1,"rocio;anas_lophonetta;5","rocio;anas_lophonetta"
"1214","ilhéus","hosts","anas_lophonetta_1_subs_5","Z1gu03Agk8xj","X:\DRtemp\temp\disease_analyses/anas_lophonetta_1_subs_5","anas_lophonetta_1;5;","anas_lophonetta","5",1,"ilhéus;anas_lophonetta;5","ilhéus;anas_lophonetta"
"1217","rocio","hosts","anas_speculanas_1_subs_5","8AEh7d8BFk6W","X:\DRtemp\temp\disease_analyses/anas_speculanas_1_subs_5","anas_speculanas_1;5;","anas_speculanas","5",1,"rocio;anas_speculanas;5","rocio;anas_speculanas"
"1267","guaroa","vectors","anopheles_anopheles_2_subs_5","NvzOOce317MB","X:\DRtemp\temp\disease_analyses/anopheles_anopheles_2_subs_5","anopheles_anopheles_2;5;","anopheles_anopheles","5",1,"guaroa;anopheles_anopheles;5","guaroa;anopheles_anopheles"
"1278","rocio","hosts","anser_branta_2_subs_5","tzH2jPiuCNTg","X:\DRtemp\temp\disease_analyses/anser_branta_2_subs_5","anser_branta_2;5;","anser_branta","5",1,"rocio;anser_branta;5","rocio;anser_branta"
"1279","ilhéus","hosts","anser_branta_2_subs_5","VT25k4O6TNpF","X:\DRtemp\temp\disease_analyses/anser_branta_2_subs_5","anser_branta_2;5;","anser_branta","5",1,"ilhéus;anser_branta;5","ilhéus;anser_branta"
"1280","rocio","hosts","anser_chen_2_subs_5","2urfP5zE6G0d","X:\DRtemp\temp\disease_analyses/anser_chen_2_subs_5","anser_chen_2;5;","anser_chen","5",1,"rocio;anser_chen;5","rocio;anser_chen"
"1320","rocio","hosts","aquila_haliaeetus_1_subs_5","9MwUimNueUEn","X:\DRtemp\temp\disease_analyses/aquila_haliaeetus_1_subs_5","aquila_haliaeetus_1;5;","aquila_haliaeetus","5",1,"rocio;aquila_haliaeetus;5","rocio;aquila_haliaeetus"
"1324","rocio","hosts","aquila_spizaetus_1_subs_5","hh0l1qpESYQh","X:\DRtemp\temp\disease_analyses/aquila_spizaetus_1_subs_5","aquila_spizaetus_1;5;","aquila_spizaetus","5",1,"rocio;aquila_spizaetus;5","rocio;aquila_spizaetus"
"1325","ilhéus","hosts","aquila_spizaetus_1_subs_5","nsm484rRcyj7","X:\DRtemp\temp\disease_analyses/aquila_spizaetus_1_subs_5","aquila_spizaetus_1;5;","aquila_spizaetus","5",1,"ilhéus;aquila_spizaetus;5","ilhéus;aquila_spizaetus"
"1353","mayaro","hosts","ateles_ateles_1_subs_5","2TQzdzF9EHBb","X:\DRtemp\temp\disease_analyses/ateles_ateles_1_subs_5","ateles_ateles_1;5;","ateles_ateles","5",1,"mayaro;ateles_ateles;5","mayaro;ateles_ateles"
"1354","mayaro","hosts","ateles_brachyteles_1_subs_5","8Q00MolqAQFN","X:\DRtemp\temp\disease_analyses/ateles_brachyteles_1_subs_5","ateles_brachyteles_1;5;","ateles_brachyteles","5",1,"mayaro;ateles_brachyteles;5","mayaro;ateles_brachyteles"
"1355","una","hosts","ateles_brachyteles_1_subs_5","c6kVCRpkXAmv","X:\DRtemp\temp\disease_analyses/ateles_brachyteles_1_subs_5","ateles_brachyteles_1;5;","ateles_brachyteles","5",1,"una;ateles_brachyteles;5","una;ateles_brachyteles"
"1359","rocio","hosts","athene_glaucidium_1_subs_5","26pwEG2AETyW","X:\DRtemp\temp\disease_analyses/athene_glaucidium_1_subs_5","athene_glaucidium_1;5;","athene_glaucidium","5",1,"rocio;athene_glaucidium;5","rocio;athene_glaucidium"
"1429","rocio","hosts","bubo_bubo_1_subs_5","2miRGlC2AimN","X:\DRtemp\temp\disease_analyses/bubo_bubo_1_subs_5","bubo_bubo_1;5;","bubo_bubo","5",1,"rocio;bubo_bubo;5","rocio;bubo_bubo"
"1434","ilhéus","hosts","bubo_bubo_1_subs_5","yp7wXONqKNjV","X:\DRtemp\temp\disease_analyses/bubo_bubo_1_subs_5","bubo_bubo_1;5;","bubo_bubo","5",1,"ilhéus;bubo_bubo;5","ilhéus;bubo_bubo"
"1439","rocio","hosts","bubulcus_bubulcus_1_subs_5","3Tc467AQjRhK","X:\DRtemp\temp\disease_analyses/bubulcus_bubulcus_1_subs_5","bubulcus_bubulcus_1;5;","bubulcus_bubulcus","5",1,"rocio;bubulcus_bubulcus;5","rocio;bubulcus_bubulcus"
"1441","ilhéus","hosts","bubulcus_bubulcus_1_subs_5","5n5KeKWaVl21","X:\DRtemp\temp\disease_analyses/bubulcus_bubulcus_1_subs_5","bubulcus_bubulcus_1;5;","bubulcus_bubulcus","5",1,"ilhéus;bubulcus_bubulcus;5","ilhéus;bubulcus_bubulcus"
"1452","rocio","hosts","buteo_buteo_1_subs_5","2Z9MG9JY98UX","X:\DRtemp\temp\disease_analyses/buteo_buteo_1_subs_5","buteo_buteo_1;5;","buteo_buteo","5",1,"rocio;buteo_buteo;5","rocio;buteo_buteo"
"1456","ilhéus","hosts","buteo_buteo_1_subs_5","PIGgeedEW90y","X:\DRtemp\temp\disease_analyses/buteo_buteo_1_subs_5","buteo_buteo_1;5;","buteo_buteo","5",1,"ilhéus;buteo_buteo;5","ilhéus;buteo_buteo"
"1460","rocio","hosts","butorides_butorides_1_subs_5","AJ12uR5FF8g5","X:\DRtemp\temp\disease_analyses/butorides_butorides_1_subs_5","butorides_butorides_1;5;","butorides_butorides","5",1,"rocio;butorides_butorides;5","rocio;butorides_butorides"
"1464","ilhéus","hosts","butorides_butorides_1_subs_5","vV0Xo3lenrg8","X:\DRtemp\temp\disease_analyses/butorides_butorides_1_subs_5","butorides_butorides_1;5;","butorides_butorides","5",1,"ilhéus;butorides_butorides;5","ilhéus;butorides_butorides"
"1473","mayaro","hosts","callicebus_cheracebus_1_subs_5","d6TaDSWHyQdA","X:\DRtemp\temp\disease_analyses/callicebus_cheracebus_1_subs_5","callicebus_cheracebus_1;5;","callicebus_cheracebus","5",1,"mayaro;callicebus_cheracebus;5","mayaro;callicebus_cheracebus"
"1474","zika","second","callicebus_cheracebus_1_subs_5","lS4oSiyZpiog","X:\DRtemp\temp\disease_analyses/callicebus_cheracebus_1_subs_5","callicebus_cheracebus_1;5;","callicebus_cheracebus","5",1,"zika;callicebus_cheracebus;5","zika;callicebus_cheracebus"
"1475","una","hosts","callicebus_cheracebus_1_subs_5","Stk6IJm1K5su","X:\DRtemp\temp\disease_analyses/callicebus_cheracebus_1_subs_5","callicebus_cheracebus_1;5;","callicebus_cheracebus","5",1,"una;callicebus_cheracebus;5","una;callicebus_cheracebus"
"1479","una","hosts","callithrix_callithrix_1_subs_5","EeRKwKpYz9GH","X:\DRtemp\temp\disease_analyses/callithrix_callithrix_1_subs_5","callithrix_callithrix_1;5;","callithrix_callithrix","5",1,"una;callithrix_callithrix;5","una;callithrix_callithrix"
"1480","mayaro","hosts","callithrix_callithrix_1_subs_5","wOofX9szU5YP","X:\DRtemp\temp\disease_analyses/callithrix_callithrix_1_subs_5","callithrix_callithrix_1;5;","callithrix_callithrix","5",1,"mayaro;callithrix_callithrix;5","mayaro;callithrix_callithrix"
"1483","mayaro","hosts","callithrix_mico_1_subs_5","cN7z63M9WFKK","X:\DRtemp\temp\disease_analyses/callithrix_mico_1_subs_5","callithrix_mico_1;5;","callithrix_mico","5",1,"mayaro;callithrix_mico;5","mayaro;callithrix_mico"
"1484","machupo","hosts","calomys callosus_calomys callosus_1_subs_5","48hB1cqISaSj","X:\DRtemp\temp\disease_analyses/calomys callosus_calomys callosus_1_subs_5","calomys callosus_calomys callosus_1;5;","calomys callosus_calomys callosus","5",1,"machupo;calomys callosus_calomys callosus;5","machupo;calomys callosus_calomys callosus"
"1486","guanarito","hosts","calomys callosus_calomys callosus_2_subs_5","IyhgT5nkLIwH","X:\DRtemp\temp\disease_analyses/calomys callosus_calomys callosus_2_subs_5","calomys callosus_calomys callosus_2;5;","calomys callosus_calomys callosus","5",1,"guanarito;calomys callosus_calomys callosus;5","guanarito;calomys callosus_calomys callosus"
"1487","laguna negra","hosts","calomys laucha_calomys tener_1_subs_5","ePR9HWhJYvFT","X:\DRtemp\temp\disease_analyses/calomys laucha_calomys tener_1_subs_5","calomys laucha_calomys tener_1;5;","calomys laucha_calomys tener","5",1,"laguna negra;calomys laucha_calomys tener;5","laguna negra;calomys laucha_calomys tener"
"1488","junin","hosts","calomys laucha_calomys tener_1_subs_5","IExiukkUpF8T","X:\DRtemp\temp\disease_analyses/calomys laucha_calomys tener_1_subs_5","calomys laucha_calomys tener_1;5;","calomys laucha_calomys tener","5",1,"junin;calomys laucha_calomys tener;5","junin;calomys laucha_calomys tener"
"1490","machupo","hosts","calomys laucha_calomys tener_2_subs_5","5nOnmJEtFpZO","X:\DRtemp\temp\disease_analyses/calomys laucha_calomys tener_2_subs_5","calomys laucha_calomys tener_2;5;","calomys laucha_calomys tener","5",1,"machupo;calomys laucha_calomys tener;5","machupo;calomys laucha_calomys tener"
