fff,name,countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,CFR.low,CFR.high,cases_per_year,GROUP,TYPE,Modelled_as,notes,amplified,h2h,Vector,sporadic.endemic,%_cases_modelled,cases_per_yearx,spillover_rate_outbreaks,outbreaks_per_year,cases_per_year,Ecoregion,Eco_code,Continent,continent_code,Location,first.date,R0,R0_ref,total_area,total_pop_at_risk,mean_lon,mean_lat,Incubation.low,Incubation.high,acute_low,acute_high,CFR.low,CFR.high,proportion.of.recovered.that.are.immmune,X..chronic.carrier,Chronicduration_low,Chronicduration_high,chronic.morbidity,Convalescence_length...non.infectious.recovery,reference,notes,reference,test1
11,barmah forest,AU,alphavirus ,alphavirus,Barmah Forest virus disease,"macropus,dendrolagus,petrogale,thylogale",mammalia,,,"ochlerotatus normanensis,ochlerotatus normanensis,ochlerotatus bancroftianus,ochlerotatus vigilax,culex annulirostris,culex molestus,culex cylindricus,coquillettidia linealis,ochlerotatus vigilax,ochlerotatus camptorhynchus,culicoides marksi  ",mosquito,HOST->VECTOR->HUMAN,0,0,1000,VIRUS,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,0,no,Y,ENDEMIC,100,200,0.00000985,,200,WW,0,AU,6,AU,,0,,768230,20310208,136.189,-24.973,3,12,14,14,0,0,100,50,14,100,5,14,Werthiem,,"RRV is responsible for approximately 5,000 and BFV for 1,000 human infections annually in Australia; ref: https://helda.helsinki.fi/bitstream/handle/10138/35741/sindbisv.pdf?sequence=1",23
12,bartonella bacilliformis,"CO,EC,PE",bacteria,bacteria,Bartonellosis,human,human,,,lutzomyia verrucarum,sandfly,HUMAN->VECTOR->HUMAN,0,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acute case fatality rate is 40 to 85%; host ref Marr,John S. ""Bartonellosis."" Inter-American Institute for Advanced Studies in Cultural History,Free Union,VA,2000. 26 July 2000. Inter-American Institute for Advanced Studies in Cultural History. 9 Dec. 2008; 5-10% of individuals living in these endemic areas have the bacteria circulating in their blood. http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3493376/",24
13,machupo,BO,arenavirus ,arenavirus ,Bolivian hemorrhagic fever,"calomys callosus,calomys laucha",mammalia,,,,,HOST->HUMAN->HUMAN,6,31,24.18181818,VIRUS,HOST->HUMAN->HUMAN,H,,0,rare,N,SPORADIC,100,,,,,TR,1,SA,2,BO,1963,0,,108438,9182015,-64.671,-16.715,7,16,13.025,13.025,5,30,100,0,0,0,0,6,https://repositories.tdl.org/ttu-ir/bitstream/handle/2346/14588/Banerjee_Chandrani_Thesis.pdf?sequence=1,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4028408/,124
14,brucella suis,"MX,PE,ES,PT,IT,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,PH,BN,MN",bacteria,brucella,Brucellosis,"lepus europaeus,rangifer tarandus,cattle,pigs,sheep,goats",mammalia,,,,,HOST->HUMAN,2,2,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3493380/,43
15,brucella abortus,"MX,PE,ES,PT,IT,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,PH,BN,MN",bacteria,brucella,Brucellosis ,"bison bison,bos,syncerus caffer,bison bonasus,cattle,pigs,sheep,goats",mammalia,,,,,HOST->HUMAN,2,2,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3493380/,42
16,yersinia pestis,"US,EC,PE,BO,BR,CO,ZA,NA,LS,BW,ZW,ZM,AO,MZ,KE,TZ,SS,SD,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,KZ,RU,UZ,TM,TJ,KG,PK,AF,CN,RU,MN,KR,KP,HK",bacteria,yersinia,Bubonic Plague,"oligoryzomys andinus,rhizomys sinensis,sylvilagus brasiliensis,calomys callosus,cerradomys subflavus,necromys lasiurus",mammalia,,,"spilopsyllus,echidnophaga,ceratophyllus,nosopsyllus,xenopsylla,pulex,ctenocephalides,xenopsylla cheopsis",flea,HOST->VECTOR->HUMAN->HUMAN,100,100,2500,BACTERIA,HOST->VECTOR->HUMAN->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,0,yes,Y,SPORADIC,,3000,0.000000832,2500,2500,WW,0,"NthA,SA,AF,AS","1,2,4,5","US,EC,PE,BO,BR,CO,ZA,NA,LS,BW,ZW,ZM,AO,MZ,KE,TZ,SS,SD,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,KZ,RU,UZ,TM,TJ,KG,PK,AF,CN,RU,MN,KR,KP,HK",-4000,1.06,Nishiura et al. J Theor Biol. 2012 February 7; 294C: 48–55,7065032,3004298630,44.57140426,19.02134043,1,4,7,7,100,100,100,0,0,0,0,0,Werthiem,,Werthiem,234
17,cache valley,US,orthobunyavirus,orthobunyavirus,Bunyamwera Viral fever,"odocoileus hemionus,odocoileus virginianus,cervus elaphus",mammalia,,,"neomelaniconion circumluteolum,skusea pembaensis,ochlerotatus sollicitan,culex tritaeniorhynchus,culiseta inornata,psorophora confinnis,anopheles grabhamii,anopheles quadrimaculatus,anopheles crucians ",mosquito,HOST->VECTOR->HUMAN,0,1,1,VIRUS,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,all,no,Y,ENDEMIC,100,1000,very low,,1000,,0,AF,4,US,,0,,915896,299846449,-98.606,39.622,10,10,14,14,0,0,100,5,300,300,30,14,Werthiem,"Gonzalez JP, Georges AJ (1988) Bunyaviral fevers: Bunyamwera, Ilesha, Germiston, Bwamba and Tataguine. In: Monath T, editor The Arboviruses: Epidemiology and Ecology. Boca Raton, FL: CRC press.pp. 87–98. (1oth most common - 100 cases of similar in US so guessing at 1000)",http://wwwnc.cdc.gov/eid/article/12/5/05-1625_article,47
18,tensaw ,US,orthobunyavirus,orthobunyavirus,Bunyamwera Viral fever,"sylvilagus palustris,urocyon cinereoargenteus",mammalia,,,"anopheles crucians,psorophora ciliata,psorophora confinnis,anopheles quadrimaculatus,deinocerites atlanticus,ochlerotatus mitchellae,culex nigripalpus,coquillettidia perturbans",mosquito,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chamberlain,R.W.,Sudia,W.D.,and Coleman,P.H. 1969. Isolations of an arbovirus of the Bunyamwera group (Tensaw virus) from mosquitoes in the southeastern United States,1960-1963. American Jourl of Tropical Medicine and Hygiene,18(1): 92-97; Calisher CH,Francy DB,Smith GC,Muth DJ,Lazuick JS,Karabatsos N,Jakob WL,McLean RG,1986. Distribution of Bunyamwera serogroup viruses in North America. American Jourl of Tropical Medicine and Hygiene 35: 429–443;Wozniak A,Dowda HE,Tolson MW,Karabatsos N,Vaughn DR,Turner PE,Ortiz DI,Wills W. 2001. Arbovirus surveillance in South Caroli 1996-98. Jourl of the American Mosquito Control Association 17: 73-78.",215
19,caraparu,"PA,TT,GF,GY,SR,BR,PE",orthobunyavirus,orthobunyavirus,Bunyavirus Group C Disease,"hylaeamys megacephalus,hylaeamys laticeps,proechimys guyannensis,nectomys squamipes,zygodontomys brevicauda,heteromys anomalus,artibeus",mammalia,,,"culex vomerifer,culex portesi,culex caudelli,culex spissipes,limatus durhamii,wyeomyia",mosquito,HOST->VECTOR->HUMAN,0,0,1,VIRUS,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,0,no,Y,ENDEMIC,100,,,,,TR,1,"NthA,SA","1,2","PA,TT,GF,GY,SR,BR,PE",,0,,1025998,220044288,-62.70585714,1.656714286,3,12,5,5,0,0,100,0,0,0,0,14,Werthiem,,"5% seroprevalance - 50 cases reported caraparu or oribica virus,ref: Acha,Pedro N.,and Boris Szyfres. Zoonosis y enfermedades transmisibles comunes al hombre ya los animales: clamidiosis,rickettsiosis y virosis. 3. Pan American Health Organization,2003.",51
20,apeu,"PE,BR",orthobunyavirus,orthobunyavirus,Bunyavirus Group C Disease,"caluromys philander,marmosa demerarae",mammalia,,,"howardina arborealis,howardina septemstriata,culex aikenii ",mosquito,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ajtmh.org/content/13/1/108.short,9
21,la crosse,US,orthobunyavirus,orthobunyavirus,California Group Virus disease,"tamias,sciurus",mammalia,,,aedes triseriatus,mosquito,HOST->VECTOR->HUMAN,0.1,0.1,159.0909091,VIRUS,HOST->VECTOR->HUMAN,HV,,0,no,Y,maybe,100,159.0909091,0.000000707,,159.0909091,TE,2,NthA,1,US,,0,,915896,299846449,-98.606,39.622,5,15,5,10,0.1,0.1,100,5,60,60,20,14,http://www.cdc.gov/lac/tech/fact.html,,http://www.cdc.gov/lac/tech/fact.html,104
22,tahyna,"GB,ES,MA,TU,FR,IT,DE,PL,RO,RS,RU,CN,TJ",orthobunyavirus,orthobunyavirus,California Group Virus disease,lepus,mammalia,,,"ochlerotatus caspius,aedimorphus vexans,ochlerotatus cantan,culiseta annulata,aedes cinereus,ochlerotatus sticticus,culex modestus,culiseta annulata,anopheles hyrcanus,aedes dianteus,aedes communis",mosquito,HOST->VECTOR->HUMAN,0.1,0.1,39.326,VIRUS,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,0,no,Y,maybe,100,,,,,TE,2,"EU,AF,AS","3,4,5","GB,ES,MA,TU,FR,IT,DE,PL,RO,RS,RU,CN,TJ",,0,,2876492,1816813166,29.02775,45.48108333,5,15,5,10,0.1,0.1,100,5,60,60,20,14,http://www.cdc.gov/lac/tech/fact.html,,http://www.ncbi.nlm.nih.gov/pubmed/21462509,212
23,jamestown canyon,"CA,US",orthobunyavirus,orthobunyavirus,California Group Virus disease,odocoileus virginianus,mammalia,,,"culiseta inornata,aedes communis,ochlerotatus stimulans,hybomitra lasiophthalma,chrysops cincticornis,ochlerotatus abserratus,aedimorphus vexans,ochlerotatus cantator,aedes triseriatus,psorophora",mosquito,HOST->VECTOR->HUMAN,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/26033022,96
24,inkoo,"RU,FI,SE",orthobunyavirus,orthobunyavirus,California Group Virus disease,lepus timidus,mammalia,,,"aedes communis,ochlerotatus punctor ",mosquito,HOST->VECTOR->HUMAN,0.1,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://wwwnc.cdc.gov/eid/article/22/5/15-1015-t1,91
25,snowshoe hare,"US,CA,RU",orthobunyavirus,orthobunyavirus,California Group Virus disease,"lepus americanus,urocitellus parryii",mammalia,,,"ochlerotatus canadensis,ochlerotatus fitchii,aedes cinereus,aedes communis,culiseta inornata,ochlerotatus stimulans,ochlerotatus excrucians,ochlerotatus punctor,ochlerotatus cataphylla,ochlerotatus hexodontus,ochlerotatus intrudens,culiseta impatiens,simulium malysceri ",mosquito,HOST->VECTOR->HUMAN,0.1,0.1,1,VIRUS,HOST->VECTOR->HUMAN,HV,,0,no,Y,maybe,100,,,,,TE,2,"NthA,AS","1,5","US,CA,RU",,0,,3463341,476070048,-37.11666667,53.56366667,5,15,5,10,0.1,0.1,100,5,60,60,20,14,http://www.cdc.gov/lac/tech/fact.html,,http://www.phac-aspc.gc.ca/publicat/ccdr-rmtc/07vol33/dr3311c-eng.php,209
26,trypanosoma cruzi,"MX,BZ,GT,HN,SV,NI,CR,PA,CO,EC,PE,BO,AR,VE,GF,GY,SR,PY",parasite,trypanosoma,Chagas disease,human,human,,,"panstrongylus,rhodnius,triatoma",triatomid,HUMAN->VECTOR->HUMAN->HUMAN,5,10,7600000,PARASITE,HUMAN->VECTOR->HUMAN->HUMAN,V_H,,0,rare,Y,ENDEMIC,100,7600000,0.101333333,,7600000,TR,1,"NthA,SA","1,2","MX,BZ,GT,HN,SV,NI,CR,PA,CO,EC,PE,BO,AR,VE,GF,GY,SR,PY",,1.25,Massad E1.2007.Epidemiol Infect. 2008 Sep;136(9):1153-64. Epub 2007 Dec 4.,1055639,264397493,-75.37838889,3.000277778,5,30,56,56,5,10,0,25,1000,1000,50,14,http://www.ncbi.nlm.nih.gov/pubmed/18053273;http://iai.asm.org/content/76/9/3967.full,,http://www.ncbi.nlm.nih.gov/pubmed/18053273;http://iai.asm.org/content/76/9/3967.full,223
27,chikungunya,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,ZA,NA,LS,BW,ZW,ZM,AO,MZ,SO,ET,KE,UG,TZ,BI,RW,IN,PK,MM,TH,LA,KH,VN,MY,PH,BN,CN,NC,TL",alphavirus ,alphavirus,Chikungunya Fever,"human,pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,,,"stegomyia aegypti,stegomyia albopicta",,HOST->VECTOR->HUMAN->VECTOR->HUMAN->HUMAN,0.1,0.1,1.00E+07,VIRUS,HOST->VECTOR->HUMAN->VECTOR->HUMAN->HUMAN,V_H,HOST NOT MODELLED - apes and humans(in asia),0,rare,Y,ENDEMIC,100,10000000,0.0028869,,10000000,WW,0,"AF,EU,AS","3,4,5","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,ZA,NA,LS,BW,ZW,ZM,AO,MZ,SO,ET,KE,UG,TZ,BI,RW,IN,PK,MM,TH,LA,KH,VN,MY,PH,BN,CN,NC,TL",,0,,2896411,3463923809,43.08995122,4.663097561,3,7,2,7,0.1,0.1,100,50,300,300,15,14,http://www.ecdc.europa.eu/en/publications/Publications/0804_MER_Chikungunya_Modelling.pdf;http://www.who.int/denguecontrol/arbo-viral/other_arboviral_chikungunya/en/,,http://www.ecdc.europa.eu/en/publications/Publications/0804_MER_Chikungunya_Modelling.pdf;http://www.who.int/denguecontrol/arbo-viral/other_arboviral_chikungunya/en/,54
28,clonorchis sinesis,"CN,TH,VN,KR,KP,JP,RU,TW",parasite,clonorchis,Clonorichiasis,"bithynia,parafossarulus,melanoides tuberculata,semisulcospira libertina,assiminea lutea,tarebia granifera",invert,,,"cyprinus carpio,ctenopharyngodon idellus,carassius carassius,pseudorasbora parva,abbottina rivularis,hemiculter,opsariichthys,rhodeus,sarcocheilichthys,zacco platypus,nipponocypris temminckii,hypomesus olidus",,HOST->VECTOR->HUMAN,0,0,34999993.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: World Health Organization (1995). Control of Foodborne Trematode Infection. WHO Technical Report Series. 849. PDF part 1,PDF part 2. page 125-126.",56
29,colorado tick,"US,CA",coltivirus,coltivirus,Colorado Tick fever,"erethizon,coendou,chaetomys,ammospermophilus,spermophilus,cynomys,marmota,tamias,sciurotamias",mammalia,,,dermacentor andersoni,,HOST->VECTOR->HUMAN,0.01,0.01,5,VIRUS,HOST->VECTOR->HUMAN,HV,NO - BOTH - sort out have dermacator,0,no,Y,ENDEMIC,100,,,,,TE,2,NthA,1,"US,CA",,0,,1825247,332116956,-104.0195,49.3515,3,4,21,21,0.01,0.01,100,0,0,0,0,30,Werthiem,,ref: http://www.ncbi.nlm.nih.gov/pubmed/25988440,57
30,cowpox,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI",poxviridae,poxviridae,cowpox,"microtus,apodemus,myodes",mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://wwwnc.cdc.gov/eid/article/15/5/09-0235_article,58
31,crimean congo hemorrhagic,"MR,BF,CG,UG,KE,TZ,ZA,RU,RS,KZ,TR,BG,IR,IQ,UA,SA,OM,IN,AF,TJ,UZ,CN",nairovirus,nairovirus,Crimean-Congo Hemorrhagic Fever,"lepus victoriae,lepus saxatilis,lepus capensis,lepus europaeus,lepus crawshayi,lepus microtis,sheep,cattle",mammalia,,,"hyalomma  plumbeum,hyalomma turanicum,hyalomma anatolicum,hyalomma asiaticum,hyalomma detritum,haemaphysalis punctata,rhipicephalus bursa,rhipicephalus pumilio,rhipicephalus sanguineus,rhipicephalus rossicus,rhipicephalus turanicus,dermancentor marginatus,ixodes ricinus,boophilus calcaratus,argas persicus  ",,HOST->VECTOR->HUMAN->HUMAN,10,40,1000,VIRUS,HOST->VECTOR->HUMAN->HUMAN,V_H,HOST NOT MODELLED,all,rare,B,,100,1000,0.000000325,,1000,WW,0,"AF,EU,AS","3,4,5","MR,BF,CG,UG,KE,TZ,ZA,RU,RS,KZ,TR,BG,IR,IQ,UA,SA,OM,IN,AF,TJ,UZ,CN",,0,,4309570,3076005181,45.12272727,25.644,1,12,12,12,10,40,100,0,0,0,0,14,http://www.nejm.org/doi/full/10.1056/NEJMc1300266,,"ref: Crimean-Congo Hemorrhagic Fever: A Global Perspective edited by Onder Ergonul,Chris A. Whitehousehttp://www.nejm.org/doi/full/10.1056/NEJMc1300266",60
32,leishmania tropica,"KZ,RU,UZ,TM,TJ,KG,PK,AF,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MA,DZ,TN,LY,EG,MM,TH,LA,KH,VN,MY,PH,BN",parasite,leishmania,Cutaneous leishmaniasis,human,human,"hyraxes, canids, rodents",mammalia,phlebotomus,,HUMAN->VECTOR->HUMAN,0,0,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werthiem,118
33,leishmania amazonensis,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,BZ,GT,HN,SV,NI,CR,PA,MX",parasite,leishmania,Cutaneous leishmaniasis,human,human,"hyraxes, canids, rodents",mammalia,lutzomyia,,HUMAN->VECTOR->HUMAN,0,0,500000,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,0,no,Y,ENDEMIC,100,,,,,TR,1,SA,2,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",,0,,1752020,333224543,-63.70623077,-9.933230769,7,300,0,0,0,0,50,100,300,300,10,14,Werthiem,,Werthiem,111
