target_id,Pathogens,Disease_name,query_used,in_gibb_etal,in_empres_i,manifest_status,qa_flags,status,records_found,ids_collected,records_parsed,countries_observed,note,has_retrieval_log,qa_flag
Coltivirus_dermacentoris,Coltivirus dermacentoris,Colorado tick fever,(txid2748762[Organism:exp] OR txid3428066[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,491,491,491,2,NA,TRUE,ok
Coxiella_burnetii,Coxiella burnetii,Q fever,txid777[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,14628,14628,14628,61,NA,TRUE,ok
Eastern_equine_encephalitis_virus,Eastern equine encephalitis virus,EEE,txid11021[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,1436,1436,1436,20,NA,TRUE,ok
Ehrlichia_chaffeensis,Ehrlichia chaffeensis,Ehrlichia chaffeensis,txid945[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,604,604,604,18,NA,TRUE,ok
Henipavirus_hendraense,Henipavirus hendraense,Hendra,txid3052223[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,252,252,252,2,NA,TRUE,ok
Henipavirus_nipahense,Henipavirus nipahense,Nipah virus disease,"""Henipavirus nipahense""[Organism] OR ""Nipah virus""[Organism] OR ""henipavirus nipahense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,427,427,427,8,NA,TRUE,ok
Leishmania_aethiopica,Leishmania aethiopica,Leishmania aethiopica,txid5667[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,303,303,303,3,NA,TRUE,ok
Lyssavirus_australis,Lyssavirus australis,Australian bat lyssavirus,txid90961[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,120,120,120,1,NA,TRUE,ok
Lyssavirus_bokeloh,Lyssavirus bokeloh,Bokeloh bat lyssavirus,txid1072176[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,12,12,12,3,NA,TRUE,ok
Lyssavirus_duvenhage,Lyssavirus duvenhage,Duvenhage,txid38767[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,50,50,50,3,NA,TRUE,ok
Lyssavirus_irkut,Lyssavirus irkut,Irkut,txid249583[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,9,9,9,2,NA,TRUE,ok
Lyssavirus_rabies,Lyssavirus rabies,Rabies,txid11292[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,32657,32657,32657,138,NA,TRUE,ok
Mammarenavirus_guanaritoense,Mammarenavirus guanaritoense,Guanarito,txid3052307[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,160,160,160,3,NA,TRUE,ok
Mammarenavirus_juninense,Mammarenavirus juninense,Argentine hemorrhagic fever,"""Mammarenavirus juninense""[Organism] OR ""Junin virus""[Organism] OR ""mammarenavirus juninense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,247,247,247,3,NA,TRUE,ok
Mammarenavirus_lassaense,Mammarenavirus lassaense,Lassa fever,"""Mammarenavirus lassaense""[Organism] OR ""mammarenavirus lassaense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,2871,2871,2871,11,NA,TRUE,ok
Mammarenavirus_lujoense,Mammarenavirus lujoense,Lujo hemorrhagic fever,txid3052314[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,11,11,11,3,NA,TRUE,ok
Mammarenavirus_machupoense,Mammarenavirus machupoense,Machupo,txid3052317[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,177,177,177,3,NA,TRUE,ok
Onyong_nyong_virus,Onyong-nyong virus,O'nyong-nyong,txid2169701[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,33,33,33,5,NA,TRUE,ok
Orbivirus_alphaequi,Orbivirus alphaequi,African horse sickness,txid40050[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,3238,3238,3238,14,NA,TRUE,ok
Orbivirus_caerulinguae,Orbivirus caerulinguae,Bluetongue,(txid3431240[Organism:exp] OR txid40051[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,13345,13345,13345,78,NA,TRUE,ok
Orbivirus_ruminantium,Orbivirus ruminantium,Epizootic haemorrhagic disease,(txid3431252[Organism:exp] OR txid40054[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,2023,2023,2023,23,NA,TRUE,ok
Orientia_tsutsugamushi,Orientia tsutsugamushi,Scrub typhus,txid784[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,10080,10080,10080,19,NA,TRUE,ok
Orthobornavirus_bornaense,Orthobornavirus bornaense,Borna disease (encephalitis),txid1714619[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,461,461,461,10,NA,TRUE,ok
Orthobunyavirus_jamestownense,Orthobunyavirus jamestownense,Jamestown Canyon,txid3052402[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,450,450,450,7,NA,TRUE,ok
Orthobunyavirus_lacrosseense,Orthobunyavirus lacrosseense,La Crosse encephalitis,txid3052409[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,414,414,414,1,NA,TRUE,ok
Orthobunyavirus_oropoucheense,Orthobunyavirus oropoucheense,Oropouche fever,"""Orthobunyavirus oropoucheense""[Organism] OR ""Oropouche virus""[Organism] OR ""orthobunyavirus oropoucheense""[Organism]",NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,3317,3317,3317,15,NA,TRUE,ok
Orthobunyavirus_schmallenbergense,Orthobunyavirus schmallenbergense,Schmallenberg,(txid159141[Organism:exp] OR txid159150[Organism:exp] OR txid3052437[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,553,553,553,18,NA,TRUE,ok
Orthoebolavirus_sudanense,Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),"""Orthoebolavirus sudanense""[Organism] OR ""Sudan ebolavirus""[Organism] OR ""orthoebolavirus sudanense""[Organism]",NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,169,169,169,4,NA,TRUE,ok
Orthoebolavirus_zairense,Orthoebolavirus zairense,Ebola virus disease,"""Orthoebolavirus zairense""[Organism] OR ""Ebola virus""[Organism] OR ""orthoebolavirus zairense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,3900,3900,3900,17,NA,TRUE,ok
Orthoflavivirus_denguei,Orthoflavivirus denguei,Dengue,"""Orthoflavivirus denguei""[Organism] OR ""Dengue virus""[Organism] OR ""orthoflavivirus denguei""[Organism] OR ""dengue virus""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,57001,57001,57001,146,NA,TRUE,ok
Orthoflavivirus_encephalitidis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,(txid11084[Organism:exp] OR txid3052465[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,3621,3621,3621,37,NA,TRUE,ok
Orthoflavivirus_flavi,Orthoflavivirus flavi,Yellow fever,"""Orthoflavivirus flavi""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,2352,2352,2352,42,NA,TRUE,ok
Orthoflavivirus_japonicum,Orthoflavivirus japonicum,Japanese encephalitis,(txid11072[Organism:exp] OR txid3048158[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,4026,4026,4026,22,NA,TRUE,ok
Orthoflavivirus_kyasanurense,Orthoflavivirus kyasanurense,Kyasanur Forest disease,(txid3048170[Organism:exp] OR txid33743[Organism:exp]),NA,NA,ready_for_future_retrieval,duplicate_species_group; already_has_genbank_country_evidence,success,403,403,403,4,NA,TRUE,ok
Orthoflavivirus_louisense,Orthoflavivirus louisense,St. Louis encephalitis,(txid11080[Organism:exp] OR txid3052468[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,559,559,559,12,NA,TRUE,ok
Orthoflavivirus_murrayense,Orthoflavivirus murrayense,Murray Valley encephalitis,(txid11079[Organism:exp] OR txid3048215[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,364,364,364,3,NA,TRUE,ok
Orthoflavivirus_nilense,Orthoflavivirus nilense,West Nile fever,"""Orthoflavivirus nilense""[Organism] OR ""West Nile virus""[Organism] OR ""orthoflavivirus nilense""[Organism] OR ""west nile virus""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,25278,25278,25278,73,NA,TRUE,ok
Orthoflavivirus_omskense,Orthoflavivirus omskense,Omsk HF,(txid12542[Organism:exp] OR txid3048233[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,135,135,135,1,NA,TRUE,ok
Orthoflavivirus_powassanense,Orthoflavivirus powassanense,Powassan,(txid11083[Organism:exp] OR txid3048287[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,709,709,709,3,NA,TRUE,ok
Orthoflavivirus_zikaense,Orthoflavivirus zikaense,Zika virus disease,"""Orthoflavivirus zikaense""[Organism] OR ""Zika virus""[Organism] OR ""orthoflavivirus zikaense""[Organism] OR ""zika virus""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,2726,2726,2726,79,NA,TRUE,ok
Orthohantavirus_andesense,Orthohantavirus andesense,Andes,txid1980456[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,739,739,739,8,NA,TRUE,ok
Orthohantavirus_bayoui,Orthohantavirus bayoui,Bayou,txid3052470[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,22,22,22,2,NA,TRUE,ok
Orthohantavirus_hantanense,Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),"""Orthohantavirus hantanense""[Organism] OR ""Hantaan orthohantavirus""[Organism] OR ""orthohantavirus hantanense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,2353,2353,2353,5,NA,TRUE,ok
Orthohantavirus_prospectense,Orthohantavirus prospectense,Prospect Hill,txid3052492[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,24,24,24,1,NA,TRUE,ok
Orthohantavirus_sinnombreense,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome; Sin Nombre,(txid3052499[Organism:exp] OR txid44755[Organism:exp]),NA,NA,ready_for_future_retrieval,duplicate_species_group; already_has_genbank_country_evidence,success,480,480,480,2,NA,TRUE,ok
Orthomarburgvirus_marburgense,Orthomarburgvirus marburgense,Marburg virus disease,"""Orthomarburgvirus marburgense""[Organism] OR ""Marburg virus""[Organism] OR ""orthomarburgvirus marburgense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,416,416,416,16,NA,TRUE,ok
Orthonairovirus_haemorrhagiae,Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,"""Orthonairovirus haemorrhagiae""[Organism] OR ""orthonairovirus haemorrhagiae""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,5437,5437,5437,53,NA,TRUE,ok
Orthopoxvirus_monkeypox,Orthopoxvirus monkeypox,Mpox (Monkeypox),txid10244[Organism:exp] OR txid3431483[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,12040,12040,12040,61,NA,TRUE,ok
Orthoreovirus_mammalis,Orthoreovirus mammalis,Reovirus infection (usually mild),txid351073[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; manual_genbank_override; already_has_genbank_country_evidence,success,2427,2427,2427,25,NA,TRUE,ok
Pararubulavirus_menangleense,Pararubulavirus menangleense,Menangle,txid3052599[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,7,7,7,1,NA,TRUE,ok
Paslahepevirus_balayani,Paslahepevirus balayani,Hepatitis E,txid1678143[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,12114,12114,12114,62,NA,TRUE,ok
Phlebovirus_riftense,Phlebovirus riftense,Rift Valley fever,"""Phlebovirus riftense""[Organism] OR ""phlebovirus riftense""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,1946,1946,1946,33,NA,TRUE,ok
Plasmodium_knowlesi,Plasmodium knowlesi,Zoonotic malaria (P. knowlesi),txid5850[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,8921,8921,8921,16,NA,TRUE,ok
Rickettsia_conorii_subsp_indica,Rickettsia conorii subsp. indica,Rickettsia conorii indica,txid317865[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,success,45,45,45,3,NA,TRUE,ok
Rickettsia_rickettsii,Rickettsia rickettsii,Brazilian spotted fever,txid783[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,1573,1573,1573,11,NA,TRUE,ok
Rickettsia_typhi,Rickettsia typhi,Murine typhus,txid785[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,7613,7613,7613,21,NA,TRUE,ok
Rocio_virus,Rocio virus,Rocio,txid64315[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; shared_species_proxy; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,success,23,23,23,1,NA,TRUE,ok
Western_equine_encephalitis_virus,Western equine encephalitis virus,WEE,txid11039[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,225,225,225,10,NA,TRUE,ok
Yersinia_pestis,Yersinia pestis,Plague,"""Yersinia pestis""[Organism] OR ""yersinia pestis""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,483325,483325,483325,36,NA,TRUE,ok
Burkholderia_pseudomallei,Burkholderia pseudomallei,Melioidosis,txid28450[Organism:exp],NA,NA,ready_for_future_retrieval,NA,skipped_records_found_exceeds_limit,735309,0,0,0,records_found_exceeds_limit:735309>100000,TRUE,skipped_records_found_exceeds_limit
Francisella_tularensis,Francisella tularensis,Tularemia,txid263[Organism:exp],NA,NA,ready_for_future_retrieval,NA,skipped_records_found_exceeds_limit,161169,0,0,0,records_found_exceeds_limit:161169>100000,TRUE,skipped_records_found_exceeds_limit
Trypanosoma_cruzi,Trypanosoma cruzi,Chagas (acute),txid5693[Organism:exp],NA,NA,ready_for_future_retrieval,NA,skipped_records_found_exceeds_limit,191310,0,0,0,records_found_exceeds_limit:191310>100000,TRUE,skipped_records_found_exceeds_limit
