source_dataset,analysis_unit_id,readiness_disease_name,host_role_bucket,host_role_evidence_basis,modelling_role_proxy_confidence,modelling_role_proxy_needs_review,rows
repo_pilot,master_24,Severe fever with thrombocytopenia syndrome (SFTS),host_presence_only,candidate_only,low,TRUE,35
repo_pilot,master_24,Severe fever with thrombocytopenia syndrome (SFTS),reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
repo_pilot,who_37,Sudan virus disease (Ebola virus disease),reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_23,Tick-borne encephalitis,host_presence_only,candidate_only,low,TRUE,90
repo_pilot,master_23,Tick-borne encephalitis,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
repo_pilot,master_25,Venezuelan equine encephalitis,host_presence_only,candidate_only,low,TRUE,86
repo_pilot,master_25,Venezuelan equine encephalitis,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_6,West Nile fever,host_presence_only,candidate_only,low,TRUE,128
repo_pilot,master_6,West Nile fever,reservoir_or_amplifying_host,disease_group_proxy,low,TRUE,85
repo_pilot,master_6,West Nile fever,reservoir_or_amplifying_host,weighted_taxonomic_proxy,medium_low,TRUE,47
repo_pilot,master_6,West Nile fever,reservoir_or_amplifying_host,weighted_taxonomic_proxy,medium,TRUE,11
repo_pilot,master_6,West Nile fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,2
repo_pilot,master_6,West Nile fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
repo_pilot,master_5,Yellow fever,host_presence_only,candidate_only,low,TRUE,72
repo_pilot,master_5,Yellow fever,reservoir_or_amplifying_host,exact_source_backed,medium,FALSE,1
repo_pilot,master_3,Zika virus disease,host_presence_only,candidate_only,low,TRUE,20
repo_pilot,master_3,Zika virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
