master_row,disease_master_name,pathogen_family_master,master_tier,master_guild,master_livestock_amplified,master_key_host_vector,master_notes,resolved_pathogen_name,pathogen_aliases,resolved_pathogen_rank,resolved_taxid,resolved_disease_name,include_as_analysis_unit,split_group,resolution_source,resolution_notes
78,Duvenhage,Lyssaviridae,3,B,FALSE,Insectivorous bats,1 point,Duvenhage lyssavirus,Lyssavirus duvenhage,species,,Duvenhage lyssavirus infection,yes,duvenhage,manual_first_pass,
79,Australian bat lyssavirus,Lyssaviridae,3,B,FALSE,Pteropus/Saccolaimus,1 point,Australian bat lyssavirus,Lyssavirus australis,species,,Australian bat lyssavirus infection,yes,australian_bat_lyssavirus,manual_first_pass,
81,Alkhurma,Flaviviridae,2,E,FALSE,Ornithodoros/Hyalomma ticks,8 points,Alkhumra hemorrhagic fever virus,Orthoflavivirus kyasanurense,species,,Alkhumra hemorrhagic fever,yes,alkhumra,manual_first_pass,Standardized spelling from Alkhurma to Alkhumra after NCBI/web taxonomy check.
82,Kyasanur Forest disease,Flaviviridae,3,E,FALSE,Haemaphysalis ticks,3 points,Kyasanur Forest disease virus,Orthoflavivirus kyasanurense,species,,Kyasanur Forest disease,yes,kyasanur_forest_disease,manual_first_pass,
83,Omsk HF,Flaviviridae,3,E,FALSE,Dermacentor ticks; muskrat,4 points,Omsk hemorrhagic fever virus,Orthoflavivirus omskense,species,,Omsk hemorrhagic fever,yes,omsk_hemorrhagic_fever,manual_first_pass,
84,Colorado tick fever,Reoviridae,2,E,FALSE,Dermacentor andersoni,14 points,Colorado tick fever virus,Coltivirus dermacentoris,species,,Colorado tick fever,yes,colorado_tick_fever,manual_first_pass,
85,Babesia microti,Babesia,2,E,FALSE,Ixodes ticks,9 points,Babesia microti,,species,,Babesiosis due to Babesia microti,yes,babesia_microti,manual_first_pass,
86,Ehrlichia chaffeensis,Ehrlichia,2,E,FALSE,Amblyomma americanum,13 points,Ehrlichia chaffeensis,,species,,Human monocytic ehrlichiosis,yes,ehrlichia_chaffeensis,manual_first_pass,
87,Rickettsia conorii indica,Rickettsia,2,E,FALSE,Rhipicephalus ticks,19 points,Rickettsia conorii subsp. indica,Rickettsia conorii,subspecies,,Indian tick typhus,yes,rickettsia_conorii_indica,manual_first_pass,Review accepted rank/name in NCBI.
89,Apeu,Peribunyaviridae,2,E,FALSE,Culex mosquitoes,12 points,Apeu virus,Orthobunyavirus apeuense,species,,Apeu virus infection,review,apeu,manual_first_pass,Low-point arbovirus; review disease relevance and canonical taxonomy.
90,Barmah Forest,Togaviridae,2,E,FALSE,Culex/Aedes,5 points. Australia,Barmah Forest virus,Alphavirus barmah,species,,Barmah Forest virus disease,hold,barmah_forest_virus,manual_first_pass,Duplicate label of row 48 with shorter disease name; retain as alias only.
91,Murray Valley encephalitis,Flaviviridae,2,E,FALSE,Culex annulirostris; waterbirds,5 points,Murray Valley encephalitis virus,Orthoflavivirus murrayense,species,,Murray Valley encephalitis,yes,murray_valley_encephalitis,manual_first_pass,
92,Rocio,Flaviviridae,3,E,FALSE,Psorophora/Aedes,4 points,Rocio virus,Orthoflavivirus ilheusense; Ilheus virus,species,,Rocio virus encephalitis,yes,rocio,manual_first_pass,
93,Everglades,Togaviridae,3,E,FALSE,Culex; rodents,1 point,Everglades virus,Alphavirus everglades,species,,Everglades virus disease,yes,everglades,manual_first_pass,
95,Baylisascaris procyonis,Nematoda,2,B,FALSE,Procyon lotor (raccoon),11 points,Baylisascaris procyonis,,species,,Baylisascariasis,yes,baylisascaris_procyonis,manual_first_pass,
96,Leishmania aethiopica,Leishmania,2,E,FALSE,Phlebotomus; rock hyrax,10 points. Ethiopia,Leishmania aethiopica,,species,,Cutaneous leishmaniasis due to Leishmania aethiopica,yes,leishmania_aethiopica,manual_first_pass,
97,Borrelia hermsii,Borrelia,2,E,FALSE,Ornithodoros ticks; rodents,8 points. Relapsing fever,Borrelia hermsii,,species,,Tick-borne relapsing fever,yes,borrelia_hermsii,manual_first_pass,
98,Menangle,Paramyxoviridae,3,B,FALSE,Pteropus bats,1 point,Menangle virus,Pararubulavirus menangleense,species,,Menangle virus infection,yes,menangle,manual_first_pass,
