Family,Previous Name,MSL39 Viral Species Name
Rhabdoviridae,Genus Ledantevirus,Genus Ledantevirus
Rhabdoviridae,Genus Tibrovirus,Genus Tibrovirus
Rhabdoviridae,Genus Vesiculovirus,Genus Vesiculovirus
Togaviridae,Chikungunya virus,Alphavirus chikungunya
Togaviridae,Eastern equine encephalitis virus,Alphavirus eastern
Togaviridae,Madariaga virus,Alphavirus madariaga
Togaviridae,Mayaro virus,Alphavirus mayaro
Togaviridae,Onyong-nyong virus,Alphavirus onyong
Togaviridae,Ross River virus,Alphavirus rossriver
Togaviridae,Venezuelan equine encephalitis virus,Alphavirus venezuelan
