candidate_query,total_row_count,source_fields,example_reason_flags,taxize_status,taxize_note,matched_name,canonical_form,current_name_string,resolved_name,score,data_source_title,classification_path,resolved_matches_who,resolved_who_host,candidate_query_key,resolved_name_key
Toxostoma curvirostre,69,host_organism_raw,specific_unmatched,matched,,"Toxostoma curvirostre (Swainson, 1827)",Toxostoma curvirostre,Toxostoma curvirostre,Toxostoma curvirostre,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,toxostoma curvirostre,toxostoma curvirostre
Urva auropunctata,69,host_organism_raw,specific_unmatched,matched,,"Urva auropunctata (Hodgson, 1836)",Urva auropunctata,Urva auropunctata,Urva auropunctata,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,urva auropunctata,urva auropunctata
Zenaida auriculata,69,host_organism_raw,specific_unmatched,matched,,"Zenaida auriculata (des Murs, 1847)",Zenaida auriculata,Zenaida auriculata,Zenaida auriculata,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,zenaida auriculata,zenaida auriculata
Anolis carolinensis,27,host_organism_raw,specific_unmatched,matched,,"Anolis carolinensis Voigt, 1832",Anolis carolinensis,Anolis carolinensis,Anolis carolinensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,anolis carolinensis,anolis carolinensis
Columba oenas,11,host_organism_raw,specific_unmatched,matched,,"Columba oenas Linnaeus, 1758",Columba oenas,Columba oenas,Columba oenas,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,columba oenas,columba oenas
Dryophytes cinereus,10,host_organism_raw,specific_unmatched,matched,,"Dryophytes cinereus (Schneider, 1799)",Dryophytes cinereus,Dryophytes cinereus,Dryophytes cinereus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,dryophytes cinereus,dryophytes cinereus
Ptilotula penicillata,5,host_organism_raw,specific_unmatched,matched,,"Ptilotula penicillata (Gould, 1837)",Ptilotula penicillata,Ptilotula penicillata,Ptilotula penicillata,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,ptilotula penicillata,ptilotula penicillata
Manorina melanocephala,4,host_organism_raw,specific_unmatched,matched,,"Manorina melanocephala (Latham, 1801)",Manorina melanocephala,Manorina melanocephala,Manorina melanocephala,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,manorina melanocephala,manorina melanocephala
Tyto alba guttata,4,host_organism_raw,specific_unmatched,matched,,"Tyto alba guttata (C. L. Brehm, 1831)",Tyto alba guttata,Tyto alba guttata,Tyto alba guttata,9.49415986788044,Catalogue of Life,Accepted; Exact,FALSE,,tyto alba guttata,tyto alba guttata
Phylidonyris novaehollandiae,3,host_organism_raw,specific_unmatched,matched,,"Phylidonyris novaehollandiae (Latham, 1790)",Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,phylidonyris novaehollandiae,phylidonyris novaehollandiae
Alauda arvensis,2,host_organism_raw,specific_unmatched,matched,,"Alauda arvensis Linnaeus, 1758",Alauda arvensis,Alauda arvensis,Alauda arvensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,alauda arvensis,alauda arvensis
Anthochaera chrysoptera,2,host_organism_raw,specific_unmatched,matched,,"Anthochaera chrysoptera (Latham, 1801)",Anthochaera chrysoptera,Anthochaera chrysoptera,Anthochaera chrysoptera,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,anthochaera chrysoptera,anthochaera chrysoptera
Anthus pratensis,2,host_organism_raw,specific_unmatched,matched,,"Anthus pratensis (Linnaeus, 1758)",Anthus pratensis,Anthus pratensis,Anthus pratensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,anthus pratensis,anthus pratensis
Dasypus novemcinctus,2,host_organism_raw,specific_unmatched,matched,,"Dasypus novemcinctus Linnaeus, 1758",Dasypus novemcinctus,Dasypus novemcinctus,Dasypus novemcinctus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,dasypus novemcinctus,dasypus novemcinctus
Sylvilagus palustris,2,host_organism_raw,specific_unmatched,matched,,"Sylvilagus palustris (Bachman, 1837)",Sylvilagus palustris,Sylvilagus palustris,Sylvilagus palustris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sylvilagus palustris,sylvilagus palustris
Anthochaera carunculata,1,host_organism_raw,specific_unmatched,matched,,"Anthochaera carunculata (Shaw, 1790)",Anthochaera carunculata,Anthochaera carunculata,Anthochaera carunculata,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,anthochaera carunculata,anthochaera carunculata
Gymnorhina tibicen,1,host_organism_raw,specific_unmatched,matched,,"Gymnorhina tibicen (Latham, 1802)",Gymnorhina tibicen,Gymnorhina tibicen,Gymnorhina tibicen,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,gymnorhina tibicen,gymnorhina tibicen
Motacilla flava,1,host_organism_raw,specific_unmatched,matched,,"Motacilla flava Linnaeus, 1758",Motacilla flava,Motacilla flava,Motacilla flava,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,motacilla flava,motacilla flava
Nycticorax caledonicus,1,host_organism_raw,specific_unmatched,matched,,"Nycticorax caledonicus (J. F. Gmelin, 1789)",Nycticorax caledonicus,Nycticorax caledonicus,Nycticorax caledonicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,nycticorax caledonicus,nycticorax caledonicus
Pardalotus striatus,1,host_organism_raw,specific_unmatched,matched,,"Pardalotus striatus (J. F. Gmelin, 1789)",Pardalotus striatus,Pardalotus striatus,Pardalotus striatus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,pardalotus striatus,pardalotus striatus
Platycercus elegans,1,host_organism_raw,specific_unmatched,matched,,"Platycercus elegans (J. F. Gmelin, 1788)",Platycercus elegans,Platycercus elegans,Platycercus elegans,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,platycercus elegans,platycercus elegans
Rusa timorensis,1,host_organism_raw,specific_unmatched,matched,,"Rusa timorensis (Blainville, 1822)",Rusa timorensis,Rusa timorensis,Rusa timorensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,rusa timorensis,rusa timorensis
