disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note,vector_join_key,competence_disease_name,vector_competence_species,vector_competence_group,vector_competence_status,competence_statuses,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,competence_locations_summary,competence_source_examples,competence_note_examples,competence_row_count,vector_competence_name_cleanup_methods
Chikungunya fever,chikungunya fever,Aedes togoi,aedes togoi,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes togoi,no_change,Aedes togoi,aedes togoi,species,FALSE,,aedes togoi,,,,,,,,,,,,,,,
Chikungunya fever,chikungunya fever,Aedes triseriatus,aedes triseriatus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes triseriatus,no_change,Aedes triseriatus,aedes triseriatus,species,FALSE,,aedes triseriatus,,,,,,,,,,,,,,,
Chikungunya fever,chikungunya fever,Aedes vexans,aedes vexans,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes vexans,no_change,Aedes vexans,aedes vexans,species,FALSE,,aedes vexans,,,,,,,,,,,,,,,
Chikungunya fever,chikungunya fever,Aedes vigilax,aedes vigilax,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE,aedes vigilax,no_change,Aedes vigilax,aedes vigilax,species,FALSE,,aedes vigilax,Chikungunya fever,Ae. vigilax,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,highest transmission in study; 76%,1,rule_expand_genus_abbreviation
Chikungunya fever,chikungunya fever,Aedes vittatus,aedes vittatus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes vittatus,no_change,Aedes vittatus,aedes vittatus,species,FALSE,,aedes vittatus,Chikungunya fever,Aedes vittatus,mosquito,competent,competent,narrative_review,yes,,,,Senegal,Coffey et al. 2014,review table reports experimental transmission,1,normalized_name
Chikungunya fever,chikungunya fever,Coquillettidia linealis,coquillettidia linealis,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE,coquillettidia linealis,no_change,Coquillettidia linealis,coquillettidia linealis,species,FALSE,,coquillettidia linealis,Chikungunya fever,Coquillettidia linealis,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,transmission 75%; efficient laboratory vector,1,normalized_name
Chikungunya fever,chikungunya fever,Culex annulirostris,culex annulirostris,mosquito,mosquito,weak,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; low transmission,TRUE,FALSE,culex annulirostris,no_change,Culex annulirostris,culex annulirostris,species,FALSE,,culex annulirostris,Chikungunya fever,Culex annulirostris,mosquito,competent,competent,lab_experiment,yes,,,low_competence_or_efficiency,"Queensland, Australia",van den Hurk et al. 2010,poor laboratory vector but transmission observed; 12%,1,normalized_name
Chikungunya fever,chikungunya fever,Culex sitiens,culex sitiens,mosquito,mosquito,weak,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; very low transmission,TRUE,FALSE,culex sitiens,no_change,Culex sitiens,culex sitiens,species,FALSE,,culex sitiens,Chikungunya fever,Cx. sitiens,mosquito,competent,competent,lab_experiment,yes,,,low_competence_or_efficiency,"Queensland, Australia",van den Hurk et al. 2010,poor laboratory vector; low infection/dissemination/transmission; 4%,1,rule_expand_genus_abbreviation
Chikungunya fever,chikungunya fever,Eretmapodites chrysogaster,eretmapodites chrysogaster,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,eretmapodites chrysogaster,no_change,Eretmapodites chrysogaster,eretmapodites chrysogaster,species,FALSE,,eretmapodites chrysogaster,Chikungunya fever,Eretmapodites chrysogaster,mosquito,competent,competent,narrative_review,yes,,,,not stated,Coffey et al. 2014,review table reports transmission,1,normalized_name
Chikungunya fever,chikungunya fever,Opifex fuscus,opifex fuscus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,opifex fuscus,no_change,Opifex fuscus,opifex fuscus,species,FALSE,,opifex fuscus,Chikungunya fever,Opifex fuscus,mosquito,competent,competent,narrative_review,yes,,,,New Zealand,Coffey et al. 2014,highly competent at transmitting CHIKV from India,1,normalized_name
Chikungunya fever,chikungunya fever,Verrallina funerea,verrallina funerea,mosquito,mosquito,candidate,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",low transmission,TRUE,FALSE,verrallina funerea,no_change,Verrallina funerea,verrallina funerea,species,FALSE,,verrallina funerea,Chikungunya fever,Verrallina funerea,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,transmission 12%; dissemination 28%,1,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Amblyomma lepidum,amblyomma lepidum,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE,amblyomma lepidum,no_change,Amblyomma lepidum,amblyomma lepidum,species,FALSE,,amblyomma lepidum,Crimean-Congo hemorrhagic fever,Amblyomma lepidum,tick,unclear,unclear,narrative_review,,,,,Arab world,Perveen and Khan 2022,associated with transmission,1,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Amblyomma variegatum,amblyomma variegatum,tick,tick,confirmed,review,lit_review,1,3,Arab world; Sub-Saharan Africa,Celina et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,amblyomma variegatum,no_change,Amblyomma variegatum,amblyomma variegatum,species,FALSE,,amblyomma variegatum,Crimean-Congo hemorrhagic fever,Amblyomma variegatum,tick,competent,competent; unclear,narrative_review,,,,,Arab world; global,Celina et al. 2025; Perveen and Khan 2022,associated with transmission; confirmed vector,2,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor marginatus,dermacentor marginatus,tick,tick,candidate,review,lit_review,1,3,Southern Europe;Middle East; Mediterranean,Celina et al. 2025; EFSA 2010; Shahhosseini et al. 2021,no conclusive studies; potential vector,TRUE,FALSE,dermacentor marginatus,no_change,Dermacentor marginatus,dermacentor marginatus,species,FALSE,,dermacentor marginatus,Crimean-Congo hemorrhagic fever,Dermacentor marginatus,tick,unclear,unclear,narrative_review,,,candidate_vector,limited_or_indirect_support,Eurasia; global,Celina et al. 2025; EFSA 2010,no conclusive studies; potential vector,2,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor niveus,dermacentor niveus,tick,tick,candidate,review,lit_review,1,1,Tajikistan,Shahhosseini et al. 2021,,TRUE,FALSE,dermacentor niveus,no_change,Dermacentor niveus,dermacentor niveus,species,FALSE,,dermacentor niveus,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor nuttalli,dermacentor nuttalli,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,dermacentor nuttalli,no_change,Dermacentor nuttalli,dermacentor nuttalli,species,FALSE,,dermacentor nuttalli,Crimean-Congo hemorrhagic fever,Dermacentor nuttalli,tick,unclear,unclear,narrative_review,,,candidate_vector,,global,Celina et al. 2025,potential vector,1,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis concinna,haemaphysalis concinna,tick,tick,candidate,review,lit_review,1,2,Turkey,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis concinna,no_change,Haemaphysalis concinna,haemaphysalis concinna,species,FALSE,,haemaphysalis concinna,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis inermis,haemaphysalis inermis,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis inermis,no_change,Haemaphysalis inermis,haemaphysalis inermis,species,FALSE,,haemaphysalis inermis,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis parva,haemaphysalis parva,tick,tick,candidate,review,lit_review,1,2,"Turkey, North Caucasus",Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis parva,no_change,Haemaphysalis parva,haemaphysalis parva,species,FALSE,,haemaphysalis parva,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis punctata,haemaphysalis punctata,tick,tick,candidate,review,lit_review,1,4,Arab world; Some parts of Asia; South-East of Europe,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with CCHFV; potential vector,TRUE,FALSE,haemaphysalis punctata,no_change,Haemaphysalis punctata,haemaphysalis punctata,species,FALSE,,haemaphysalis punctata,Crimean-Congo hemorrhagic fever,Haemaphysalis punctata,tick,unclear,unclear,narrative_review,,,candidate_vector,field_detection_only,Arab world; Eurasia; global,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022,associated with CCHFV; associated with transmission; potential vector,3,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis sulcata,haemaphysalis sulcata,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis sulcata,no_change,Haemaphysalis sulcata,haemaphysalis sulcata,species,FALSE,,haemaphysalis sulcata,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma aegyptium,hyalomma aegyptium,tick,tick,confirmed,review,EFSA; lit_review,2,5,Arab world; global; not specified; Tajikistan,Celina et al. 2025; EFSA Appendix G; Parvage et al. 2025; Perveen and Khan 2022; Spengler et al. 2016,confirmed vector; detected in tick; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease,TRUE,TRUE,hyalomma aegyptium,no_change,Hyalomma aegyptium,hyalomma aegyptium,species,FALSE,,hyalomma aegyptium,Crimean-Congo hemorrhagic fever,Hyalomma aegyptium,tick,competent,competent; unclear,narrative_review,,,,field_detection_only,Arab world; global; Tajikistan,Celina et al. 2025; Perveen and Khan 2022; Spengler et al. 2016,associated with transmission; confirmed vector; detected in tick,3,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma anatolicum,hyalomma anatolicum,tick,tick,confirmed,review,EFSA; lit_review,2,8,Arab world; Asia; Eurasia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; EFSA Appendix G; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; potential vector; principal vector,TRUE,TRUE,hyalomma anatolicum,no_change,Hyalomma anatolicum,hyalomma anatolicum,species,FALSE,,hyalomma anatolicum,Crimean-Congo hemorrhagic fever,Hyalomma anatolicum,tick,competent,competent; unclear,narrative_review,,,candidate_vector|primary_vector,,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Eurasia; global,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022,associated with transmission; confirmed vector; high-capacity species; positive in several endemic countries; potential vector; principal tick vector,6,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum,hyalomma asiaticum,tick,tick,confirmed,review,EFSA; lit_review,2,5,Asia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA Appendix G; Parvage et al. 2025; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; principal vector,TRUE,TRUE,hyalomma asiaticum,no_change,Hyalomma asiaticum,hyalomma asiaticum,species,FALSE,,hyalomma asiaticum,Crimean-Congo hemorrhagic fever,Hyalomma asiaticum,tick,competent,competent,narrative_review,,,primary_vector,,Africa; Middle East; Asia; Southern and Eastern Europe; global,Celina et al. 2025; de la Fuente et al. 2024,confirmed vector; principal tick vector,2,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,tick,tick,confirmed,review,lit_review,1,1,,Celina et al. 2025,confirmed vector,TRUE,FALSE,hyalomma asiaticum kozlovi,no_change,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,infraspecific,FALSE,,hyalomma asiaticum kozlovi,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma detritum,hyalomma detritum,tick,tick,confirmed,review,lit_review,1,2,Middle East; Africa,Celina et al. 2025; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,hyalomma detritum,no_change,Hyalomma detritum,hyalomma detritum,species,FALSE,,hyalomma detritum,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma dromedarii,hyalomma dromedarii,tick,tick,confirmed,review,lit_review,1,6,Arab world; global; Middle East; Northern Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; high-capacity species; potential vector; principal vector,TRUE,FALSE,hyalomma dromedarii,no_change,Hyalomma dromedarii,hyalomma dromedarii,species,FALSE,,hyalomma dromedarii,Crimean-Congo hemorrhagic fever,Hyalomma dromedarii,tick,competent,competent; unclear,narrative_review,,,candidate_vector|primary_vector,field_detection_only,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Eurasia; global; Middle East; Northern Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with transmission; confirmed CCHFV-positive tick in review; confirmed vector; potential vector; principal tick vector,5,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma excavatum,hyalomma excavatum,tick,tick,confirmed,review,lit_review,1,5,Africa; Middle East; Arab world; global,Celina et al. 2025; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; potential vector,TRUE,FALSE,hyalomma excavatum,no_change,Hyalomma excavatum,hyalomma excavatum,species,FALSE,,hyalomma excavatum,Crimean-Congo hemorrhagic fever,Hyalomma excavatum,tick,competent,competent; unclear,narrative_review,,,candidate_vector,,Arab world; Eurasia; global,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022,associated with transmission; confirmed vector; potential vector,3,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma impeltatum,hyalomma impeltatum,tick,tick,confirmed,review,lit_review,1,6,Arab world; global; Northern Africa; Arabian Peninsula,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; experimental transmission; high-capacity species; principal vector,TRUE,FALSE,hyalomma impeltatum,no_change,Hyalomma impeltatum,hyalomma impeltatum,species,FALSE,,hyalomma impeltatum,Crimean-Congo hemorrhagic fever,Hyalomma impeltatum,tick,competent,competent; unclear,lab_experiment; narrative_review,yes,,primary_vector,,Africa; Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; global,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Perveen and Khan 2022,associated with transmission; confirmed vector; non-viremic transmission on guinea pigs; principal tick vector,4,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma impressum,hyalomma impressum,tick,tick,probable,review,lit_review,1,2,"Africa, Pakistan; global",Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma impressum,no_change,Hyalomma impressum,hyalomma impressum,species,FALSE,,hyalomma impressum,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma isaaci,hyalomma isaaci,tick,tick,candidate,review,lit_review,1,1,Africa,Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma isaaci,no_change,Hyalomma isaaci,hyalomma isaaci,species,FALSE,,hyalomma isaaci,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma lusitanicum,hyalomma lusitanicum,tick,tick,probable,review,lit_review,1,3,Africa; Spain; global; southwestern Europe,Messina & Wint 2023; Parvage et al. 2025; Shahhosseini et al. 2021,caveated; potential vector,TRUE,FALSE,hyalomma lusitanicum,no_change,Hyalomma lusitanicum,hyalomma lusitanicum,species,FALSE,,hyalomma lusitanicum,Crimean-Congo hemorrhagic fever,Hyalomma lusitanicum,tick,unclear,unclear,narrative_review,,,candidate_vector,,southwestern Europe,Messina & Wint 2023,potential vector,1,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma marginatum,hyalomma marginatum,tick,tick,confirmed,review,EFSA; lit_review,2,11,Arab world; Asia; Africa; Eastern Europe; Eurasia; Europe; global; Middle East; Northern Africa; Southern Europe; not specified; Old World; southern Europe,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; EFSA Appendix G; Estrada-Pena et al. 2012; Messina & Wint 2023; Parvage et al. 2025; Perveen and Khan 2022; Shah et al. 2023 Table 1; Shahhosseini et al. 2021,efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; main vector; primary vector; principal vector; s.l. complex principal vector,TRUE,TRUE,hyalomma marginatum,no_change,Hyalomma marginatum,hyalomma marginatum,species,FALSE,,hyalomma marginatum,Crimean-Congo hemorrhagic fever,Hyalomma marginatum,tick,competent,competent; unclear,narrative_review,,,primary_vector,,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Asia; Africa; Eastern Europe; Eurasia; global; Middle East; Northern Africa; Southern Europe; Old World; southern Europe,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Messina & Wint 2023; Parvage et al. 2025; Perveen and Khan 2022; Shah et al. 2023 Table 1; Shahhosseini et al. 2021,associated with transmission; main vector; primary vector; principal tick vector; principal vector; proven vector,10,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma nitidum,hyalomma nitidum,tick,tick,probable,review,lit_review,1,2,Central Africa; global,Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma nitidum,no_change,Hyalomma nitidum,hyalomma nitidum,species,FALSE,,hyalomma nitidum,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma onatoli,hyalomma onatoli,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE,hyalomma onatoli,no_change,Hyalomma onatoli,hyalomma onatoli,species,TRUE,Likely spelling or taxonomy issue; manual decision needed.,hyalomma onatoli,Crimean-Congo hemorrhagic fever,Hyalomma onatoli,tick,unclear,unclear,narrative_review,,,,spelling_or_ocr_issue,Arab world,Perveen and Khan 2022,spelled as in source,1,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma rufipes,hyalomma rufipes,tick,tick,confirmed,review,lit_review,1,9,Arab world; Central Europe; global; Middle East; Africa; South Africa,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021; Spengler et al. 2016,another significant vector; confirmed vector; experimental transmission; field infection only; high-capacity species; potential vector; principal vector,TRUE,FALSE,hyalomma rufipes,no_change,Hyalomma rufipes,hyalomma rufipes,species,FALSE,,hyalomma rufipes,Crimean-Congo hemorrhagic fever,Hyalomma rufipes,tick,competent,competent; unclear,lab_experiment; narrative_review,mixed,,primary_vector,field_detection_only,Africa; Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Central Europe; global; Middle East; Africa; South Africa,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021; Spengler et al. 2016,another significant vector; proposed overwintering in Central Europe; associated with transmission; confirmed CCHFV-positive tick in review; confirmed vector; experimental transmission to immature ticks from birds; field infection only; high-capacity species; intracoelomic inoculation infection only; principal tick vector,9,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma schulzei,hyalomma schulzei,tick,tick,confirmed,review,lit_review,1,4,Arab world; Arabia peninsula; global,Celina et al. 2025; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,hyalomma schulzei,no_change,Hyalomma schulzei,hyalomma schulzei,species,FALSE,,hyalomma schulzei,Crimean-Congo hemorrhagic fever,Hyalomma schulzei,tick,competent,competent; unclear,narrative_review,,,,,Arab world; global,Celina et al. 2025; Perveen and Khan 2022,associated with transmission; confirmed vector,2,normalized_name
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma scupense,hyalomma scupense,tick,tick,probable,review,lit_review,1,4,Arab world; Eurasia; global,EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022,principal vector; syn Hy. detritum potential vector,TRUE,FALSE,hyalomma scupense,no_change,Hyalomma scupense,hyalomma scupense,species,FALSE,,hyalomma scupense,Crimean-Congo hemorrhagic fever,Hyalomma scupense,tick,unclear,unclear,narrative_review,,,candidate_vector,,Arab world; Eurasia,EFSA 2010; Estrada-Pena et al. 2012; Perveen and Khan 2022,associated with transmission; positive in several endemic countries; syn Hy. detritum potential vector,3,normalized_name
