disease_name_join,vector_join_key,competence_disease_name,vector_competence_species,vector_competence_group,vector_competence_status,competence_statuses,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,competence_locations_summary,competence_source_examples,competence_note_examples,competence_row_count,vector_competence_name_cleanup_methods
chikungunya fever,culex sitiens,Chikungunya fever,Cx. sitiens,mosquito,competent,competent,lab_experiment,yes,,,low_competence_or_efficiency,"Queensland, Australia",van den Hurk et al. 2010,poor laboratory vector; low infection/dissemination/transmission; 4%,1,rule_expand_genus_abbreviation
chikungunya fever,eretmapodites chrysogaster,Chikungunya fever,Eretmapodites chrysogaster,mosquito,competent,competent,narrative_review,yes,,,,not stated,Coffey et al. 2014,review table reports transmission,1,normalized_name
chikungunya fever,opifex fuscus,Chikungunya fever,Opifex fuscus,mosquito,competent,competent,narrative_review,yes,,,,New Zealand,Coffey et al. 2014,highly competent at transmitting CHIKV from India,1,normalized_name
chikungunya fever,ornithodoros savignyi,Chikungunya fever,Ornithodoros savignyi,tick,not_competent,not_competent,narrative_review,no,,,no_transmission_demonstrated,South Africa,Coffey et al. 2014,review table reports 0 infection and no transmission,1,normalized_name
chikungunya fever,verrallina funerea,Chikungunya fever,Verrallina funerea,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,transmission 12%; dissemination 28%,1,normalized_name
crimean congo hemorrhagic fever,amblyomma lepidum,Crimean-Congo hemorrhagic fever,Amblyomma lepidum,tick,unclear,unclear,narrative_review,,,,,Arab world,Perveen and Khan 2022,associated with transmission,1,normalized_name
crimean congo hemorrhagic fever,amblyomma variegatum,Crimean-Congo hemorrhagic fever,Amblyomma variegatum,tick,competent,competent; unclear,narrative_review,,,,,Arab world; global,Celina et al. 2025; Perveen and Khan 2022,associated with transmission; confirmed vector,2,normalized_name
crimean congo hemorrhagic fever,dermacentor marginatus,Crimean-Congo hemorrhagic fever,Dermacentor marginatus,tick,unclear,unclear,narrative_review,,,candidate_vector,limited_or_indirect_support,Eurasia; global,Celina et al. 2025; EFSA 2010,no conclusive studies; potential vector,2,normalized_name
crimean congo hemorrhagic fever,dermacentor nuttalli,Crimean-Congo hemorrhagic fever,Dermacentor nuttalli,tick,unclear,unclear,narrative_review,,,candidate_vector,,global,Celina et al. 2025,potential vector,1,normalized_name
crimean congo hemorrhagic fever,haemaphysalis punctata,Crimean-Congo hemorrhagic fever,Haemaphysalis punctata,tick,unclear,unclear,narrative_review,,,candidate_vector,field_detection_only,Arab world; Eurasia; global,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022,associated with CCHFV; associated with transmission; potential vector,3,normalized_name
crimean congo hemorrhagic fever,hyalomma aegyptium,Crimean-Congo hemorrhagic fever,Hyalomma aegyptium,tick,competent,competent; unclear,narrative_review,,,,field_detection_only,Arab world; global; Tajikistan,Celina et al. 2025; Perveen and Khan 2022; Spengler et al. 2016,associated with transmission; confirmed vector; detected in tick,3,normalized_name
crimean congo hemorrhagic fever,hyalomma anatolicum,Crimean-Congo hemorrhagic fever,Hyalomma anatolicum,tick,competent,competent; unclear,narrative_review,,,candidate_vector|primary_vector,,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Eurasia; global,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022,associated with transmission; confirmed vector; high-capacity species; positive in several endemic countries; potential vector; principal tick vector,6,normalized_name
crimean congo hemorrhagic fever,hyalomma asiaticum,Crimean-Congo hemorrhagic fever,Hyalomma asiaticum,tick,competent,competent,narrative_review,,,primary_vector,,Africa; Middle East; Asia; Southern and Eastern Europe; global,Celina et al. 2025; de la Fuente et al. 2024,confirmed vector; principal tick vector,2,normalized_name
crimean congo hemorrhagic fever,hyalomma dromedarii,Crimean-Congo hemorrhagic fever,Hyalomma dromedarii,tick,competent,competent; unclear,narrative_review,,,candidate_vector|primary_vector,field_detection_only,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Eurasia; global; Middle East; Northern Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with transmission; confirmed CCHFV-positive tick in review; confirmed vector; potential vector; principal tick vector,5,normalized_name
crimean congo hemorrhagic fever,hyalomma excavatum,Crimean-Congo hemorrhagic fever,Hyalomma excavatum,tick,competent,competent; unclear,narrative_review,,,candidate_vector,,Arab world; Eurasia; global,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022,associated with transmission; confirmed vector; potential vector,3,normalized_name
crimean congo hemorrhagic fever,hyalomma impeltatum,Crimean-Congo hemorrhagic fever,Hyalomma impeltatum,tick,competent,competent; unclear,lab_experiment; narrative_review,yes,,primary_vector,,Africa; Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; global,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Perveen and Khan 2022,associated with transmission; confirmed vector; non-viremic transmission on guinea pigs; principal tick vector,4,normalized_name
crimean congo hemorrhagic fever,hyalomma lusitanicum,Crimean-Congo hemorrhagic fever,Hyalomma lusitanicum,tick,unclear,unclear,narrative_review,,,candidate_vector,,southwestern Europe,Messina & Wint 2023,potential vector,1,normalized_name
crimean congo hemorrhagic fever,hyalomma marginatum,Crimean-Congo hemorrhagic fever,Hyalomma marginatum,tick,competent,competent; unclear,narrative_review,,,primary_vector,,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Asia; Africa; Eastern Europe; Eurasia; global; Middle East; Northern Africa; Southern Europe; Old World; southern Europe,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Messina & Wint 2023; Parvage et al. 2025; Perveen and Khan 2022; Shah et al. 2023 Table 1; Shahhosseini et al. 2021,associated with transmission; main vector; primary vector; principal tick vector; principal vector; proven vector,10,normalized_name
crimean congo hemorrhagic fever,hyalomma onatoli,Crimean-Congo hemorrhagic fever,Hyalomma onatoli,tick,unclear,unclear,narrative_review,,,,spelling_or_ocr_issue,Arab world,Perveen and Khan 2022,spelled as in source,1,normalized_name
crimean congo hemorrhagic fever,hyalomma rufipes,Crimean-Congo hemorrhagic fever,Hyalomma rufipes,tick,competent,competent; unclear,lab_experiment; narrative_review,mixed,,primary_vector,field_detection_only,Africa; Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Central Europe; global; Middle East; Africa; South Africa,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021; Spengler et al. 2016,another significant vector; proposed overwintering in Central Europe; associated with transmission; confirmed CCHFV-positive tick in review; confirmed vector; experimental transmission to immature ticks from birds; field infection only; high-capacity species; intracoelomic inoculation infection only; principal tick vector,9,normalized_name
crimean congo hemorrhagic fever,hyalomma schulzei,Crimean-Congo hemorrhagic fever,Hyalomma schulzei,tick,competent,competent; unclear,narrative_review,,,,,Arab world; global,Celina et al. 2025; Perveen and Khan 2022,associated with transmission; confirmed vector,2,normalized_name
crimean congo hemorrhagic fever,hyalomma scupense,Crimean-Congo hemorrhagic fever,Hyalomma scupense,tick,unclear,unclear,narrative_review,,,candidate_vector,,Arab world; Eurasia,EFSA 2010; Estrada-Pena et al. 2012; Perveen and Khan 2022,associated with transmission; positive in several endemic countries; syn Hy. detritum potential vector,3,normalized_name
crimean congo hemorrhagic fever,hyalomma spp,Crimean-Congo hemorrhagic fever,Hyalomma spp.,tick,competent,competent,narrative_review,,,primary_vector,taxon_level_not_specific,Africa/Asia/Southern Europe; Asia; Africa; Eastern Europe; global,de la Fuente et al. 2017; Hewson 2024; Spengler et al. 2016,genus-level only; natural vector and reservoir; principal vector,4,normalized_name
crimean congo hemorrhagic fever,hyalomma truncatum,Crimean-Congo hemorrhagic fever,Hyalomma truncatum,tick,competent,competent; unclear,lab_experiment; narrative_review,yes,,primary_vector,field_detection_only,Africa; Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; global; South Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022,confirmed vector; field infection only; high-capacity species; non-viremic transmission on guinea pigs; principal tick vector; sexual and transovarial transmission reported,6,normalized_name
crimean congo hemorrhagic fever,hyalomma turanicum,Crimean-Congo hemorrhagic fever,Hyalomma turanicum,tick,competent,competent; unclear,narrative_review,,,primary_vector,field_detection_only,Africa; Middle East; Asia; Southern and Eastern Europe; Arab world; Asia; Africa; Eurasia; global,Celina et al. 2025; de la Fuente et al. 2024; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with transmission; confirmed CCHFV-positive tick in review; confirmed vector; high-capacity species; principal tick vector; probable vector in the review,6,normalized_name
crimean congo hemorrhagic fever,ixodes ricinus,Crimean-Congo hemorrhagic fever,Ixodes ricinus,tick,unclear,unclear,narrative_review,,,,limited_or_indirect_support,Arab world; Eurasia,EFSA 2010; Perveen and Khan 2022,associated with transmission; not ascertained,2,normalized_name
crimean congo hemorrhagic fever,rhipicephalus annulatus,Crimean-Congo hemorrhagic fever,Rhipicephalus annulatus,tick,unclear,unclear,narrative_review,,,,field_detection_only,Arab world; Several endemic countries,Estrada-Pena et al. 2012; Perveen and Khan 2022,associated with transmission; field positive role unclear,2,normalized_name
crimean congo hemorrhagic fever,rhipicephalus bursa,Crimean-Congo hemorrhagic fever,Rhipicephalus bursa,tick,competent,competent; unclear,field_detection; narrative_review,,yes,candidate_vector,field_detection_only,Eurasia; global; Greece,Celina et al. 2025; EFSA 2010; Parvage et al. 2025,confirmed vector; putative vector; AP92 strain isolated; virus isolated from ticks,3,normalized_name
crimean congo hemorrhagic fever,rhipicephalus evertsi,Crimean-Congo hemorrhagic fever,Rhipicephalus evertsi,tick,unclear,unclear,lab_experiment; narrative_review,no,,,field_detection_only,Africa; Arab world; South Africa,EFSA 2010; Estrada-Pena et al. 2012; Perveen and Khan 2022,associated with transmission; experimental infection; field positive only,3,normalized_name
crimean congo hemorrhagic fever,rhipicephalus evertsi evertsi,Crimean-Congo hemorrhagic fever,Rhipicephalus evertsi evertsi,tick,unclear,unclear,narrative_review,,,,field_detection_only,Mauritania,Spengler et al. 2016,PCR only,1,normalized_name
crimean congo hemorrhagic fever,rhipicephalus pulchellus,Crimean-Congo hemorrhagic fever,Rhipicephalus pulchellus,tick,unclear,unclear,narrative_review,,,,,Kenya,Shahhosseini et al. 2021,limited field finding,1,normalized_name
crimean congo hemorrhagic fever,rhipicephalus pumilio,Crimean-Congo hemorrhagic fever,Rhipicephalus pumilio,tick,unclear,unclear,narrative_review,,,,field_detection_only,Eurasia,EFSA 2010,associated with CCHFV,1,normalized_name
crimean congo hemorrhagic fever,rhipicephalus rossicus,Crimean-Congo hemorrhagic fever,Rhipicephalus rossicus,tick,unclear,unclear,narrative_review,,,,field_detection_only,Eurasia,EFSA 2010,associated with CCHFV,1,normalized_name
crimean congo hemorrhagic fever,rhipicephalus sanguineus,Crimean-Congo hemorrhagic fever,Rhipicephalus sanguineus,tick,mixed,mixed; unclear,narrative_review,mixed,mixed,,field_detection_only|mixed_or_debated_evidence,Arab world; Eurasia; Mauritania,EFSA 2010; Perveen and Khan 2022; Spengler et al. 2016,associated with CCHFV; associated with transmission; debated and inconsistently positive across studies,3,normalized_name
crimean congo hemorrhagic fever,rhipicephalus turanicus,Crimean-Congo hemorrhagic fever,Rhipicephalus turanicus,tick,unclear,unclear,narrative_review,,,,field_detection_only,Arab world; Eurasia,EFSA 2010; Perveen and Khan 2022,associated with CCHFV; associated with transmission,2,normalized_name
dengue,aedes aegypti,Dengue,Aedes aegypti,mosquito,mixed,competent; mixed; unclear,field_plus_lab; lab_experiment; narrative_review; systematic_review,mixed,yes,primary_vector|urban_vector,temperature_dependent,Americas; Cambodia; global; Puerto Rico; Senegal; WHO European region,Althouse et al. 2012; Barrera 2025; Delrieu et al. 2023; Doeurk et al. 2024; Islam et al. 2021; Jones et al. 2020; Kristan et al. 2025; Poole-Smith et al. 2015; Rakotonirina et al. 2022; Schaffner and Mathis 2014,experimentally competent and field infection observed; field DENV prevalence meta-analysis; primary vector role but no direct competence test; main vector in Senegal; studies cited as differing widely in vector competence; main vector; 2023 Phnom Penh DENV-1 experiment showed infection dissemination and saliva positivity; primary vector; primary vector of DENV; primary vector; higher DENV-4 infection and transmission than Ae. mediovittatus; principal urban vector worldwide; historical transmission in Europe; principal vector worldwide; high vector competence and vector capacity; temperature-dependent competence; most studies show higher temperatures increase infection dissemination and transmission,10,normalized_name
dengue,aedes albopictus,Dengue,Aedes albopictus,mosquito,mixed,competent; mixed,field_plus_lab; narrative_review; systematic_review,mixed,yes,primary_vector|secondary_vector,temperature_dependent,Americas; Cambodia; global; WHO European region,Barrera 2025; Delrieu et al. 2023; Doeurk et al. 2024; Islam et al. 2021; Jones et al. 2020; Kristan et al. 2025; Rakotonirina et al. 2022; Schaffner and Mathis 2014,experimentally competent and field infection observed; field DENV prevalence meta-analysis; overall lower prevalence than Ae. aegypti but post-2000 differences were not significant; less efficient than Ae. aegypti; still involved in dengue transmission; main established vector in Europe; secondary vector worldwide; main vector; 2023 Phnom Penh DENV-1 experiment showed infection dissemination and saliva positivity; primary vector; primary vector of DENV; temperature-dependent competence; most studies show higher temperatures increase infection dissemination and transmission,8,normalized_name
dengue,aedes cretinus,Dengue,Aedes cretinus,mosquito,unclear,unclear,narrative_review,,,,,Greece and Turkey,Schaffner and Mathis 2014,potential contributor if competent; none subjected to experimental infection,1,normalized_name
dengue,aedes furcifer,Dengue,Aedes furcifer,mosquito,mixed,mixed,narrative_review,,,primary_vector,,Senegal,Althouse et al. 2012,main vector in Senegal; studies cited as differing widely in vector competence,1,normalized_name
dengue,aedes japonicus,Dengue,Aedes japonicus,mosquito,competent,competent,narrative_review,,,,,central Europe,Schaffner and Mathis 2014,high vector competence in laboratory; potential dengue vector,1,normalized_name
dengue,aedes luteocephalus,Dengue,Aedes luteocephalus,mosquito,mixed,mixed,narrative_review,,,primary_vector,,Senegal,Althouse et al. 2012,main vector in Senegal; studies cited as differing widely in vector competence,1,normalized_name
dengue,aedes malayensis,Dengue,Aedes malayensis,mosquito,competent,competent; unclear,narrative_review,,,candidate_vector,,Cambodia,Doeurk et al. 2024; Rakotonirina et al. 2022,potential vector in Cambodia; cited as competent in Thailand Laos and Singapore; vector of DENV and CHIKV,2,normalized_name
dengue,aedes mediovittatus,Dengue,Aedes mediovittatus,mosquito,mixed,mixed; unclear,lab_experiment; narrative_review,yes,,candidate_vector,,Puerto Rico; Puerto Rico and US Virgin Islands,Barrera 2025; Poole-Smith et al. 2015,competent for DENV-1 to -3; DENV-4 transmission lower than Ae. aegypti; potential vector; not yet incriminated in actual outbreaks,2,normalized_name
dengue,aedes niveus,Dengue,Aedes niveus,mosquito,unclear,unclear,narrative_review,,,secondary_vector,,global,Islam et al. 2021,secondary vector in some regions,1,normalized_name
dengue,aedes polynesiensis,Dengue,Aedes polynesiensis,mosquito,competent,competent; unclear,narrative_review,yes,,primary_vector|secondary_vector,,global; Pacific region; South Pacific Islands,Barrera 2025; Islam et al. 2021; Rakotonirina et al. 2022,can transmit dengue; main vector on the islands; main vector in the Pacific region; secondary vector in some regions,3,normalized_name
dengue,aedes pseudoscutellaris,Dengue,Aedes pseudoscutellaris,mosquito,unclear,unclear,narrative_review,,,,,Pacific region,Rakotonirina et al. 2022,vector or highly suspected vector of DENV,1,normalized_name
dengue,aedes scutellaris,Dengue,Aedes scutellaris,mosquito,unclear,unclear,narrative_review,,,candidate_vector,,Cambodia; Pacific region,Doeurk et al. 2024; Rakotonirina et al. 2022,potential vector in Cambodia; cited as competent in Thailand Laos and Singapore; vector or highly suspected vector of DENV,2,normalized_name
dengue,aedes taylori,Dengue,Aedes taylori,mosquito,mixed,mixed,narrative_review,,,primary_vector,,Senegal,Althouse et al. 2012,main vector in Senegal; studies cited as differing widely in vector competence,1,normalized_name
dengue,aedes vittatus,Dengue,Aedes vittatus,mosquito,mixed,mixed; unclear,narrative_review,,,primary_vector,,India; western Mediterranean; Senegal,Althouse et al. 2012; Schaffner and Mathis 2014,main vector in Senegal; studies cited as differing widely in vector competence; occasionally mentioned as a dengue vector in India; role likely restricted in Europe,2,normalized_name
dengue,culex quinquefasciatus,Dengue,Culex quinquefasciatus,mosquito,not_competent,not_competent,systematic_review,,yes,,,Americas,Jones et al. 2020,field infection observed but not identified as experimentally competent,1,normalized_name
oropouche fever,aedes aegypti,Oropouche fever,Aedes aegypti,mosquito,mixed,mixed; unclear,field_detection; narrative_review; systematic_review,mixed,yes,,limited_or_indirect_support|low_competence_or_efficiency,Brazil; Cuba; global,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Sciancalepore et al. 2022,limited competence; field detections and vertical transmission discussed; limited competence; oral infection failure in some studies; natural infection reported; oral infection negative but systemic infection/transmission positive in study summarized; RT-qPCR-positive pools from outbreak areas; competence not assessed,4,normalized_name
oropouche fever,aedes albopictus,Oropouche fever,Aedes albopictus,mosquito,mixed,mixed; not_competent,lab_experiment; narrative_review; systematic_review,mixed,yes,,field_detection_only|mixed_or_debated_evidence|no_transmission_demonstrated,Brazil; global; Italy,Ayres et al. 2026; Gallichotte et al. 2025; Mancuso et al. 2025; Sciancalepore et al. 2022,"body RNA detected in 2 mosquitoes only; no saliva, dissemination, or F1 transmission; mixed experimental results; no transmission in some studies; mixed lab evidence; no transmission in some studies, limited transmission in another; natural infection reported; oral infection negative but systemic infection/transmission positive in study summarized",4,normalized_name
oropouche fever,aedes japonicus,Oropouche fever,Aedes japonicus,mosquito,not_competent,not_competent,narrative_review,no,,,low_competence_or_efficiency|no_infection_detected,Germany,Ayres et al. 2026,"local mosquito study; low or no infection, dissemination or transmission",1,normalized_name
oropouche fever,aedes scapularis,Oropouche fever,Aedes scapularis,mosquito,not_competent,not_competent,narrative_review; systematic_review,no,,,no_transmission_demonstrated,global,Ayres et al. 2026; Gallichotte et al. 2025,parenteral inoculation only; no transmission observed,2,normalized_name
oropouche fever,aedes serratus,Oropouche fever,Aedes (Ochlerotatus) serratus; Aedes serratus,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,candidate_vector|secondary_vector|sylvatic_vector,limited_or_indirect_support,Brazil; global,Ayres et al. 2026; Gallichotte et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018,natural detection in Brazil; potential sylvatic vector; secondary vector; sylvatic cycle; sylvatic vector candidate; laboratory competence not established; sylvatic vector candidate; natural infection detected but lab competence not established,4,normalized_name; rule_drop_subgenus_token
oropouche fever,anopheles quadrimaculatus,Oropouche fever,Anopheles quadrimaculatus,mosquito,not_competent,not_competent,narrative_review,no,,,low_competence_or_efficiency|no_transmission_demonstrated,USA,Ayres et al. 2026,tested in the US colony study; very low dissemination and no transmission,1,normalized_name
oropouche fever,ceratopogonidae spp,Oropouche fever,Ceratopogonidae spp.,biting_midge,unclear,unclear,field_detection,,yes,,taxon_level_not_specific,Cuba,González et al. 2025,family-level positive pool; species not resolved,1,normalized_name
oropouche fever,coquillettidia venezuelensis,Oropouche fever,Coquillettidia venezuelensis,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,candidate_vector|secondary_vector|sylvatic_vector,limited_or_indirect_support,global; Trinidad and Tobago,Ayres et al. 2026; Gallichotte et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018,natural detection in the original Trinidad study; potential sylvatic vector; secondary vector; sylvatic cycle; sylvatic vector candidate; laboratory competence not established; sylvatic vector candidate; natural infection detected but lab competence not established,4,normalized_name
oropouche fever,culex pipiens,Oropouche fever,Culex pipiens,mosquito,not_competent,not_competent,lab_experiment; narrative_review,no,,,no_infection_detected,global; Italy,Ayres et al. 2026; Mancuso et al. 2025,"no infection, dissemination, transmission, or F1 evidence; no vector competence in US and European studies",2,normalized_name
oropouche fever,culex quinquefasciatus,Oropouche fever,Culex quinquefasciatus,mosquito,mixed,mixed; unclear,field_detection; narrative_review; systematic_review,mixed,yes,candidate_vector|secondary_vector,limited_or_indirect_support|low_competence_or_efficiency,Brazil; Cuba; global,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018; Sciancalepore et al. 2022,candidate competent vector; high infection threshold and role remains unclear; less important vector; high infection threshold and low efficiency; low infection/dissemination and limited transmission; poor vector overall; natural infection reported; oral infection negative but systemic infection/transmission positive in study summarized; RT-qPCR-positive pools from outbreak areas; competence not assessed; secondary vector; low infection and low/variable transmission; field detections also discussed,6,normalized_name
oropouche fever,culex tarsalis,Oropouche fever,Culex tarsalis,mosquito,not_competent,not_competent,narrative_review; systematic_review,no,,,low_competence_or_efficiency|no_transmission_demonstrated,North America,Ayres et al. 2026; Gallichotte et al. 2025,very low infection and no dissemination or transmission,2,normalized_name
oropouche fever,culex torrentium,Oropouche fever,Culex torrentium,mosquito,not_competent,not_competent,narrative_review,no,,,low_competence_or_efficiency|no_infection_detected,Germany,Ayres et al. 2026,"local mosquito study; low or no infection, dissemination or transmission",1,normalized_name
oropouche fever,culicoides,Oropouche fever,Culicoides,biting_midge,unclear,unclear,narrative_review,,,candidate_vector|sylvatic_vector,taxon_level_not_specific,global,Romero-Alvarez and Escobar 2018; Sakkas et al. 2018,genus-level sylvatic vector candidate; genus-level sylvatic vector mentioned in the review,2,normalized_name
oropouche fever,culicoides insignis,Oropouche fever,Culicoides insignis,biting_midge,unclear,unclear,narrative_review,,yes,,,Peru,Ayres et al. 2026,two positive pools; possible new vector,1,normalized_name
oropouche fever,culicoides paraensis,Oropouche fever,Culicoides paraensis,biting_midge,competent,competent,narrative_review; systematic_review,yes,,primary_vector|urban_vector,,Brazil; global,Ayres et al. 2026; Gallichotte et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018; Sciancalepore et al. 2022,high competence to transmit OROV; strongest species in the review; main urban vector; transmitted to hamsters from viremic patients; primary urban vector; laboratory transmission to hamsters from viremic blood meals; primary urban vector; transmitted to hamsters; strongest support in the review; primary vector in the Brazil-focused review,5,normalized_name
oropouche fever,culicoides sonorensis,Oropouche fever,Culicoides sonorensis,biting_midge,competent,competent,narrative_review; systematic_review,yes,,candidate_vector,,North America,Ayres et al. 2026; Gallichotte et al. 2025,"high infection, dissemination and transmission; putative vector in the USA",2,normalized_name
oropouche fever,limatus durhamii,Oropouche fever,Limatus durhamii,mosquito,unclear,unclear,narrative_review,,yes,,,Brazil,Ayres et al. 2026,PCR-positive in 2024 outbreak surveillance discussed in the review,1,normalized_name
oropouche fever,ochlerotatus serratus,Oropouche fever,Ochlerotatus serratus,mosquito,unclear,unclear,systematic_review,,yes,,field_detection_only,Brazil,Sciancalepore et al. 2022,listed mosquito vector; field detection only in this review,1,normalized_name
oropouche fever,psorophora ferox,Oropouche fever,Psorophora ferox,mosquito,not_competent,not_competent,narrative_review; systematic_review,no,,,no_transmission_demonstrated,global,Ayres et al. 2026; Gallichotte et al. 2025,parenteral inoculation only; no transmission observed,2,normalized_name
plague,aetheca wagneri,Plague,Aetheca wagneri,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector with positive transmission and blocking data,1,normalized_name
plague,atyphloceras multidentatus,Plague,Atyphloceras multidentatus,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,catallagia decipiens,Plague,Catallagia decipiens,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,citellophilus tesquorum,Plague,Citellophilus tesquorum,flea,mixed,mixed,narrative_review,,,,temperature_dependent,,Gage and Kosoy 2005,blocking and transmission studies with temperature dependent blockage,1,normalized_name
plague,citellophilus tesquorum altaicus,Plague,Citellophilus tesquorum altaicus,flea,mixed,mixed; unclear,narrative_review,yes,yes,,,southern Siberia,Ben Ari et al. 2011; Gage and Kosoy 2005,important vector with low blocking rates and block free transmission; supposedly able to maintain plague infection over winter on hibernating long-tailed Siberian souslik,2,normalized_name
plague,ctenocephalides felis,Plague,Ctenocephalides felis,flea,mixed,mixed; unclear,narrative_review,mixed,yes,,,North America; Northeast Brazil; Serra dos Orgãos RJ,Eisen et al. 2009; Reis et al. 2021,naturally infected but the review does not establish competence here; transmission in mass action trials but not individual trials in older study and later study also supported early-phase transmission,2,normalized_name
